"编号","日期","类型","热量/kcal","餐品描述","照片"
"026a7d8f","2015-12-01","早餐","180","蛋卷","upload/photo/2015-12-01/731faceed3e792f3fdab9961a2f5ea18.jpg"
"026a7d8f","2015-12-01","午餐","480","牛肉汤","upload/photo/2015-12-01/aa6dcda8c5f488246b9e4fbbb0862691.jpg"
"026a7d8f","2015-12-01","晚餐","550","西餐厅担仔面","upload/photo/2015-12-01/19904ed4d064a4ee55a54fb8265b14a5.jpg"
"026a7d8f","2015-12-01","下午茶","230","布丁 元气手卷","upload/photo/2015-12-01/65912fbfac626d5daf6d0c16150739d9.jpg"
"026a7d8f","2015-12-01","夜宵","350","方便面","upload/photo/2015-12-01/588e35c822df36eb66e3ea8767fbdfad.jpg"
"026a7d8f","2015-12-02","早餐","310","黑米粥 2个茶叶蛋","upload/photo/2015-12-02/9f10ae5a9e3be5e37156ac2d903b0e76.jpg"
"026a7d8f","2015-12-02","午餐","600","意式肉酱面","upload/photo/2015-12-02/85a656a930b0f71e1419b37e92f4a222.jpg"
"026a7d8f","2015-12-02","晚餐","500","饭盒子 芝士肥牛饭","upload/photo/2015-12-02/e0b532af6c3d132a98ccf0ec29c943bd.jpg"
"026a7d8f","2015-12-03","早餐","500","麻辣香锅","upload/photo/2015-12-03/598954e6437e5a70859be3ec5b1c1711.jpg"
"026a7d8f","2015-12-03","早餐","0","无","upload/photo/2015-12-03/4ac8a6601eff5c64c69e03367e0fde78.jpg"
"026a7d8f","2015-12-03","晚餐","240","手抓饼","upload/photo/2015-12-03/f9a1590bccab4db31db11ff458248610.jpg"
"026a7d8f","2015-12-04","早餐","0","无","upload/photo/2015-12-04/1670d30641a7eff56186fa3ddaa10bab.png"
"026a7d8f","2015-12-04","午餐","500","饭盒子 芝士肥牛饭","upload/photo/2015-12-04/92f3bfbb6046d9c9d0ac65f6d5d4a60e.jpg"
"026a7d8f","2015-12-04","晚餐","570","二餐三楼土豆丝 红烧肉","upload/photo/2015-12-04/ab6887768772cf4d194f9085a6b13698.jpg"
"026a7d8f","2015-12-05","早餐","0","无","upload/photo/2015-12-05/e73c185a6b83e9a009986a8683bb0d21.png"
"026a7d8f","2015-12-05","午餐","500","家常饭","upload/photo/2015-12-05/08fcf5abf5fadec585fea0ae9c3599b1.jpg"
"026a7d8f","2015-12-05","晚餐","500","家常菜","upload/photo/2015-12-05/b600543e1aeb3ae4d5cb19c7f5859771.jpg"
"026a7d8f","2015-12-06","早餐","0","无","upload/photo/2015-12-06/054e1fffb158b6469f70702a64bd4eb7.jpg"
"026a7d8f","2015-12-06","午餐","500","家常饭","upload/photo/2015-12-06/69616e1a8c2ef052b150ac806a06b15b.jpg"
"026a7d8f","2015-12-06","晚餐","500","二餐新疆餐厅 辣子鸡饭","upload/photo/2015-12-06/0fab7dc9c8647b60c479891f017d442a.jpg"
"026a7d8f","2015-12-07","早餐","0","无","upload/photo/2015-12-07/35809c2107f050c2aaf0b739a1f56a50.jpg"
"026a7d8f","2015-12-07","午餐","460","芝士肥牛反","upload/photo/2015-12-07/3a25193717e025f009efeb95a073ad0e.jpg"
"026a7d8f","2015-12-07","晚餐","360","雪菜肉丝面， 图忘记拍了","upload/photo/2015-12-07/ced7beaefa6e8bcc120ae2c02ca2e9a2.jpg"
"026a7d8f","2015-12-08","早餐","0","无","upload/photo/2015-12-08/4ae169b116dca05b672c6557a2782d25.jpg"
