"编号","日期","类型","热量/kcal","餐品描述","照片"
"0328a42b","2015-12-01","早餐","400","一般","upload/photo/2015-12-01/f8573de986b92e7dbad2ec7a51584671.jpg"
"0328a42b","2015-12-01","午餐","500","好吃，有点辣","upload/photo/2015-12-01/d48804de66911b727e9a36368d21315f.jpg"
"0328a42b","2015-12-01","晚餐","349","外卖，金串子。牛肉","upload/photo/2015-12-01/3cba4a9b8de21894886ef6a47fc161c8.jpg"
"0328a42b","2015-12-02","早餐","188","零食，一些豆干，鱼类，鸭肉，饼干。","upload/photo/2015-12-02/f5c6297fa6c8b0f53a3e715dfd4fec94.jpg"
"0328a42b","2015-12-02","午餐","391","外卖，金串子，土豆丝。","upload/photo/2015-12-02/148f08140915babeb6ad3581a2d58d93.jpg"
"0328a42b","2015-12-02","晚餐","350","外卖，金串子，牛肉。","upload/photo/2015-12-02/0f6b428adbab7885e047773ea5ff72b3.jpg"
"0328a42b","2015-12-03","早餐","210","华联的包子，一个鲜肉包和2个豆皮包","upload/photo/2015-12-03/965f05d697e1c7df75cebef9da587414.jpg"
"0328a42b","2015-12-03","午餐","645","二餐的大众餐厅，肉丸子和香干，一本酸奶。","upload/photo/2015-12-03/99ba59cbccb5a6202c54e8be93a52d42.jpg"
"0328a42b","2015-12-03","晚餐","628","二餐小吃广场的辣肉面","upload/photo/2015-12-03/31823591f61a7fa28145c347fed9f002.jpg"
"0328a42b","2015-12-04","早餐","210","华联的包子","upload/photo/2015-12-04/3a262065d9a417e1b5e2e34f402a95c0.jpg"
"0328a42b","2015-12-04","午餐","500","金串子外卖，牛肉，鸡腿，白菜。","upload/photo/2015-12-04/a496e3a12bd66731a6fe7aa4f504a2d3.jpg"
"0328a42b","2015-12-04","晚餐","500","金串子外卖，牛肉，鸡腿，白菜。","upload/photo/2015-12-04/7ac4679a81ef97564b26f742744c527f.jpg"
"0328a42b","2015-12-05","早餐","510","二餐的辣肉面","upload/photo/2015-12-05/0a233654bf603b51c91261ec2455688e.jpg"
"0328a42b","2015-12-05","午餐","510","金串子外卖，牛肉，鸡腿，白菜。","upload/photo/2015-12-05/982eaaf91b68dc2d2ca3c88dc33cb416.jpg"
"0328a42b","2015-12-05","晚餐","500","金串子外卖，牛肉，鸡腿，白菜。","upload/photo/2015-12-05/c32d326f04ab1b9f3b16682d3fbac3f1.jpg"
"0328a42b","2015-12-06","早餐","0","没吃","upload/photo/2015-12-06/9bcc5b51b5d4896e4134c2e1b1cafcae.jpg"
"0328a42b","2015-12-06","午餐","500","金串子外卖 牛肉 鸡腿 白菜","upload/photo/2015-12-06/60a7170961c2bb35ff84d77b78e90160.jpg"
"0328a42b","2015-12-06","晚餐","462","浏阳土菜馆外卖 杏鲍菇炒肉","upload/photo/2015-12-06/68699ac32124047b005daeb4d750c5c6.jpg"
"0328a42b","2015-12-07","早餐","210","华联包子","upload/photo/2015-12-07/cc6da1360097d53bbe6ae3117a2c7765.jpg"
"0328a42b","2015-12-07","午餐","500","金串子外卖，孜然鸡丁，鸡腿，白菜。","upload/photo/2015-12-07/e58acab3d28e1f06e50599313243c873.jpg"
"0328a42b","2015-12-07","晚餐","500","金串子外卖，牛肉，鸡腿，白菜。","upload/photo/2015-12-07/d52e343dab437db84a10b3fd24a92352.jpg"
