"编号","日期","类型","热量/kcal","餐品描述","照片"
"06ec0a84","2015-12-01","早餐","0","没吃","upload/photo/2015-12-01/e2512f95cda9f6168ba3a51a1968574a.jpg"
"06ec0a84","2015-12-01","早餐","0","没吃","upload/photo/2015-12-01/b7e069266ed1b056ba66ef9ff3dd04cb.jpg"
"06ec0a84","2015-12-01","午餐","0","没吃","upload/photo/2015-12-01/d36dd7a0c7932ef375d0307e8e13ecbd.jpg"
"06ec0a84","2015-12-01","晚餐","734","麻辣香锅","upload/photo/2015-12-01/9fb81141a80867cf4ed3621bdab1e239.jpg"
"06ec0a84","2015-12-01","下午茶","0","无","upload/photo/2015-12-01/37688179edb5c24bcd67a6d18d3ff813.png"
"06ec0a84","2015-12-01","夜宵","0","无","upload/photo/2015-12-01/da8fb71ae43d642c5d2a66f2f3509c56.png"
"06ec0a84","2015-12-02","早餐","0","没吃","upload/photo/2015-12-02/9cf88e040f76062755eb84b5d5c17f69.jpg"
"06ec0a84","2015-12-03","早餐","214","点心","upload/photo/2015-12-03/bfe2d2dc7f0763187846bfb07f45945f.jpg"
"06ec0a84","2015-12-03","午餐","0","麻辣香锅","upload/photo/2015-12-03/f435375f82cb19483ddedf4aa72cb7c7.jpg"
"06ec0a84","2015-12-03","晚餐","1040","汉堡","upload/photo/2015-12-03/03a42e9f1a5bf1de93357642324393fe.jpg"
"06ec0a84","2015-12-05","夜宵","456","汉堡","upload/photo/2015-12-05/a214bc960492b1fad0419cd1c86d9976.jpg"
"06ec0a84","2015-12-06","早餐","736","点心","upload/photo/2015-12-06/8259643d4be4ee8e004d9b0bc248f075.jpg"
"06ec0a84","2015-12-06","晚餐","623","点菜","upload/photo/2015-12-06/5fa6693a223ef0558bae5d11628d4022.jpg"
"06ec0a84","2015-12-07","早餐","756.5","饼干牛奶","upload/photo/2015-12-07/057c27beef84b1310a18fa42f23cc46f.jpg"
"06ec0a84","2015-12-07","午餐","756.5","饼干牛奶","upload/photo/2015-12-07/efec009986cb20d4f2977a2f6c5540ea.jpg"
"06ec0a84","2015-12-07","晚餐","1064","香锅","upload/photo/2015-12-07/acd0b6c6c81db2ddb0848ae4dd2e28fc.jpg"
