"编号","日期","类型","热量/kcal","餐品描述","照片"
"0890d755","2015-12-01","早餐","313","包子，鸡蛋，豆奶","upload/photo/2015-12-01/8b785e10d4b28798b37f6fca4555099f.jpg"
"0890d755","2015-12-02","早餐","144.3","鸡蛋，寿司，黑米粥","upload/photo/2015-12-02/37c792dcb577bfde24cf8598c6dabfd6.jpg"
"0890d755","2015-12-02","午餐","700","米饭，豆腐汤，东坡肉，青菜","upload/photo/2015-12-02/791a9ccbd41f052d4fd34f4ce4ed84f1.jpg"
"0890d755","2015-12-02","晚餐","521","米饭，鸡腿，青菜，蛋羹，紫菜汤","upload/photo/2015-12-02/cdd5a3155cb27fd55e192505dc79019f.jpg"
"0890d755","2015-12-03","早餐","346","鸡蛋饼，黑米粥，鸡蛋","upload/photo/2015-12-03/783351416ae75b13799e868b86f28c3e.jpg"
"0890d755","2015-12-03","午餐","315","饭，海带，青菜，鱼头","upload/photo/2015-12-03/fd8a09f1c933d402c8fbed49fd3b7a7e.jpg"
"0890d755","2015-12-03","晚餐","412","鸡排鸡蛋炒饭","upload/photo/2015-12-03/3065cf058c6b87860fb723e41b5f3a8a.jpg"
"0890d755","2015-12-04","早餐","346","粥，鸡蛋饼，鸡蛋","upload/photo/2015-12-04/340dcb4e88b77e36d14e10f872b235e0.jpg"
"0890d755","2015-12-04","午餐","382","饭，蛋羹，韭菜，肉片","upload/photo/2015-12-04/2a9a5ddee89f78d3b9013ea97d5d68cd.jpg"
"0890d755","2015-12-04","晚餐","507","大排，米饭，白菜，鸡蛋干","upload/photo/2015-12-04/0948a746a117504a300b3f748faeba74.jpg"
"0890d755","2015-12-05","早餐","187.2","面包","upload/photo/2015-12-05/34e0aefc61a90a19cdb34abc3f50aae1.jpg"
"0890d755","2015-12-05","早餐","338","海带，东坡肉，鸡蛋，饭","upload/photo/2015-12-05/740232119a3917d857854189d621d2ad.jpg"
"0890d755","2015-12-05","午餐","270","便当","upload/photo/2015-12-05/5b138f93ce668ff5c1db0d6d8ea36f40.jpg"
"0890d755","2015-12-06","早餐","346","粥 鸡蛋 鸡蛋饼","upload/photo/2015-12-06/73a9a0c347e3e20a8657cceaabf6ec59.jpg"
"0890d755","2015-12-06","午餐","476","香菇鸡胗鸡蛋面","upload/photo/2015-12-06/99599bc7a510f83903d3f9ef002c8655.jpg"
"0890d755","2015-12-06","晚餐","297","青菜，鸡腿 ，米饭","upload/photo/2015-12-06/73a8ab1d7c716ab8109e173ae38bc174.jpg"
"0890d755","2015-12-07","早餐","388","包子，鸡蛋，粥","upload/photo/2015-12-07/ba09186690cebb57c1d3ce318001a3fa.jpg"
"0890d755","2015-12-07","午餐","206","饭，鱼，青菜","upload/photo/2015-12-07/4f0d678a70a4d457927b4fc4dc15be28.jpg"
"0890d755","2015-12-07","晚餐","552","紫包菜，饭，烤鸡","upload/photo/2015-12-07/374f3f7a44c5b66decd6f0e3bccd9716.jpg"
