"编号","日期","类型","热量/kcal","餐品描述","照片"
"08f68f55","2015-12-01","早餐","0","没吃","upload/photo/2015-12-01/e4ea5db416b011637606c6357ecb4c0f.jpg"
"08f68f55","2015-12-01","午餐","452","UFO方便面铁板牛肉味，质量上乘，物美价廉，使用方便","upload/photo/2015-12-01/9008221b8bcc69d59ad353c50c5bafe9.jpg"
"08f68f55","2015-12-01","晚餐","311","甜魔所出必属精品，甜爽松软的口感，就像是漫游在巧克力王国一般的奇幻感受","upload/photo/2015-12-01/9ba7693b234bf751472b4183d83f85bb.jpg"
"08f68f55","2015-12-02","早餐","401","清晨，黄油配上白面包，松脆香甜，就算已经不是刚刚出炉的热度，也能让人在冬日里感觉到三春的温馨","upload/photo/2015-12-02/f501b3482e42dce54bb84008b8cfb3b6.jpg"
"08f68f55","2015-12-02","午餐","407","川渝之地的麻辣香锅，虽然火候稍欠，但对于已经厌烦了食堂平价餐的我们来讲不失为一发有效的味蕾炸弹","upload/photo/2015-12-02/6ee22190a614b9ecd569e3d52010bfdc.jpg"
"08f68f55","2015-12-02","晚餐","623","午餐的酱爆牛肉烩饭，久闻不如一见，铁锅炙烤着米饭，滚烫炽热，刺激着舌尖，洗刷过心灵","upload/photo/2015-12-02/58dd870800a240bd77b643afffe562e3.jpg"
"08f68f55","2015-12-03","早餐","0","二餐粽子","upload/photo/2015-12-03/1ccf6c5635a6078b63aebab59b39edcc.jpg"
"08f68f55","2015-12-03","午餐","0","没吃","upload/photo/2015-12-03/32ca254aaa6319ed42387c77b7e93982.jpg"
"08f68f55","2015-12-03","晚餐","0","烤肉饭","upload/photo/2015-12-03/0ccbe659e465601a7007f321717e0c29.jpg"
"08f68f55","2015-12-04","早餐","0","可乐亭汉堡加上柠檬味佳得乐","upload/photo/2015-12-04/0b1236ce01678a5384200c3c9e141b31.jpg"
"08f68f55","2015-12-04","午餐","0","上完体育课并不想吃饭","upload/photo/2015-12-04/3e97f58af614db7330c7e7c043f6e796.jpg"
"08f68f55","2015-12-04","晚餐","0","没吃午饭，晚饭就要吃好点，午餐麻辣香锅","upload/photo/2015-12-04/5b678ca69ce1305c8f0a16ad03ae436c.jpg"
"08f68f55","2015-12-05","早餐","0","无","upload/photo/2015-12-05/bd4279418f1a826ce2890d52d115abcb.jpg"
"08f68f55","2015-12-05","午餐","0","葡萄牙餐厅的烤肋排","upload/photo/2015-12-05/83bbda488977ff46fe8f45d962cd07ea.jpg"
"08f68f55","2015-12-05","晚餐","0","韩式行军火锅","upload/photo/2015-12-05/dc4a39e32043ef3554264bc1b8e8749c.jpg"
"08f68f55","2015-12-06","早餐","0","无","upload/photo/2015-12-06/bf3ee2ee3bbd9cc001d1ae3584b62b4b.jpg"
"08f68f55","2015-12-06","午餐","0","必胜客披萨","upload/photo/2015-12-06/ab91680b899a2e88e6cb8775816cf3e4.jpg"
"08f68f55","2015-12-06","晚餐","0","无","upload/photo/2015-12-06/49cbd58eaf06cd5f33181dfafe1012a7.jpg"
"08f68f55","2015-12-07","早餐","0","没吃","upload/photo/2015-12-07/5972a21b1bf23dbb155a22fe409167ab.jpg"
"08f68f55","2015-12-07","午餐","450","沙拉","upload/photo/2015-12-07/76d0d332182d87eb4e1f12f29964a961.jpg"
"08f68f55","2015-12-07","晚餐","592","街景鸡排手抓饼","upload/photo/2015-12-07/2deeef8b1f7a29d8de76d03e0ef15eb8.jpg"
