"编号","日期","类型","热量/kcal","餐品描述","照片"
"0a80c1dd","2015-12-01","早餐","359","下院买的鸡蛋和蛋黄肉粽","upload/photo/2015-12-01/fd074089382dc27bd05f2eee03193a4a.jpeg"
"0a80c1dd","2015-12-01","午餐","322","汤 糖醋排骨土豆 炒土豆 5毛饭","upload/photo/2015-12-01/4ac96e4dc21ca790d4d7b5bdbb93a0d8.jpeg"
"0a80c1dd","2015-12-01","晚餐","318","","upload/photo/2015-12-01/4cb2925ea4172a026eced4209c784d76.jpeg"
"0a80c1dd","2015-12-02","早餐","215","","upload/photo/2015-12-02/1fce51147011227d63a341f9092a8c60.jpg"
"0a80c1dd","2015-12-02","午餐","1000","","upload/photo/2015-12-02/38da6e9a5604c77910799afb47eac371.jpeg"
"0a80c1dd","2015-12-02","晚餐","100","","upload/photo/2015-12-02/a698a90a0d620a7b8e19ba0be1eaeb21.jpeg"
"0a80c1dd","2015-12-03","午餐","235","","upload/photo/2015-12-03/65b2878752029f84a04f0db69001166d.jpeg"
"0a80c1dd","2015-12-03","晚餐","200","","upload/photo/2015-12-03/14215e623a2428c93ac2f4894f321011.jpeg"
"0a80c1dd","2015-12-04","早餐","100","","upload/photo/2015-12-04/f70c051699d057858bfcf4ee90fa8786.jpeg"
"0a80c1dd","2015-12-04","午餐","590","","upload/photo/2015-12-04/4fa6d259fd24277e17d90071e11f5705.jpeg"
"0a80c1dd","2015-12-04","晚餐","450","","upload/photo/2015-12-04/83ebbe35401f12e01d000945b7ceb2f5.jpeg"
"0a80c1dd","2015-12-05","早餐","165","","upload/photo/2015-12-05/81fb91ca9a459821ebfb73fe13e420a4.jpg"
"0a80c1dd","2015-12-05","午餐","1000","","upload/photo/2015-12-05/c88ff8bdcb3d78b1a2a45f892e6df319.jpeg"
"0a80c1dd","2015-12-06","午餐","630","","upload/photo/2015-12-06/379aa2d5feea1612b467f3aff0edce23.jpeg"
"0a80c1dd","2015-12-06","晚餐","500","","upload/photo/2015-12-06/b651bccb205d908cce9af6e34dc347b0.jpeg"
"0a80c1dd","2015-12-07","早餐","268","","upload/photo/2015-12-07/7512e276515a88f0da36b24caaceaf3d.jpeg"
"0a80c1dd","2015-12-07","午餐","298","","upload/photo/2015-12-07/877cdfc1062d7ba7c55fc9b5ff13ec79.jpeg"
