"编号","日期","类型","热量/kcal","餐品描述","照片"
"0bc2f24f","2015-12-01","早餐","371","蛋糕 椰汁","upload/photo/2015-12-01/59ea14e0d3dd652f5cd6142f80478aad.jpg"
"0bc2f24f","2015-12-01","午餐","179.5","米饭 炒菜","upload/photo/2015-12-01/cd4bb6dd4ed9cd68fb1793d1646a8adc.jpg"
"0bc2f24f","2015-12-01","晚餐","0","无","upload/photo/2015-12-01/5272135ea54c31a32e245d9a4fd41184.png"
"0bc2f24f","2015-12-02","早餐","371","椰汁 蛋糕","upload/photo/2015-12-02/a9e5805502478332bbe8a1245707d0ec.png"
"0bc2f24f","2015-12-02","午餐","425.5","外卖","upload/photo/2015-12-02/c0d9be9e92a2f31b76dd822ab39f2dbf.jpg"
"0bc2f24f","2015-12-02","晚餐","0","无","upload/photo/2015-12-02/a5cab01f7aff8485def5ce5336638072.png"
"0bc2f24f","2015-12-03","早餐","320","蛋糕","upload/photo/2015-12-03/b9634c3ca68ecd3ee0496758672aa499.jpg"
"0bc2f24f","2015-12-03","午餐","277","一餐石锅拌饭鸡肉热狗加鸡蛋","upload/photo/2015-12-03/197a5539351b39a07352279f8cb8dddc.jpg"
"0bc2f24f","2015-12-03","晚餐","747.5","二两饭 青菜 肉丸 炒鸡蛋 千叶豆腐 照片不符","upload/photo/2015-12-03/332dce61cbc2af8c3a170a3e007280f8.jpg"
"0bc2f24f","2015-12-04","早餐","0","没来及吃","upload/photo/2015-12-04/2a6f36a9d3d7cfb7eca571ebe08ecb55.png"
"0bc2f24f","2015-12-04","午餐","572","鸡蛋饼 汤圆","upload/photo/2015-12-04/1a837f88b20f6fa8d3f5d6bb94b49568.jpg"
"0bc2f24f","2015-12-04","晚餐","159","麻辣香锅","upload/photo/2015-12-04/9ccf717efa73df46d9ac8124607c76af.jpg"
"0bc2f24f","2015-12-05","早餐","0","没来及吃","upload/photo/2015-12-05/548e9675dce5b9686f5fea8b1eb0da0f.png"
"0bc2f24f","2015-12-05","午餐","572","鸡蛋饼 汤圆","upload/photo/2015-12-05/6505d3d1674479aba42862859d63f7f8.jpg"
"0bc2f24f","2015-12-06","早餐","0","无","upload/photo/2015-12-06/8091f71aa1d56e011bdfec3abcf2414b.png"
"0bc2f24f","2015-12-06","午餐","405","炒菜米饭","upload/photo/2015-12-06/6ac412864045bdbeeecc807087f879dd.jpg"
"0bc2f24f","2015-12-06","晚餐","367","麻辣烫加炸鸡腿","upload/photo/2015-12-06/beec550b13e4b769dfdd151e351b2588.png"
"0bc2f24f","2015-12-07","早餐","320","蛋糕","upload/photo/2015-12-07/4122d11073b182086f53e475baa11926.jpg"
"0bc2f24f","2015-12-07","晚餐","287","米饭炒菜","upload/photo/2015-12-07/b25a9cf1a6a047fa2564e7a3a20226c5.jpg"
