"编号","日期","类型","热量/kcal","餐品描述","照片"
"0c5112d3","2015-12-01","早餐","0","一个橙子 抱歉我忘记拍照了","upload/photo/2015-12-01/1e35a4c91959b5c42f0a9f16c53f0b28.jpg"
"0c5112d3","2015-12-01","午餐","0","蒸鸡蛋 豆角 米饭","upload/photo/2015-12-01/6bebaf3b284426b4e3efe14dc3f0d7fa.jpg"
"0c5112d3","2015-12-01","晚餐","0","四个蛋挞","upload/photo/2015-12-01/ac564c1480b2a9210650131bc16bbc60.jpg"
"0c5112d3","2015-12-01","下午茶","0","一杯白咖啡 就是照片里的那个品牌","upload/photo/2015-12-01/f7bedb627f44eb7556a84a576ecaf194.jpg"
"0c5112d3","2015-12-02","早餐","0","煎饼 豆浆","upload/photo/2015-12-02/6d821ff1a688f26be61dd203f66cd848.jpg"
"0c5112d3","2015-12-02","午餐","0","排骨 豆腐 青菜 米饭","upload/photo/2015-12-02/fe972323de20a9ffb652e7ff3cf3764d.jpg"
"0c5112d3","2015-12-02","晚餐","0","香蕉 橙子","upload/photo/2015-12-02/b729fdbbfc201fe538839bb2cd0d2037.jpg"
"0c5112d3","2015-12-03","早餐","0","馄饨 滋饭团","upload/photo/2015-12-03/eca52f82fbf3b1383abb38e0ca98924d.jpg"
"0c5112d3","2015-12-03","午餐","0","白菜 带鱼 米饭","upload/photo/2015-12-03/456cab00f5afb6b744656c632a10882e.jpg"
"0c5112d3","2015-12-03","晚餐","0","三明治 （请忽略照片。。。）","upload/photo/2015-12-03/28f19d12b0f3b211bc5bd4f15c9f1ec0.jpg"
"0c5112d3","2015-12-03","其他","0","橙子","upload/photo/2015-12-03/5ae1fa8b1a7e5bb43572976ea62d3edb.jpg"
"0c5112d3","2015-12-04","早餐","0","香蕉","upload/photo/2015-12-04/8832728fe43cbc3aa372a62f57755448.jpg"
"0c5112d3","2015-12-04","午餐","0","排骨 土豆 青菜","upload/photo/2015-12-04/4fb8cb6198868983aaa6b935fe769b4a.jpg"
"0c5112d3","2015-12-04","晚餐","0","薯片","upload/photo/2015-12-04/a0a2f4dbaf5f441ea9c89aed3a7df4f6.jpg"
"0c5112d3","2015-12-05","早餐","0","面包","upload/photo/2015-12-05/7c865c487dfc9a6676db0d2773d7d09d.jpg"
"0c5112d3","2015-12-05","午餐","0","培根炒饭","upload/photo/2015-12-05/d5f0193c1b39ee8eb6404ec777e45e66.jpg"
"0c5112d3","2015-12-05","晚餐","0","油麦菜 香干 冻豆腐","upload/photo/2015-12-05/9f4dee788e8b6b0467cc0dcc4f6ca7f5.jpg"
"0c5112d3","2015-12-06","早餐","0","小面包","upload/photo/2015-12-06/767de2b8be7bed859d8e12cc6ad0a0f7.jpg"
"0c5112d3","2015-12-06","午餐","0","黄焖鸡米饭","upload/photo/2015-12-06/9ad124a687e61c8627aae2080b3ed39b.jpg"
"0c5112d3","2015-12-06","晚餐","0","黄焖鸡","upload/photo/2015-12-06/38142c81a38b4b886fa8969a58e82b63.jpg"
"0c5112d3","2015-12-07","早餐","0","煎饼","upload/photo/2015-12-07/13eb181439d2d86739a21127f38ce104.jpg"
"0c5112d3","2015-12-07","午餐","0","饺子","upload/photo/2015-12-07/f3d2147d92731cd3b7ba9a375ca29857.jpg"
"0c5112d3","2015-12-07","晚餐","0","白菜 猪肉 西葫芦","upload/photo/2015-12-07/9ac37435c7ac51bdfba557ece0f83f7b.jpg"
"0c5112d3","2015-12-07","下午茶","0","香蕉","upload/photo/2015-12-07/2a3311d30639300922c4cf921cc3cc1a.jpg"
