"编号","日期","类型","热量/kcal","餐品描述","照片"
"0e13b2c5","2015-12-01","早餐","301","蔬菜，五谷粥，蒸地瓜，玉米发糕","upload/photo/2015-12-01/4218e4f5d02badb3892ee00993773758.jpg"
"0e13b2c5","2015-12-01","午餐","540","鱼，红烧排骨，豆芽菜，小青菜，米饭","upload/photo/2015-12-01/f82b3f5568ce82b73e261cc326a7417f.jpg"
"0e13b2c5","2015-12-01","晚餐","1100","炒米粉","upload/photo/2015-12-01/a92d683ef4c3caef10e0011fd8725916.jpg"
"0e13b2c5","2015-12-02","早餐","297","蛋糕，酸奶","upload/photo/2015-12-02/57eeb0fe1c256101953c0107db702a2a.jpg"
"0e13b2c5","2015-12-02","午餐","538","土豆泥，孜然牛肉，西兰花，奶油浓汤","upload/photo/2015-12-02/d6b61e97b39afbc97064d65bf440a7c2.jpg"
"0e13b2c5","2015-12-02","晚餐","728","生鱼片，寿司，烤蔬菜","upload/photo/2015-12-02/6112a30c897cff373ab569a033c2d81c.jpg"
"0e13b2c5","2015-12-03","早餐","344","豆沙粥，鸡蛋，馒头，蔬菜","upload/photo/2015-12-03/c4c2d6d788dfe93442c6fd6c4204c566.jpg"
"0e13b2c5","2015-12-03","午餐","0","白菜豆腐，紫甘蓝，蘑菇，麦仁大米饭","upload/photo/2015-12-03/7194050dbc54247bd1a0508926218d66.jpg"
"0e13b2c5","2015-12-03","晚餐","688","大碴粥，咖喱土豆，西兰花，豆腐","upload/photo/2015-12-03/7edb250ee8fd1ea6cbafaa108b59a912.jpg"
"0e13b2c5","2015-12-04","早餐","0","土豆茄子，木耳，鸡蛋，地瓜，黑芝麻糊，苹果","upload/photo/2015-12-04/12553a7c8ed5aca6b5affa4991e5e781.jpg"
"0e13b2c5","2015-12-04","午餐","0","奶油蛋糕，碳酸饮料，水果","upload/photo/2015-12-04/a3e9ebdeaf3cc2021988f42c5b2720ec.jpg"
"0e13b2c5","2015-12-04","晚餐","0","小米粥，包菜，带鱼，玉米发糕","upload/photo/2015-12-04/f22b88ca4269f6bf7c2ccab3c2a6e80d.jpg"
"0e13b2c5","2015-12-05","早餐","360","鸡蛋，馒头，蔬菜，水果，豆粥","upload/photo/2015-12-05/e8ca63946fc98a7b7dad2c88927fc874.jpg"
"0e13b2c5","2015-12-05","午餐","470","西兰花，羊肉，糙米饭","upload/photo/2015-12-05/f545aec27b126b890fc54215c8d938be.jpg"
"0e13b2c5","2015-12-05","晚餐","560","西兰花，胡萝卜羊肉，玉米发糕","upload/photo/2015-12-05/f8732b61ec77192a62bbdd429db4bd1e.jpg"
"0e13b2c5","2015-12-06","早餐","352","豆粥，蔬菜，地瓜，鸡蛋，馒头","upload/photo/2015-12-06/5cedd9b6d666a8ba0334830274292ac0.jpg"
"0e13b2c5","2015-12-06","午餐","730","烤鱼，牛排，海鲜","upload/photo/2015-12-06/6300a748be5df4b615e717774dc2b0a4.jpg"
"0e13b2c5","2015-12-06","晚餐","520","煎鸡蛋，小面","upload/photo/2015-12-06/dfd46d464fba6efce99f1d2995c95ba5.jpg"
"0e13b2c5","2015-12-07","早餐","350","豆粥，蔬菜，鸡蛋，馒头","upload/photo/2015-12-07/c1932447f24f399f018602ca99e90a44.jpg"
"0e13b2c5","2015-12-07","午餐","360","奶油蛋糕，牛奶，苹果","upload/photo/2015-12-07/7d041f14d8393a0509ee8f21f162e3de.jpg"
"0e13b2c5","2015-12-07","晚餐","630","烤鸭，蔬菜","upload/photo/2015-12-07/49362f7099f2fe013439d49767fd1173.jpg"
"0e13b2c5","2015-12-08","早餐","450","麦片粥，水果","upload/photo/2015-12-08/7c75f602c475fdc4fe8c7c8b63608bfc.jpg"
"0e13b2c5","2015-12-08","午餐","500","蔬菜，猪肉，糙米饭","upload/photo/2015-12-08/711f3f06b98ab9333f03397da4a77d58.jpg"
