"编号","日期","类型","热量/kcal","餐品描述","照片"
"0ffd0774","2015-12-01","早餐","624","超市里购买的面包（4条）","upload/photo/2015-12-01/d385051d4f36fa436f977b8024bb7807.jpg"
"0ffd0774","2015-12-01","午餐","378","二餐新疆餐厅的萝卜羊肉饭","upload/photo/2015-12-01/d74a863a9d215b5002b3a3b924274d1f.jpg"
"0ffd0774","2015-12-01","晚餐","312","教育超市购买的面包","upload/photo/2015-12-01/44bae87150ea97001a2eca10299c25d5.jpg"
"0ffd0774","2015-12-02","早餐","293","士力架巧克力一条","upload/photo/2015-12-02/d7a1d1ac1b38295b2c4355e8986cdcf8.jpg"
"0ffd0774","2015-12-02","午餐","420.5","食堂的普通套餐","upload/photo/2015-12-02/d6ee2aceebd1372e6ef493dda0dfdcaf.jpg"
"0ffd0774","2015-12-02","晚餐","672","外卖鸡排","upload/photo/2015-12-02/6d8353fa6e473afa8df10c991b1e3928.jpg"
"0ffd0774","2015-12-03","早餐","312","超市购买的蛋糕","upload/photo/2015-12-03/aefefd9cbe50d2b0012062cefc54c4b8.jpg"
"0ffd0774","2015-12-03","午餐","828","食堂的烧鸭饭","upload/photo/2015-12-03/b612d4010f9f83b549f23abf4c4a2621.jpg"
"0ffd0774","2015-12-03","晚餐","612","外卖卤肉饭","upload/photo/2015-12-03/b3f5377fae40c43680f0d3061e3aedd1.jpg"
"0ffd0774","2015-12-04","早餐","879","士力架巧克力和一块饼","upload/photo/2015-12-04/512b09935d61d29ae4b50b9febec196c.jpg"
"0ffd0774","2015-12-04","午餐","163.5","面条一份","upload/photo/2015-12-04/95fd1cf91a67687b1ee6f590b2311911.jpg"
"0ffd0774","2015-12-04","晚餐","585","新疆风味的烤肉，馕","upload/photo/2015-12-04/11bd3e3590a708649aee0769fb76ad0f.jpg"
"0ffd0774","2015-12-05","早餐","0","未吃早饭","upload/photo/2015-12-05/32ea4b34baa95c456b5c68d48b7c2f40.jpg"
"0ffd0774","2015-12-05","午餐","831","吉姆利德，披萨和奶油饭","upload/photo/2015-12-05/5350b9c51e7981ae8427e513b9f55f80.jpg"
"0ffd0774","2015-12-05","晚餐","826","石锅拌饭","upload/photo/2015-12-05/635a521d230a673a043affaf2fafbb56.jpg"
"0ffd0774","2015-12-05","夜宵","711.5","馄饨和汤圆","upload/photo/2015-12-05/e5239ee9d577718e4ffa812c917f6b99.jpg"
"0ffd0774","2015-12-06","早餐","0","未吃早饭","upload/photo/2015-12-06/75ed1d7230bfbb5874df85e2ca66578e.jpg"
"0ffd0774","2015-12-06","午餐","312","面包和麦丽素","upload/photo/2015-12-06/3d29ac8d8a15d423075294cd62b8d80f.jpg"
"0ffd0774","2015-12-06","晚餐","400.4","馄饨一碗","upload/photo/2015-12-06/ac1fcbbe9f28950eb0ae590365f9f5e3.jpg"
"0ffd0774","2015-12-06","夜宵","455","肉夹馍一个","upload/photo/2015-12-06/6228739d5e450fb2b8951fc3a9ffde00.jpg"
"0ffd0774","2015-12-07","早餐","584","煎饺，煎包子","upload/photo/2015-12-07/397913b60ec8f960c5dc84110314a8d0.jpg"
"0ffd0774","2015-12-07","午餐","0","未吃午餐","upload/photo/2015-12-07/ed91643074c3d16676d42d537e7a3c18.jpg"
"0ffd0774","2015-12-07","晚餐","716","龙利鱼铁板饭","upload/photo/2015-12-07/d0a1aa40b98bd8f3767fae881887d607.jpg"
