"编号","日期","类型","热量/kcal","餐品描述","照片"
"11ab9d70","2015-12-01","早餐","375","面包","upload/photo/2015-12-01/fceb6bb9874d2130d545d861a1c33336.jpg"
"11ab9d70","2015-12-01","午餐","371","中餐","upload/photo/2015-12-01/f47c463317c9f04e06f1f665f17503b6.jpg"
"11ab9d70","2015-12-01","晚餐","318","面条","upload/photo/2015-12-01/e9a24c8a0affeb03c98fad3b243d7a79.jpg"
"11ab9d70","2015-12-02","早餐","375","面包","upload/photo/2015-12-02/cffcaed994a5b0ec7438e49c364af09a.jpg"
"11ab9d70","2015-12-02","午餐","965.5","中餐","upload/photo/2015-12-02/c2a24cef55b9619265c0dbd32892ede2.jpg"
"11ab9d70","2015-12-02","晚餐","162","皮蛋瘦肉粥","upload/photo/2015-12-02/7e1d6e6bdef5be35e4816adcf0776191.jpg"
"11ab9d70","2015-12-03","午餐","449.5","中餐","upload/photo/2015-12-03/b26dff6438db45164fe0d16cbed008e4.jpg"
"11ab9d70","2015-12-03","晚餐","350.5","中餐","upload/photo/2015-12-03/d7aead1d57bf608024e8c761c3ad6007.jpg"
"11ab9d70","2015-12-04","早餐","287","包子","upload/photo/2015-12-04/a8ec8fc0f4836e7c0093fe6d994d2c76.jpg"
"11ab9d70","2015-12-04","午餐","292.5","粽子","upload/photo/2015-12-04/7e6933b6c48b8981433002da47c3149e.jpg"
"11ab9d70","2015-12-05","午餐","305","中餐","upload/photo/2015-12-05/ce72eea4ecba6eea2f383ae7aadf6ba4.jpg"
"11ab9d70","2015-12-05","晚餐","354.5","中餐","upload/photo/2015-12-05/38f300b2da0854d8cd7dc6b620b84cfb.jpg"
"11ab9d70","2015-12-06","午餐","371","中餐","upload/photo/2015-12-06/c16d486af692654b9c3a39f2f0a06e8a.jpg"
"11ab9d70","2015-12-06","晚餐","318","面条","upload/photo/2015-12-06/09bc84f2fe4b3fef72e8742ba8f36fd6.jpg"
"11ab9d70","2015-12-07","早餐","493.5","巧克力面包","upload/photo/2015-12-07/1e36161167f991e2e57e8ec469cae150.jpg"
"11ab9d70","2015-12-07","午餐","449.5","中餐","upload/photo/2015-12-07/25d01069a66da806b9b1901d7ad31696.jpg"
"11ab9d70","2015-12-07","晚餐","323","中餐","upload/photo/2015-12-07/12b9a8e36f87870bf8e0ecf190c4e5d1.jpg"
"11ab9d70","2015-12-08","早餐","493.5","面包","upload/photo/2015-12-08/92c8340153aa612c3e06cbaa6c030860.jpg"
"11ab9d70","2015-12-08","午餐","312.5","中餐","upload/photo/2015-12-08/052846c07919a1590b9f8fe449eabea6.jpg"
"11ab9d70","2015-12-08","晚餐","427.5","韩料","upload/photo/2015-12-08/7161b1b278a72fcd0e88d9a5b70c1487.jpg"
