"编号","日期","类型","热量/kcal","餐品描述","照片"
"1a7492ab","2015-12-01","早餐","495","三餐早餐","upload/photo/2015-12-01/1957bc601f028745ef199455260a364e.jpg"
"1a7492ab","2015-12-01","午餐","682","四餐麻辣香锅","upload/photo/2015-12-01/e0f0299c7731461c359af1e345ec9c4a.jpg"
"1a7492ab","2015-12-01","晚餐","402","二餐水饺","upload/photo/2015-12-01/f4c2c3d5d5883f7fb975c64d0dce473c.jpg"
"1a7492ab","2015-12-01","夜宵","136","全家沙拉","upload/photo/2015-12-01/155e35c9e0c53afbf4250c89836a5e80.jpg"
"1a7492ab","2015-12-02","早餐","457","三餐油条肉包白粥","upload/photo/2015-12-02/04fadab9690daff2ce38ed8ac01e5d9b.jpg"
"1a7492ab","2015-12-02","午餐","355.5","四餐芹菜肉丁拉面","upload/photo/2015-12-02/fa77729461c3bb8fb094a76868b8c54a.jpg"
"1a7492ab","2015-12-02","晚餐","578.5","三餐花菜鸡块扁豆角","upload/photo/2015-12-02/bef150f8b9a67d103cee80cdbfa6138d.jpg"
"1a7492ab","2015-12-03","早餐","355.5","三餐芝麻饼煎包白粥","upload/photo/2015-12-03/c6994525a14b45527d97084173251c1f.jpg"
"1a7492ab","2015-12-03","午餐","707.5","哈乐番茄鸡蛋糖醋里脊西葫芦","upload/photo/2015-12-03/b6ac3317332285910cbe4e39f4a6634a.jpg"
"1a7492ab","2015-12-03","晚餐","625.5","三餐粉丝扁豆茄子","upload/photo/2015-12-03/521f86a00225f123ec2e1890e46ddc2e.jpg"
"1a7492ab","2015-12-04","早餐","391","三餐生煎鸡蛋饼","upload/photo/2015-12-04/d522d98aa2a25385fac05edf6adfc7de.jpg"
"1a7492ab","2015-12-04","午餐","670.5","四餐牛肉拉面","upload/photo/2015-12-04/80195d8ee02a03074d6aecf7729b4d93.jpg"
"1a7492ab","2015-12-04","晚餐","482.5","外卖饭盒子照烧鸡排饭（忘了拍照）","upload/photo/2015-12-04/3eb5a4f1227b3c2a2e813d260df546af.jpg"
"1a7492ab","2015-12-05","早餐","0","未食用","upload/photo/2015-12-05/ba26c4211e51cf96321ab63cf7d2b574.jpg"
"1a7492ab","2015-12-05","午餐","540","外卖HL鱼香茄子鸡排双拼","upload/photo/2015-12-05/64033323c49025638f9f0e529b05a855.jpg"
"1a7492ab","2015-12-05","晚餐","500","自助烤肉 两片猪排","upload/photo/2015-12-05/698c1c2d7019c6357a8e57807e09b756.jpg"
"1a7492ab","2015-12-06","早餐","163.5","五个猪肉饺子","upload/photo/2015-12-06/86ed327dca274d466461c0beecaeafcf.jpg"
"1a7492ab","2015-12-06","午餐","768","三餐茄子扁肉鸡腿","upload/photo/2015-12-06/9cefb2f74e95b1ce6186f9dd2b78d82e.jpg"
"1a7492ab","2015-12-06","晚餐","535.5","三餐豆芽白菜南瓜炖肉","upload/photo/2015-12-06/9adea915263ad2cb484635f4f6344514.jpg"
"1a7492ab","2015-12-07","早餐","451.5","三餐芝麻饼肉包豆浆","upload/photo/2015-12-07/af7434d4fe37668c82da2f28b96c3c09.jpg"
"1a7492ab","2015-12-07","午餐","670.5","四餐芹菜肉丁拉面","upload/photo/2015-12-07/3d532a9134d341f4b712f65c84082b98.jpg"
"1a7492ab","2015-12-07","晚餐","522","华联鸡蛋灌饼","upload/photo/2015-12-07/e8c099b21460fd16d12ada6c3162afd8.jpg"
