"编号","日期","类型","热量/kcal","餐品描述","照片"
"1addb422","2015-12-01","早餐","650","某某奥饼干&牛奶","upload/photo/2015-12-01/1a304a3cf776b568ab258a1a1cbd8ea5.jpeg"
"1addb422","2015-12-01","午餐","438","牛肉面（小碗）","upload/photo/2015-12-01/cc7e6ba48ad968a62691322292853e95.jpeg"
"1addb422","2015-12-01","晚餐","450","金针菇肥牛套餐（铁板烧）","upload/photo/2015-12-01/74e258edac93afc5d35562ee89381d04.jpeg"
"1addb422","2015-12-01","夜宵","150","牛奶","upload/photo/2015-12-01/76a06307b4aaf69519d8b4dfa1e733be.jpeg"
"1addb422","2015-12-02","早餐","220","小笼包&豆浆","upload/photo/2015-12-02/a843dcb34b8af851130f0e8f5a5c0b84.jpeg"
"1addb422","2015-12-02","午餐","450","奶油培根意面&蛋挞","upload/photo/2015-12-02/25353d40fadaa9a7cd4154b2d50ae998.jpeg"
"1addb422","2015-12-02","晚餐","450","金针菇肥牛套餐","upload/photo/2015-12-02/c0161976b6d5b69586b9cc9c1b15803b.jpeg"
"1addb422","2015-12-02","下午茶","0","牛奶&某某奥饼干","upload/photo/2015-12-02/413ab9bdbb393bd2ff5c384e8326c581.jpeg"
"1addb422","2015-12-02","夜宵","0","牛奶","upload/photo/2015-12-02/c29ff93e2708ddd1d9068f2b8dcb744a.jpeg"
"1addb422","2015-12-03","早餐","309","小笼包&豆浆","upload/photo/2015-12-03/0a6eee9ff389a73732367cda8746ac3e.jpeg"
"1addb422","2015-12-03","午餐","600","奶油培根意面","upload/photo/2015-12-03/ca9fb23fb1dd933afc7a3eb8accc4b52.jpeg"
"1addb422","2015-12-03","晚餐","323","玫瑰油鸡饭","upload/photo/2015-12-03/8096826660c12cdcc811f0e1f81b28d5.jpeg"
"1addb422","2015-12-03","下午茶","144","牛奶","upload/photo/2015-12-03/93ee02f740e4683eb4e584b015ce06e7.jpeg"
"1addb422","2015-12-03","夜宵","144","牛奶","upload/photo/2015-12-03/7273b7b7ee60c9165d7486259fffcbce.jpeg"
"1addb422","2015-12-04","早餐","345","小笼包&豆浆（真的是这样，我没拍新的照片）","upload/photo/2015-12-04/881ca9aa79a1b6f0c1db505432e7027c.jpeg"
"1addb422","2015-12-04","午餐","540","一餐二楼点餐","upload/photo/2015-12-04/a11e3bf5b392bd7e72d8d36a67a04b94.jpeg"
"1addb422","2015-12-04","下午茶","144","牛奶","upload/photo/2015-12-04/5c8956f944668c88cb40ff6b306d9edc.jpeg"
"1addb422","2015-12-05","早餐","144","牛奶","upload/photo/2015-12-05/69642f7d7847188ee5dd19cacef8558b.jpeg"
"1addb422","2015-12-05","午餐","500","金针菇肥牛套餐","upload/photo/2015-12-05/7cfe53a1088dd8f01dcd7e619ab0ea3b.jpeg"
"1addb422","2015-12-05","晚餐","738","年糕火锅","upload/photo/2015-12-05/9d5fa28414e1c9ea40daea2711587bb0.jpeg"
"1addb422","2015-12-05","夜宵","144","牛奶","upload/photo/2015-12-05/4fcfaa5bee93ff7654b4316b8f3e4d6c.jpeg"
"1addb422","2015-12-06","早餐","144","牛奶","upload/photo/2015-12-06/7f309d42ae2d6dae107873a033cb79c1.jpeg"
"1addb422","2015-12-06","午餐","500","金针菇肥牛套餐","upload/photo/2015-12-06/ad7d6965ac88a66b7f1379104a64ea6e.jpeg"
"1addb422","2015-12-06","晚餐","510","意式肉酱意面","upload/photo/2015-12-06/0e2cca6cc22e2f7713d42ada3863d003.jpeg"
"1addb422","2015-12-07","早餐","165","黄金糕&豆浆（当时时间紧迫，没拍照orz）","upload/photo/2015-12-07/c26624d416c0da015720da57c1b2cf16.png"
"1addb422","2015-12-07","午餐","650","一餐的点餐","upload/photo/2015-12-07/f28d3780de2c8563e58aa519e0d2c7f3.png"
"1addb422","2015-12-07","晚餐","580","奶油培根意面","upload/photo/2015-12-07/14ec5e89679d95220cd63ab5dad8caa1.png"
"1addb422","2015-12-07","下午茶","340","牛奶&某某奥饼干","upload/photo/2015-12-07/92c8d239f45b4abe221dd7ec9752ec51.jpg"
"1addb422","2015-12-07","夜宵","144","牛奶","upload/photo/2015-12-07/8f0af7cd785e3254cadacbf4792f6fd2.jpg"
