"编号","日期","类型","热量/kcal","餐品描述","照片"
"1ba3aa53","2015-12-01","早餐","550","一包甜面包，牛奶","upload/photo/2015-12-01/b223f293fefc8b97f079ba1c5f01dc38.jpeg"
"1ba3aa53","2015-12-01","午餐","370","米饭，青菜，辣子鸡","upload/photo/2015-12-01/c9bfbc8a3d93828ef7c34a4d03a3071d.jpeg"
"1ba3aa53","2015-12-01","晚餐","600","坚果，牛肉，酸奶","upload/photo/2015-12-01/4f5a3f634533cee25bdf3488d4ba8d1f.jpg"
"1ba3aa53","2015-12-02","早餐","340","燕麦牛奶，牛肉","upload/photo/2015-12-02/475fc054cc92e0f552c2ff7e2460298c.jpg"
"1ba3aa53","2015-12-02","午餐","545","米饭，芹菜炒肉，蘑菇炖肉","upload/photo/2015-12-02/014482ed51844eb63660780296c99ed5.jpg"
"1ba3aa53","2015-12-02","晚餐","320","坚果，酸奶","upload/photo/2015-12-02/4f04e8829d19bfc51426eb19cfe65d80.jpeg"
"1ba3aa53","2015-12-03","早餐","440","鸡蛋饼，牛奶","upload/photo/2015-12-03/1d65ade52d4c8e90d9d6229813415e89.jpg"
"1ba3aa53","2015-12-03","午餐","530","牛肉面","upload/photo/2015-12-03/d4c96fa1a4255a31bddafb693ca31290.jpeg"
"1ba3aa53","2015-12-03","晚餐","200","酸奶","upload/photo/2015-12-03/a116c6b153ba0ee9c0ad319c0196a196.jpeg"
"1ba3aa53","2015-12-04","早餐","370","牛肉牛奶","upload/photo/2015-12-04/c945f6738e9c3ba20e5d8deeab1d4e5d.jpg"
"1ba3aa53","2015-12-04","午餐","540","米饭，咖喱鸡肉，芹菜炒肉","upload/photo/2015-12-04/f0500b97bf041af9dc4e21c9d3d6df62.jpeg"
"1ba3aa53","2015-12-04","晚餐","350","方便面","upload/photo/2015-12-04/28d8a1596f84096bfd264333bf6c46bf.jpg"
"1ba3aa53","2015-12-05","早餐","330","熏肉饼，粥","upload/photo/2015-12-05/624d2c2eef70fa5acba2d00f555debd3.jpeg"
"1ba3aa53","2015-12-05","午餐","540","米饭，排骨","upload/photo/2015-12-05/e034561a0381e981e4ff3fe2c2c3b33b.jpeg"
"1ba3aa53","2015-12-05","晚餐","310","酸奶，坚果","upload/photo/2015-12-05/c6136d824561fb66a5998da0182e70a6.jpeg"
"1ba3aa53","2015-12-06","早餐","410","肉卷，黑米粥","upload/photo/2015-12-06/f9fc02116d3e6606cfd074220baca48f.jpeg"
"1ba3aa53","2015-12-06","午餐","600","宫保鸡丁饭","upload/photo/2015-12-06/a57b516a2ca8a8fbefe5deff94dda6e1.jpg"
"1ba3aa53","2015-12-06","晚餐","310","酸奶坚果","upload/photo/2015-12-06/fd9255cad37da2ffbcd925da4500f390.jpeg"
"1ba3aa53","2015-12-07","早餐","400","蛋饼牛奶","upload/photo/2015-12-07/ea8f740387e14f40b03bb187a2b914b2.jpeg"
"1ba3aa53","2015-12-07","午餐","570","米饭","upload/photo/2015-12-07/549c4bc863153f8f1543f7452e39ab71.jpeg"
"1ba3aa53","2015-12-07","晚餐","320","酸奶坚果","upload/photo/2015-12-07/950e84bf2ff58600e6b3b11aeb6c5f69.jpeg"
"1ba3aa53","2015-12-08","早餐","400","牛奶面包","upload/photo/2015-12-08/8995c9b476e16bdb67b8695441c91e9c.jpeg"
"1ba3aa53","2015-12-08","午餐","630","米饭，青菜，豆腐，肉","upload/photo/2015-12-08/007dd8c78058bb0dca5f96e5d8aa1d0c.jpeg"
"1ba3aa53","2015-12-08","晚餐","330","酸奶坚果","upload/photo/2015-12-08/3b27f8ce58085f2128e85a8da2d2530b.jpeg"
