"编号","日期","类型","热量/kcal","餐品描述","照片"
"1d5e24cf","2015-12-01","早餐","150","一杯燕麦片","upload/photo/2015-12-01/0314752266a8755db21a5862f6693bb5.jpg"
"1d5e24cf","2015-12-01","午餐","527","番茄肉酱面","upload/photo/2015-12-01/666628bf78a9ea568ff1ed1e80c7c3b5.jpg"
"1d5e24cf","2015-12-01","晚餐","691","一碗香菇牛肉粥，一个鸡蛋，两个蛋挞，一杯酸奶","upload/photo/2015-12-01/8c1bcb7b8d253374d0fde2325e90f108.jpg"
"1d5e24cf","2015-12-02","早餐","176","两个面包","upload/photo/2015-12-02/f44afeb722ecf7f85ac63d263f85f5f6.jpg"
"1d5e24cf","2015-12-02","午餐","546","一包曲奇","upload/photo/2015-12-02/97d3f4fc789c2bccb7a3c00026970ca3.jpg"
"1d5e24cf","2015-12-02","晚餐","198","一碗小馄饨","upload/photo/2015-12-02/ce68b6b3d4002bc2240dac962f41bc43.jpg"
"1d5e24cf","2015-12-02","下午茶","52","一个苹果","upload/photo/2015-12-02/11c5238534f5b3d8db18f3c3e9452f33.jpg"
"1d5e24cf","2015-12-02","夜宵","264","一包红枣","upload/photo/2015-12-02/ffa2026ec378af98a06d589351038024.jpg"
"1d5e24cf","2015-12-03","早餐","187","一杯麦片","upload/photo/2015-12-03/6583d9dfb52dca6bfc8cfae51d15ff15.jpg"
"1d5e24cf","2015-12-03","午餐","570","饼干加小核桃","upload/photo/2015-12-03/fa71b9b63405ecf2bc358cc24e1fb23b.jpg"
"1d5e24cf","2015-12-03","晚餐","660","披萨，薯条，和蔬菜沙拉","upload/photo/2015-12-03/441183480f608b949365aa124d7c0105.jpg"
"1d5e24cf","2015-12-03","下午茶","82","柚子","upload/photo/2015-12-03/1c6230adccb8c6faa7024301acfa96ae.jpg"
"1d5e24cf","2015-12-04","早餐","220","一包曲奇","upload/photo/2015-12-04/51260c8d07c537b8f24c808d70d71662.jpg"
"1d5e24cf","2015-12-04","午餐","187","燕麦片","upload/photo/2015-12-04/9330afef2a86a9cb5ca8632afcaaea34.jpg"
"1d5e24cf","2015-12-04","晚餐","320","小馄饨","upload/photo/2015-12-04/24eb4d7bfd580a771612889b732b075e.jpg"
"1d5e24cf","2015-12-04","下午茶","548","鸡块","upload/photo/2015-12-04/2dac0817440c4d7c098eef71f49c7056.jpg"
"1d5e24cf","2015-12-05","早餐","410","饼干","upload/photo/2015-12-05/291ca47a1f07793ea26925ceaeb3d02a.jpg"
"1d5e24cf","2015-12-05","午餐","700","烧烤","upload/photo/2015-12-05/ba2ecf2b2695048de46f0cddef8535de.jpg"
"1d5e24cf","2015-12-05","晚餐","235","披萨","upload/photo/2015-12-05/30ed497c21a85fc96b08a8856bf11296.jpg"
"1d5e24cf","2015-12-06","早餐","0","没吃","upload/photo/2015-12-06/4980663128cb4056c139e691c7d822f0.jpg"
"1d5e24cf","2015-12-06","午餐","180","一杯燕麦片","upload/photo/2015-12-06/6049fdaf49d5352be45872cddff45dde.jpg"
"1d5e24cf","2015-12-06","晚餐","472","拉面，内含卤蛋，白菜，肉片，海带，肉末","upload/photo/2015-12-06/1e8d8af9b5efd0b6e9ba72a4d80fe534.jpg"
"1d5e24cf","2015-12-07","早餐","160","一杯牛奶，一包曲奇","upload/photo/2015-12-07/893a6a2315596cbaed0137554d5339b9.jpg"
"1d5e24cf","2015-12-07","午餐","278","一碗小馄饨","upload/photo/2015-12-07/8479f6d8bd654caf6b6b279afd63cae2.jpg"
"1d5e24cf","2015-12-07","晚餐","472","一碗拉面","upload/photo/2015-12-07/d707edaaf76514ed3914e39a37891584.jpg"
