"编号","日期","类型","热量/kcal","餐品描述","照片"
"21a1ae17","2015-12-01","早餐","188","法式吐司＆雀巢香浓咖啡（听装）","upload/photo/2015-12-01/196f6dab1f58fa3f91b7af345a7e6691.jpg"
"21a1ae17","2015-12-01","午餐","569.5","快餐（白菜，虾，土豆泥，米饭）","upload/photo/2015-12-01/cb69b2547d02032d08499a6a7a05e6ed.jpg"
"21a1ae17","2015-12-01","晚餐","588","黄焖鸡米饭","upload/photo/2015-12-01/fa0a73ee91b7ade4cf59f6a4a428376c.jpg"
"21a1ae17","2015-12-01","下午茶","347.5","【其他进食】（！有一盒已剥皮的柚子吃完了没拍照），呦呦奶咖一瓶，矿泉水半瓶，几粒薄荷糖，几片松塔","upload/photo/2015-12-01/237cc6c20ec75e94786269bbc0220c6a.jpg"
"21a1ae17","2015-12-02","早餐","350","面包片，椰奶","upload/photo/2015-12-02/a8e3bf2d67e43adc1e107373a8ec2e53.jpg"
"21a1ae17","2015-12-02","午餐","529","咖喱炸鸡饭","upload/photo/2015-12-02/ca500589dadb92f123cce422a979a8ed.jpg"
"21a1ae17","2015-12-02","晚餐","598","快餐（黑木耳茶树菇炒蛋，嗯某种肉我没有吃出来是猪肉还是羊肉(⊙o⊙)）","upload/photo/2015-12-02/86db27afe4156a3ae8c9341bd04e2832.jpg"
"21a1ae17","2015-12-02","其他","60","矿泉水一瓶，沁柠水一瓶，还有没有拍照的一听咖啡","upload/photo/2015-12-02/11bba374c7372dfe4d3951d31aca394c.jpg"
"21a1ae17","2015-12-03","早餐","0","没有吃我错了","upload/photo/2015-12-03/79fcd358d1a2de58fd1c28f3a67e6247.jpg"
"21a1ae17","2015-12-03","午餐","498","熏鱼面，荷包蛋","upload/photo/2015-12-03/63be2e436641fffbca3402523a0ba865.jpg"
"21a1ae17","2015-12-03","晚餐","378.75","茶树菇腊肉土豆粉","upload/photo/2015-12-03/f9b02a15367ddfcd36948cbe7cc07e53.jpg"
"21a1ae17","2015-12-03","其他","278","（还有一只甜筒）摩卡咖啡，瓶装雀巢咖啡，农夫山泉矿泉水","upload/photo/2015-12-03/8bcf12e7b7aae6488490b194126a0599.jpg"
"21a1ae17","2015-12-04","早餐","487","一个肉包一个菜包，一袋豆奶","upload/photo/2015-12-04/a56fe9bcbbd15ca9a380b3700613425f.jpg"
"21a1ae17","2015-12-04","午餐","821.5","快餐（回锅肉，莴苣，土豆泥，米饭）","upload/photo/2015-12-04/84b897624180f999cfdf449f14d06d38.jpg"
"21a1ae17","2015-12-04","晚餐","584","（忘记拍照了）萝卜羊肉饭（一半），牛奶饭","upload/photo/2015-12-04/25861e85f7ac9b7738852e38d0da8c69.jpg"
"21a1ae17","2015-12-04","其他","364.5","焦糖玛奇朵，一盒木瓜，盒装港式奶茶，黑加仑酸奶","upload/photo/2015-12-04/0a6618848541b8d0a92320ad6e8690fc.jpg"
"21a1ae17","2015-12-05","早餐","772","快餐（荷兰豆，手撕包菜，咖喱鸡肉）","upload/photo/2015-12-05/70550eec4c732eae81ec0931c3e19e20.jpg"
"21a1ae17","2015-12-05","早餐","320","小蛋糕","upload/photo/2015-12-05/837c0c43dbdc6d777b5a45b2fe3e9733.jpg"
"21a1ae17","2015-12-05","午餐","437.5","小馄饨","upload/photo/2015-12-05/aca690314cfd1e45188db43b701d6234.jpg"
"21a1ae17","2015-12-05","其他","130.5","一盒橙子，农夫山泉矿泉水，一听奶咖","upload/photo/2015-12-05/a242baffa0709fded97e8ca8d74cee1e.jpg"
"21a1ae17","2015-12-06","早餐","440","豆沙包","upload/photo/2015-12-06/a9035eca999f01d9999a15c1f6286e55.jpg"
"21a1ae17","2015-12-06","午餐","497.5","忘记拍照了！铁板龙利鱼","upload/photo/2015-12-06/88cfe9171f99203c542b882e3851c216.jpg"
"21a1ae17","2015-12-06","晚餐","437.5","小馄饨","upload/photo/2015-12-06/f2e95f54e641e34943757e610a4617b3.jpg"
"21a1ae17","2015-12-06","其他","362.5","一盒柚子，一杯卡布奇诺，一瓶酸奶，几块威化饼干，几颗薄荷糖","upload/photo/2015-12-06/1af855f598989f96952b34bd7d92b025.jpg"
"21a1ae17","2015-12-07","早餐","225","切片面包","upload/photo/2015-12-07/1c7e4989713001e3b4fd57dab4416a2b.jpg"
"21a1ae17","2015-12-07","午餐","338","香菇鸡土豆粉","upload/photo/2015-12-07/adf7526e724b630f7851c46a18db743d.jpg"
"21a1ae17","2015-12-07","晚餐","185.5","（忘了拍了）皮蛋瘦肉粥，荷包蛋","upload/photo/2015-12-07/ce8b9ddc0e2c87faf0caf896e2be3700.jpg"
"21a1ae17","2015-12-07","其他","254.5","矿泉水，威化饼干","upload/photo/2015-12-07/974ae06382bec14ed74b67126dfb5092.jpg"
