"编号","日期","类型","热量/kcal","餐品描述","照片"
"21e68b1c","2015-12-01","早餐","0","没吃。。","upload/photo/2015-12-01/a7555f8c4d017fa741c3e48ee907567a.jpg"
"21e68b1c","2015-12-01","午餐","400","三餐","upload/photo/2015-12-01/d57a61b74e1b6377a453a3c9036881fd.jpg"
"21e68b1c","2015-12-01","晚餐","720","三餐","upload/photo/2015-12-01/0dfffb49a99bd0a97e0988f2f9707d97.jpg"
"21e68b1c","2015-12-02","早餐","0","没吃","upload/photo/2015-12-02/efb09e952fa052f4e4baf3faa4a6970a.jpg"
"21e68b1c","2015-12-02","午餐","380","三餐 打饭","upload/photo/2015-12-02/8793bbff06a5f030a37d4f1fcc077923.jpg"
"21e68b1c","2015-12-02","晚餐","500","二餐 牛肉砂锅","upload/photo/2015-12-02/c62cc308c83c8e3d1d5a90f51aa5398b.jpg"
"21e68b1c","2015-12-03","早餐","570","奥利奥","upload/photo/2015-12-03/95a48f4ab404168b66fd180d2e1c8b2d.jpg"
"21e68b1c","2015-12-03","午餐","530","三餐 铁板烧","upload/photo/2015-12-03/5f901f6518b26444811780bf37ac21cd.jpg"
"21e68b1c","2015-12-03","晚餐","530","三餐 打饭","upload/photo/2015-12-03/d99a6051dace182c2fe20553d502bbbb.jpg"
"21e68b1c","2015-12-04","早餐","250","三餐买的四个锅贴","upload/photo/2015-12-04/d399b9d852085e57749398b374c7612b.jpg"
"21e68b1c","2015-12-04","午餐","240","四餐的炒米","upload/photo/2015-12-04/2b235103cde836c6602160f92702382f.jpg"
"21e68b1c","2015-12-04","晚餐","450","三餐的排骨汤","upload/photo/2015-12-04/415b242ce44d9c23cd7054dae9ce1f68.jpg"
"21e68b1c","2015-12-05","早餐","560","奥利奥 周四剩下的 没吃完","upload/photo/2015-12-05/7074990e7efbc9896aca89cc75519e60.jpg"
"21e68b1c","2015-12-05","午餐","570","三餐 黄焖鸡米饭 比较快","upload/photo/2015-12-05/a996f981e919b742ffcb0c6b3028f6ff.jpg"
"21e68b1c","2015-12-05","晚餐","580","三餐打饭 肉特别多","upload/photo/2015-12-05/bfbd911b684651a4a53026bc80c0607d.jpg"
"21e68b1c","2015-12-06","早餐","0","没吃","upload/photo/2015-12-06/652a3c8b918a2f8b4801eceda371bfab.jpg"
"21e68b1c","2015-12-06","午餐","340","四餐 腊肠炒饭","upload/photo/2015-12-06/37ab1433a926924b3602f3afafc83a25.jpg"
"21e68b1c","2015-12-06","晚餐","0","聚餐。。没拍照 吃了烤鱼 水煮牛肉 还有鱼香肉丝","upload/photo/2015-12-06/5b84fa14725d2483d62c4be748d540e1.jpg"
"21e68b1c","2015-12-07","早餐","250","三个包子 一个豆浆 在华联买的（没有图）","upload/photo/2015-12-07/f1c9ea58b89beb5a10a8deb5a84e55be.jpg"
