"编号","日期","类型","热量/kcal","餐品描述","照片"
"2443d7f3","2015-12-01","早餐","0","肉包子、鸡蛋、黑米粥","upload/photo/2015-12-01/68796dd94977cae73e31ef7057960019.jpeg"
"2443d7f3","2015-12-01","午餐","0","爆鱼饭","upload/photo/2015-12-01/766f3728c5a399bf7b2e1c25f40484df.jpeg"
"2443d7f3","2015-12-01","晚餐","0","蒜苔 酱焖鸭肉","upload/photo/2015-12-01/2cd34c8593f254aa0032ed367f82e37a.jpeg"
"2443d7f3","2015-12-02","早餐","0","包子鸡蛋粥","upload/photo/2015-12-02/40d4ac7b66e2dff05898489c29e875ea.jpeg"
"2443d7f3","2015-12-02","午餐","0","","upload/photo/2015-12-02/fd09bc158766e43278ddbfa5af3ddeae.jpeg"
"2443d7f3","2015-12-02","晚餐","0","黑椒牛肉饭","upload/photo/2015-12-02/db06a4a77fda971068801846bda64852.jpeg"
"2443d7f3","2015-12-02","夜宵","0","零食","upload/photo/2015-12-02/d7762cf8df4720a43653bb814e6f98a7.jpeg"
"2443d7f3","2015-12-03","早餐","0","夹馍 粥","upload/photo/2015-12-03/44e17ce0ae025e700545976d3c173633.jpeg"
"2443d7f3","2015-12-03","午餐","0","蛋糕","upload/photo/2015-12-03/95da809e537ff25da7c55e3e5c8491b4.jpeg"
"2443d7f3","2015-12-03","晚餐","0","猪肉 萝卜 西红柿鸡蛋","upload/photo/2015-12-03/2a859d21001e61c6710d657bab2b39e0.jpeg"
"2443d7f3","2015-12-03","夜宵","0","蛋糕","upload/photo/2015-12-03/d57521bf4482af0b9f1bdfd01752b889.jpg"
"2443d7f3","2015-12-04","早餐","0","包子粥","upload/photo/2015-12-04/d861978945e407bc16c4527cc3da4fea.jpeg"
"2443d7f3","2015-12-04","午餐","0","鸭肉白菜","upload/photo/2015-12-04/c43495f92f2820affde2eb7af3aaf6d1.jpeg"
"2443d7f3","2015-12-04","晚餐","0","豇豆白菜","upload/photo/2015-12-04/20099572397ef6cf68a1c8f843441b29.jpeg"
"2443d7f3","2015-12-04","夜宵","0","牛奶饼干","upload/photo/2015-12-04/3c1440e0a4cbf0adff167b386b6640d1.jpeg"
"2443d7f3","2015-12-05","早餐","0","肉包子鸡蛋粥","upload/photo/2015-12-05/81cd65380e1eeeb1763aef73d3584c08.jpeg"
"2443d7f3","2015-12-05","午餐","0","鸭肉 白菜","upload/photo/2015-12-05/01d9b1dd95e2b2ad12c817cd9334c19b.jpeg"
"2443d7f3","2015-12-05","晚餐","0","蔬菜土豆","upload/photo/2015-12-05/ae06a6fb413557318dcfcf75d404af57.jpeg"
"2443d7f3","2015-12-06","早餐","0","包子鸡蛋粥","upload/photo/2015-12-06/97a88a7c2fd47d5fbf6e7eae972a7c10.jpeg"
"2443d7f3","2015-12-06","午餐","0","排骨饭（忘记拍照了）","upload/photo/2015-12-06/7c2bd7dc68ac5e6796ac05b01a4d2d48.jpeg"
"2443d7f3","2015-12-06","晚餐","0","炸酱面（忘记拍照了）","upload/photo/2015-12-06/2ca8fd89aa1f1e0d9caa0427152687fd.jpeg"
"2443d7f3","2015-12-07","早餐","0","鸡蛋包子粥","upload/photo/2015-12-07/b22690205f26450a55ff2d20ea8d4a18.jpeg"
"2443d7f3","2015-12-07","午餐","0","港式烧鸭饭","upload/photo/2015-12-07/f182e8fb17f7e423d853d16a948c278a.jpeg"
"2443d7f3","2015-12-07","晚餐","0","卤水鸭肉饭","upload/photo/2015-12-07/2edce78bfdcc205960e13bb1abb87da9.jpeg"
