"编号","日期","类型","热量/kcal","餐品描述","照片"
"255fa7ab","2015-12-01","早餐","300","面包","upload/photo/2015-12-01/239a6c75b7538aecc978fd8863f939eb.jpeg"
"255fa7ab","2015-12-01","午餐","391","外卖 金串子美食 鸡扒饭","upload/photo/2015-12-01/e5233b7ca83489effc7bc643301eae25.jpeg"
"255fa7ab","2015-12-01","晚餐","325","面包 连续上课","upload/photo/2015-12-01/619aab531e5f41fef6259e6318d6eb66.jpeg"
"255fa7ab","2015-12-02","早餐","0","上课去了没有吃早餐","upload/photo/2015-12-02/ae0362f235aee7defea63ed8f1de129a.jpeg"
"255fa7ab","2015-12-02","午餐","600","重庆麻辣烫","upload/photo/2015-12-02/6d277a2a994eec90cf6b1547c8094004.jpeg"
"255fa7ab","2015-12-02","晚餐","596","HL 咖喱鸡排饭","upload/photo/2015-12-02/bb50bcf5bdf7247b6c91276b10a942e2.jpeg"
"255fa7ab","2015-12-03","早餐","120","华联包子","upload/photo/2015-12-03/f361d0331203165f6bac11279dcd1ce8.jpeg"
"255fa7ab","2015-12-03","午餐","543","二餐大众","upload/photo/2015-12-03/7132d2e341cdcb7372a78cca0648cf58.jpeg"
"255fa7ab","2015-12-03","晚餐","556","二餐江南小吃炒饭","upload/photo/2015-12-03/ca112be405c6de7d2d4708ff0176b570.jpeg"
"255fa7ab","2015-12-04","早餐","180","华联包子 两个鲜肉和豆浆","upload/photo/2015-12-04/7b07484c4f1b3e7978577c14cd67fe5b.jpeg"
"255fa7ab","2015-12-04","午餐","556","炒饭 吃的东西和昨天中午一样","upload/photo/2015-12-04/bd56f5bc8b25111fb7e5f5e2f3660229.jpeg"
"255fa7ab","2015-12-04","晚餐","685","金串子 牛肉丝饭","upload/photo/2015-12-04/8297d8213bf09ca1e8a03f20ce8032b2.jpeg"
"255fa7ab","2015-12-05","早餐","0","周末不吃早餐","upload/photo/2015-12-05/c66cf9d5476d102a8775d7ced396cf17.jpeg"
"255fa7ab","2015-12-05","午餐","450","又一次重庆麻辣烫","upload/photo/2015-12-05/c672e1ed35d855f781f08b577aeef2b6.jpeg"
"255fa7ab","2015-12-05","晚餐","500","金串子 香炸鸡翅牛肉丝饭","upload/photo/2015-12-05/efb3fe18b12854ad4b40a6c082543489.jpeg"
"255fa7ab","2015-12-06","早餐","0","没吃","upload/photo/2015-12-06/b7472892bce315e82d6e4c42da621372.jpeg"
"255fa7ab","2015-12-06","午餐","489","广东烧腊小厨 叉烧饭","upload/photo/2015-12-06/8f69a9fed010ddc53fdd0bcf0fbafc88.jpeg"
"255fa7ab","2015-12-06","晚餐","452","浏阳土菜馆","upload/photo/2015-12-06/2eb1fc3fb8b176ea80499563f141a944.jpeg"
"255fa7ab","2015-12-07","早餐","210","华联包子","upload/photo/2015-12-07/453c8fd0e57b61d50cca9fcf14cd602f.jpeg"
"255fa7ab","2015-12-07","午餐","0","没吃。早上11点吃的早餐","upload/photo/2015-12-07/3d2bbbdc3ae5ce6f1971937fa2b67cf6.jpeg"
"255fa7ab","2015-12-07","晚餐","500","金串子","upload/photo/2015-12-07/805f90724530c6386c85c991c247fc3f.jpeg"
