"编号","日期","类型","热量/kcal","餐品描述","照片"
"28b8598c","2015-12-01","早餐","388","菜包 黑米粥 巧克力奶 煮鸡蛋 饼","upload/photo/2015-12-01/6c2c4025822c3c5f28f21695d7845d24.jpg"
"28b8598c","2015-12-01","午餐","543","酸菜鱼 紫薯 西红柿炒鸡蛋 小碗米饭~","upload/photo/2015-12-01/dc45beea6a45c8e4ef3a7d3d6c466cce.jpg"
"28b8598c","2015-12-01","晚餐","498","酱鸭 西红柿炒鸡蛋 一两米饭～","upload/photo/2015-12-01/c85dfa450a8362b33b5029858b8db055.jpg"
"28b8598c","2015-12-01","夜宵","588","两个蛋挞～","upload/photo/2015-12-01/cf04aa647ed55f46514c6b139ae5618b.jpg"
"28b8598c","2015-12-02","早餐","502","米酒 鸡蛋 菜包 芝麻包","upload/photo/2015-12-02/8dbbf28ae3079ab9e0285ca4ea04304e.jpg"
"28b8598c","2015-12-02","午餐","355","鱼 青菜 汤 一两米饭 两片柚子","upload/photo/2015-12-02/db5620aa008f779b518f97478fbeae7d.jpg"
"28b8598c","2015-12-02","晚餐","588","烤面包夹冰激凌和巧克力酱～","upload/photo/2015-12-02/0251ab26d146bde00c35040b63d6f618.jpg"
"28b8598c","2015-12-03","早餐","423","鸡蛋 黑米粥 菜包 红薯","upload/photo/2015-12-03/d55aa5ee02cbc6faa7c953d7d7890cce.jpg"
"28b8598c","2015-12-03","午餐","342","豆腐干 鸡腿 一两米饭","upload/photo/2015-12-03/7907d0fef45c0d15eeafa5ea3dd49edb.jpg"
"28b8598c","2015-12-03","晚餐","523","酱鸭腿 西红柿炒鸡蛋 一两米饭","upload/photo/2015-12-03/ca15e6dd4536e1b933508882f13fa097.jpg"
"28b8598c","2015-12-03","课间餐","252","牛肉干 海苔 地瓜","upload/photo/2015-12-03/680ded30075a83126f3a64a0ed4009ce.jpg"
"28b8598c","2015-12-04","早餐","312","黑米粥 菜包 鸡蛋 饼","upload/photo/2015-12-04/f28e3a72526271cf902fd6b6e7e81e6e.jpg"
"28b8598c","2015-12-04","午餐","350","西红柿鸡蛋 一两米饭 红烧肉","upload/photo/2015-12-04/e8d6e55c5eda2d7b871e750bdbb57f5a.jpg"
"28b8598c","2015-12-04","晚餐","354","青菜 哈密瓜炒肉 一两米饭","upload/photo/2015-12-04/6b96c309a03fbb2e81445faed8b1fc81.jpg"
"28b8598c","2015-12-04","夜宵","154","黄桃酸奶","upload/photo/2015-12-04/9c6223e648efc3af5752efd7dc543afb.jpg"
"28b8598c","2015-12-05","早餐","551","蔓越莓果酱抹面包","upload/photo/2015-12-05/a137157b9c2d2d00dfacd82eac1b453f.jpg"
"28b8598c","2015-12-05","午餐","612","羊肉手抓饭 油香 奶酪 牛肉干等","upload/photo/2015-12-05/90197cc02a091ade1cc4b6a61a36fa0e.jpg"
"28b8598c","2015-12-05","晚餐","386","海鲜乌冬面","upload/photo/2015-12-05/6b174780e412a9ac5c94d3dd8d13f840.jpg"
"28b8598c","2015-12-06","早餐","521","酸奶泡面包","upload/photo/2015-12-06/64560575bd12e8c87a92555470aabfc3.jpg"
"28b8598c","2015-12-06","午餐","678","嫩牛饭 里面有鸡蛋 青菜 莴苣 胡萝卜","upload/photo/2015-12-06/22cb5e4dd4002e36c4e4fefddb2f9b89.jpg"
"28b8598c","2015-12-06","晚餐","522","大盘鸡面","upload/photo/2015-12-06/ce25e79ea39007100b30acf5d32ca36f.jpg"
"28b8598c","2015-12-07","早餐","468","菜包 黑米粥 两片面包夹荷包蛋","upload/photo/2015-12-07/5650e210668896a9c9ac9704847c5aed.jpg"
"28b8598c","2015-12-07","午餐","526","鱼 酱鸭腿 一两米饭","upload/photo/2015-12-07/9e52877863e51acc0266aaab1a7b3e65.jpg"
