"编号","日期","类型","热量/kcal","餐品描述","照片"
"366e1623","2015-12-01","早餐","0","蛋糕","upload/photo/2015-12-01/523c7c00df07b418ce4878e1f0a5d413.jpg"
"366e1623","2015-12-01","午餐","0","菜花，猪脚，土豆，鸡腿","upload/photo/2015-12-01/6725238724050aabbffc37c5c77b1d2a.jpg"
"366e1623","2015-12-01","晚餐","0","肥牛鸡排","upload/photo/2015-12-01/3cfb9d3707432f6c0821408e3be9e30c.jpg"
"366e1623","2015-12-01","下午茶","0","甜筒","upload/photo/2015-12-01/309280288d7fa482133cf62ea268a8f9.jpg"
"366e1623","2015-12-02","早餐","0","3个生煎","upload/photo/2015-12-02/78a410328bb10e9decf223e65bf3317b.jpg"
"366e1623","2015-12-02","午餐","0","青菜，红烧肉","upload/photo/2015-12-02/c57e7a3f0c5bb30d9231bdd211dc5d1a.jpg"
"366e1623","2015-12-02","晚餐","0","鸡腿，鱼","upload/photo/2015-12-02/f883e58c6ad83405710007f05cdfb479.jpg"
"366e1623","2015-12-03","早餐","0","点心，香蕉","upload/photo/2015-12-03/f53af4608578848ae2d4a0a188bedc94.jpg"
"366e1623","2015-12-03","午餐","0","鱼，鸡块土豆，菜花","upload/photo/2015-12-03/64851f783791257068918b20b47c99e3.jpg"
"366e1623","2015-12-03","晚餐","0","燃面","upload/photo/2015-12-03/7bf20af99747d377ea6324a63ed19934.jpg"
"366e1623","2015-12-04","早餐","0","饼干","upload/photo/2015-12-04/36fea0a8c00d09efaeece0f23c98762a.jpg"
"366e1623","2015-12-04","午餐","0","鸡腿，白菜，猪脚","upload/photo/2015-12-04/9a2a71bb3e0ea4764a5a898a35d4ff5b.jpg"
"366e1623","2015-12-04","晚餐","0","鸡腿，蘑菇","upload/photo/2015-12-04/b5ecdd5c5633404c275f98b8d4d3cac3.jpg"
"366e1623","2015-12-05","早餐","269","豆浆，饼","upload/photo/2015-12-05/0e29379be1047c47ba176ce01a1079f7.jpg"
"366e1623","2015-12-05","午餐","280","牛排","upload/photo/2015-12-05/fa53f17c9053150ee709dda1a82781ce.jpg"
"366e1623","2015-12-05","晚餐","323","鸡腿，韭菜","upload/photo/2015-12-05/0286bcd06d29d6a73542fd6f9afb887e.jpg"
"366e1623","2015-12-06","早餐","0","没吃","upload/photo/2015-12-06/0fc993c34bb3afbb9dd4c6da499c3f13.jpg"
"366e1623","2015-12-06","午餐","294","黄焖鸡","upload/photo/2015-12-06/1c19dfa0533c32ac7c1a0e23c3e8e9e7.jpg"
"366e1623","2015-12-06","晚餐","414","汉堡，麦旋风","upload/photo/2015-12-06/8859d2f5b5c6e8f3ed32ce8f426182ba.jpg"
"366e1623","2015-12-07","早餐","0","无","upload/photo/2015-12-07/347df9b1c4adb54312c2bf6ce33239bc.jpg"
"366e1623","2015-12-07","午餐","0","燃面","upload/photo/2015-12-07/d9ac9c251faa6f4c3438b0a5ea4d4149.jpg"
"366e1623","2015-12-07","晚餐","0","黄焖鸡","upload/photo/2015-12-07/d1ae8701fc0600a6fd0887a99360d8da.jpg"
