"编号","日期","类型","热量/kcal","餐品描述","照片"
"3966650b","2015-12-01","早餐","739.4","牛奶 饼干","upload/photo/2015-12-01/e9719181c91e390dfbeed734c39b9e71.jpg"
"3966650b","2015-12-01","早餐","575","犒劳自己 披萨","upload/photo/2015-12-01/572bf722523b163b21d3c4f07a5fb5ce.jpg"
"3966650b","2015-12-01","午餐","203.4","米饭 鱼 豆腐","upload/photo/2015-12-01/052e8e62bde94c0bfb465d9fee1da8cd.jpg"
"3966650b","2015-12-02","早餐","610","饼干 牛奶","upload/photo/2015-12-02/80ec2eb48c9284914953b075ab0e051a.jpg"
"3966650b","2015-12-02","午餐","385","烤肉饭","upload/photo/2015-12-02/c100544f572d7c55c9620c989c835574.jpg"
"3966650b","2015-12-03","早餐","637","和昨天 一样 饼干 牛奶","upload/photo/2015-12-03/51094c0551fdabf1661c7a67b4ab784c.jpg"
"3966650b","2015-12-03","午餐","261","鸡蛋灌饼","upload/photo/2015-12-03/767bd90c617fd665b8dad236e06a0a7b.jpg"
"3966650b","2015-12-03","晚餐","2395","外卖 奶茶 薯条 汉堡","upload/photo/2015-12-03/26d9f776fa21c33665d1fadc2c38f95f.jpg"
"3966650b","2015-12-04","早餐","637","和前几天一样 牛奶 饼干","upload/photo/2015-12-04/51ab182ebb8a36a8feb9c246eb01cc92.jpg"
"3966650b","2015-12-04","午餐","289","包子 粥","upload/photo/2015-12-04/2929b0ca41044be631d7870d1faef276.jpg"
"3966650b","2015-12-05","早餐","586","巧克力","upload/photo/2015-12-05/2e5cf257065be62a189556717a76925f.jpg"
"3966650b","2015-12-05","午餐","382","面条","upload/photo/2015-12-05/a542ed675b2c76a4f171020c362f6f15.jpg"
"3966650b","2015-12-06","早餐","199","牛奶 饼干","upload/photo/2015-12-06/cdd1dde60b1fda45a36d10c6405f7952.jpg"
"3966650b","2015-12-06","午餐","1493","汉堡 可乐 薯条","upload/photo/2015-12-06/ae7cd1bf1da0137af4eb1608978684db.jpg"
"3966650b","2015-12-07","早餐","195","饼干 牛奶","upload/photo/2015-12-07/6ba0a0f72188067b82558b105493d1be.jpg"
"3966650b","2015-12-07","午餐","733","米饭 鸡米花 豆腐","upload/photo/2015-12-07/90dd199b7c40efb8561a8d5a93f202ac.jpg"
"3966650b","2015-12-07","晚餐","2395","汉堡 薯条 奶茶","upload/photo/2015-12-07/9d1b322e6790d869b9c7b9e0928f6e45.jpg"
