"编号","日期","类型","热量/kcal","餐品描述","照片"
"3e5f7988","2015-12-01","早餐","304","豆浆，鸡蛋加饼","upload/photo/2015-12-01/f1fa2ee530e4dbe185df22118651529b.jpg"
"3e5f7988","2015-12-01","午餐","352","新奥尔良鸡柳煲仔饭","upload/photo/2015-12-01/c778d4e465aa0159df61eb21d757feab.jpg"
"3e5f7988","2015-12-01","晚餐","450","二餐的葱花鸡蛋印度飞饼","upload/photo/2015-12-01/37b29246bdf73c456d1f8cac8f6f632c.jpg"
"3e5f7988","2015-12-02","早餐","418","鸡蛋火腿饼","upload/photo/2015-12-02/500bbe589a7ff8ec0a027e4c4cf9da80.jpg"
"3e5f7988","2015-12-02","午餐","432","牛肉刀削面","upload/photo/2015-12-02/444aba90c4b936e3c787625696c6c9b5.jpg"
"3e5f7988","2015-12-02","晚餐","524","鸡翅和米饭","upload/photo/2015-12-02/54135751ed9f7983b1199423d0670367.jpg"
"3e5f7988","2015-12-03","早餐","422","油饼和原味豆浆","upload/photo/2015-12-03/18ce83689fa2706c4e3d4df72c8b8327.jpg"
"3e5f7988","2015-12-03","午餐","432","自制的火锅，各种蔬菜，各种肉","upload/photo/2015-12-03/e327bb28bf985969699ee011dff917ba.jpg"
"3e5f7988","2015-12-03","晚餐","156","一点面包","upload/photo/2015-12-03/2ce60500f0b42a00b161d33e8b015d37.jpg"
"3e5f7988","2015-12-04","早餐","267","三餐小馄饨","upload/photo/2015-12-04/023ef879a3bb5ab869ecb2c358562434.jpg"
"3e5f7988","2015-12-04","午餐","390","黑椒牛柳饭，香蕉","upload/photo/2015-12-04/95a9deb9917232afcf8b1eb39f1eda5c.jpg"
"3e5f7988","2015-12-04","晚餐","422","面包","upload/photo/2015-12-04/dbfe5002c645e57daa9c5ca439e9e7a2.jpg"
"3e5f7988","2015-12-05","早餐","240","土豆饼加黑米粥","upload/photo/2015-12-05/7b34d5792d951fb5866bddddba2f4cd7.jpg"
"3e5f7988","2015-12-05","午餐","424","自助餐","upload/photo/2015-12-05/c78a4603ca8b6c5999878bee61b45717.jpg"
"3e5f7988","2015-12-05","晚餐","428","鸡肉加米饭","upload/photo/2015-12-05/5b1b86800dab3db3201d5ee25d19fbd5.jpg"
"3e5f7988","2015-12-06","早餐","311","水煮汤圆","upload/photo/2015-12-06/745017d21ce0ebecb0e275f901abde0a.jpg"
"3e5f7988","2015-12-06","午餐","272","虾加豆芽加米饭","upload/photo/2015-12-06/00191513e61780ff1e91635ef3d7a624.jpg"
"3e5f7988","2015-12-06","晚餐","422","实验室聚餐","upload/photo/2015-12-06/340799c5f1a1d530cffe64aefa30dcde.jpg"
"3e5f7988","2015-12-07","早餐","292","小杨生煎","upload/photo/2015-12-07/efc0ba92002814406d3e6b87cfee3537.jpg"
"3e5f7988","2015-12-07","午餐","382","鸡肉盖浇饭","upload/photo/2015-12-07/3341bdd99004a3f136cfb91b4f71afef.jpg"
"3e5f7988","2015-12-07","晚餐","412","外卖之土豆鸡块刀削面","upload/photo/2015-12-07/864cc5d27bdf9db33a10ae8099f64c72.jpg"
