"编号","日期","类型","热量/kcal","餐品描述","照片"
"42266ff4","2015-12-01","早餐","167.5","鸡蛋 小米粥","upload/photo/2015-12-01/7ec1cae3f006a8cf1ab409d2eb41518b.jpg"
"42266ff4","2015-12-01","午餐","546.5","韭菜鸡蛋 豆芽 粥 馒头","upload/photo/2015-12-01/b761525943ff7b1915356973a31baa1c.jpg"
"42266ff4","2015-12-01","晚餐","750","蛋挞4","upload/photo/2015-12-01/ea860d200541a9470f730589022ce1fc.jpg"
"42266ff4","2015-12-02","早餐","117.5","鸡蛋 粥","upload/photo/2015-12-02/2ddc4edcc883c6166603d95a2dc5ede3.jpg"
"42266ff4","2015-12-02","午餐","479.5","鱼 莴笋 米饭","upload/photo/2015-12-02/543cd2a365d40501dc8b7d33729cda47.jpg"
"42266ff4","2015-12-02","晚餐","432","豆角 木耳 米饭 汤","upload/photo/2015-12-02/5033908eb36085faa2d8736ee543a43b.jpg"
"42266ff4","2015-12-03","早餐","296.5","馒头 鸡蛋","upload/photo/2015-12-03/080c3b885d34c9b2723bffc55b618aa4.jpg"
"42266ff4","2015-12-03","午餐","238.5","豆芽 粥 豆角","upload/photo/2015-12-03/7ffca319c14bbc836a313b62709decf9.jpg"
"42266ff4","2015-12-03","晚餐","341","木耳 白菜 馒头","upload/photo/2015-12-03/561704a5133a507d74ecb2dac4a6c5b9.jpg"
"42266ff4","2015-12-04","早餐","0","没吃 起晚了","upload/photo/2015-12-04/93616f7b896e3b18c76317ce8002c98b.jpg"
"42266ff4","2015-12-04","午餐","372.5","番茄 白菜 馒头","upload/photo/2015-12-04/6f0aca9abe59db40b053dda6c0d22292.jpg"
"42266ff4","2015-12-04","晚餐","525","白菜肉 鸡蛋莴笋 发糕","upload/photo/2015-12-04/5946561f20c1cf4b9e89fcbf6729c99e.jpg"
"42266ff4","2015-12-05","早餐","165.5","蛋 玉米粥","upload/photo/2015-12-05/0d7177f80517d30189f008d193d8c737.jpg"
"42266ff4","2015-12-05","午餐","524.5","番茄蛋 花菜 汤 馒头","upload/photo/2015-12-05/8c642aea00ee0b9d30f53b2becb221ab.jpg"
"42266ff4","2015-12-05","晚餐","862","民族文化节： 手抓饭 公婆饼 沙琪玛 糌粑","upload/photo/2015-12-05/91c8698f9d5fba6984e2cd191cd165f1.jpg"
"42266ff4","2015-12-06","早餐","221","馒头","upload/photo/2015-12-06/701cf6c455c247e02c9e07b879a47e37.jpg"
"42266ff4","2015-12-06","午餐","350","韭菜 鸡蛋西红柿 汤","upload/photo/2015-12-06/434cdddb5fc781002e327571bb6d9661.jpg"
"42266ff4","2015-12-06","晚餐","486.5","木耳鸡蛋白菜 芹菜鱿鱼 土豆条 汤","upload/photo/2015-12-06/e1d04b112b4a7671b181302bb49284d2.jpg"
"42266ff4","2015-12-07","早餐","211","鸡蛋 粥","upload/photo/2015-12-07/4e7995031033030bfb81ba4904d2e763.jpg"
"42266ff4","2015-12-07","午餐","414.5","南瓜 馒头 木耳鸡蛋","upload/photo/2015-12-07/0af2b96f74129381425c582b725219bf.jpg"
"42266ff4","2015-12-07","晚餐","617.5","藕 木耳肉豆腐 汤 馒头","upload/photo/2015-12-07/49df1362faeb99dbc31362624b572b27.jpg"
