"编号","日期","类型","热量/kcal","餐品描述","照片"
"425f491d","2015-12-01","早餐","544","麻薯球和酸奶","upload/photo/2015-12-01/88136cdcc9cb9e831e1216454f140c52.jpeg"
"425f491d","2015-12-01","午餐","675","龙利鱼饭 土豆丝","upload/photo/2015-12-01/081c4676467a1986503e6eda269741ea.jpeg"
"425f491d","2015-12-01","晚餐","522","爆鱼饭 豆腐片 和一种不知名的透明食物","upload/photo/2015-12-01/70f19a3b7aeb77b7574343040d06ad4b.jpeg"
"425f491d","2015-12-02","早餐","270","肉包 咸粥","upload/photo/2015-12-02/ed31f5f509b3cecdd12739c12c0d1bf8.jpeg"
"425f491d","2015-12-02","午餐","561","披萨 鸡翅 酸梅汤 薯条","upload/photo/2015-12-02/818fd16607e745ece593eb47d2d50eb5.jpeg"
"425f491d","2015-12-02","晚餐","625","烤鸭饭 豆腐 包菜","upload/photo/2015-12-02/49e9fcdf45897e58433e685ecfec0172.jpeg"
"425f491d","2015-12-03","早餐","555","咖啡 铜锣烧蛋糕","upload/photo/2015-12-03/e5969fcf4840cecb9aea4d3defc67d94.jpeg"
"425f491d","2015-12-03","午餐","600","照烧鸡 肥牛饭","upload/photo/2015-12-03/01f9e9ac63cc595e6b8c4e26dd1c2350.jpeg"
"425f491d","2015-12-03","晚餐","410","鸡腿 包菜饭","upload/photo/2015-12-03/b8ef28448a0be42a6a7d68797e571f8b.jpeg"
"425f491d","2015-12-04","午餐","550","鸡蛋面 火腿 炸豆腐 贡丸 青菜","upload/photo/2015-12-04/3291d0bfd37bf40694280d39980b12f3.jpeg"
"425f491d","2015-12-04","晚餐","610","鸡肉卷 炸鸡腿 可乐","upload/photo/2015-12-04/42eb2364fea3e03120a5cbf1437f5e78.jpeg"
"425f491d","2015-12-05","早餐","150","蛋糕","upload/photo/2015-12-05/4ea5550913c2a408a61d8770db14a219.jpeg"
"425f491d","2015-12-05","午餐","458","烤鱼 饭","upload/photo/2015-12-05/f3556e4d195c14fa9f86bc9e17090b20.jpeg"
"425f491d","2015-12-05","晚餐","265","披萨 奶茶","upload/photo/2015-12-05/9353cdc8d8a3c29fd1c467b71fb52939.jpeg"
"425f491d","2015-12-06","午餐","302","鸡肉卷 奶茶","upload/photo/2015-12-06/6bb4ca996d840913f0a2d53eede53c51.jpeg"
"425f491d","2015-12-06","晚餐","564","肥牛照烧鸡米饭加温泉蛋","upload/photo/2015-12-06/b72446660a1f782dd840893018cf8460.jpeg"
"425f491d","2015-12-07","早餐","192","蛋糕 酸奶","upload/photo/2015-12-07/c677d4fda74d1851755a5ebff11e98b6.jpeg"
"425f491d","2015-12-07","午餐","468","鸭腿饭","upload/photo/2015-12-07/f9b5c5842bec81b2c1759f85b76ba152.jpeg"
"425f491d","2015-12-07","晚餐","125","奶茶 贡丸","upload/photo/2015-12-07/4621af3a5ee2108fda0b043614e19452.jpeg"
