"编号","日期","类型","热量/kcal","餐品描述","照片"
"43f818b9","2015-12-01","早餐","712","粗粮饼干×2","upload/photo/2015-12-01/92c6979abb02ceecf4e5ee77507d4b51.jpg"
"43f818b9","2015-12-01","午餐","64","无，由于身体不适未能进正餐，只食用了柚子","upload/photo/2015-12-01/b2f28cf17afecad31974d624c4fd4a12.jpg"
"43f818b9","2015-12-01","晚餐","964","哈乐餐厅：蒜苗炒肉，卤香干（抱歉晚上忘记当场照相了，所以找了网上相同内容的照片，今后我会记得每次吃饭前照相）","upload/photo/2015-12-01/c9b92ac2166931e72ae65e2d719da5e9.jpg"
"43f818b9","2015-12-02","早餐","386","桃酥+不知名的黏甜条","upload/photo/2015-12-02/67f71d143a3f401b97cdbe18abc45860.jpg"
"43f818b9","2015-12-02","午餐","387","青菜+肉蛋+炒豆芽（一餐）（非常对不起照片又忘吃之前拍了。。还没习惯拍照再吃饭，不过菜名是真实吃的）","upload/photo/2015-12-02/f7cd30b8160e27cb99ca97fc67b170ac.png"
"43f818b9","2015-12-02","晚餐","1017","烧五花肉+青菜+杏鲍菇炒豆","upload/photo/2015-12-02/e50ff59ff2cd5d0b8337023d39f36afa.jpg"
"43f818b9","2015-12-03","早餐","280","粗粮饼干+红豆风草饼","upload/photo/2015-12-03/dd4baa8d6aab4520abd1507416b0f660.jpg"
"43f818b9","2015-12-03","午餐","764","青豆玉米+肉蛋+豆芽","upload/photo/2015-12-03/78fdec774df25b905e9ed7d359dd975d.jpg"
"43f818b9","2015-12-03","晚餐","762","咖喱土豆肉片+青豆玉米+扁豆","upload/photo/2015-12-03/e1c7edf903800d39b38b0783a1750b94.jpg"
"43f818b9","2015-12-04","早餐","590","粗粮饼干×2","upload/photo/2015-12-04/635bf00fbf96fe6f30e5a8ef24a756fb.jpg"
"43f818b9","2015-12-04","午餐","719","什锦炒饭","upload/photo/2015-12-04/27cc8c1114603ef0fcd028d90e0c3494.jpg"
"43f818b9","2015-12-04","晚餐","668","牛肉面","upload/photo/2015-12-04/e2e2e322fde1e9f02916fa5c7943f884.jpg"
"43f818b9","2015-12-05","早餐","317","一块蛋糕","upload/photo/2015-12-05/ffde63fdf4e84d4a34518e90ea180f76.jpg"
"43f818b9","2015-12-05","午餐","972","茄子土豆+大排","upload/photo/2015-12-05/505b00468a9a478cfd7b1ccacb48dcbc.jpg"
"43f818b9","2015-12-05","晚餐","1024","金针菇肥牛铁板烧","upload/photo/2015-12-05/e39736abd57924cc2c482077ac738ccc.jpg"
"43f818b9","2015-12-06","早餐","590","粗粮饼干2袋","upload/photo/2015-12-06/fedf5bf766f8dac80249ae67212a2477.jpg"
"43f818b9","2015-12-06","午餐","903","蒜苗炒肉+西红柿炒蛋+鸡腿","upload/photo/2015-12-06/c6d8413539ed3945807a5f410e8ffea6.jpg"
"43f818b9","2015-12-06","晚餐","541","可可饼干+巧克力派+红豆和风饼","upload/photo/2015-12-06/db20850c98eccb4c1f8b8a373c983113.jpg"
