"编号","日期","类型","热量/kcal","餐品描述","照片"
"47239d4a","2015-12-01","早餐","90","法式软面包1个，小米粥约半杯","upload/photo/2015-12-01/ad4260e1a35d1c904b616b5a6483642f.jpg"
"47239d4a","2015-12-01","午餐","450","花椰菜、土豆鸡块、米饭2两","upload/photo/2015-12-01/b1681e165c1a5863dc9134adfb85e02b.jpg"
"47239d4a","2015-12-01","晚餐","230","砂糖桔0.8斤、木瓜1斤","upload/photo/2015-12-01/c6b66289f4536b8d1e9d097c6b1131e7.jpg"
"47239d4a","2015-12-01","下午茶","0","我也想有- -","upload/photo/2015-12-01/af17c86edc2ec938fd759566d820f4ea.png"
"47239d4a","2015-12-01","夜宵","0","其实并没有","upload/photo/2015-12-01/af732faa303a7d3e732bb670a64dcfe1.png"
"47239d4a","2015-12-02","早餐","230","牛奶200ml、威化饼干58g","upload/photo/2015-12-02/c7c6871d666dca07b91dff6cfb18006c.jpg"
"47239d4a","2015-12-02","午餐","640","香辣小鸡腿饭，浏阳土菜馆","upload/photo/2015-12-02/1929485949bcc8b03d1bae6724f6732b.jpg"
"47239d4a","2015-12-02","晚餐","150","皮蛋瘦肉粥+咸鸭蛋","upload/photo/2015-12-02/09de01bbe56634087569895ec3b26fad.jpg"
"47239d4a","2015-12-02","下午茶","270","雪碧 600ml","upload/photo/2015-12-02/f2eea9aeff494bbc418c7ccb33c53349.jpg"
"47239d4a","2015-12-02","夜宵","0","哈哈哈哈暂时还木有- -","upload/photo/2015-12-02/ffbce7be8af548b40c714752c4843167.png"
"47239d4a","2015-12-03","早餐","70","华联 麻辣粉丝包一个","upload/photo/2015-12-03/6f812aacf90c9e740311cde2fda8b938.jpg"
"47239d4a","2015-12-03","午餐","680","猪肚饭+烤鸭半只","upload/photo/2015-12-03/21f7d1357b3c5108c5c4001465dcbf7a.jpg"
"47239d4a","2015-12-03","晚餐","450","奶油小方","upload/photo/2015-12-03/6a443193d9dde1e47c5bedb2c2f582a2.jpg"
"47239d4a","2015-12-03","课间餐","150","南丰贡桔","upload/photo/2015-12-03/32d30ecdbca058943b82e95a27a90e9a.jpg"
"47239d4a","2015-12-03","下午茶","150","南丰贡桔","upload/photo/2015-12-03/7b3cb1280b97391129b1c3afa7c3d9bc.jpg"
"47239d4a","2015-12-03","夜宵","200","牛奶200ml","upload/photo/2015-12-03/f27a7b7a8b57463454be67b98dba733e.jpg"
"47239d4a","2015-12-03","其他","500","木有啦","upload/photo/2015-12-03/0272ee22d32c1a0ad8fe0e5aea181c14.jpg"
"47239d4a","2015-12-04","早餐","350","教超羊角面包4个，牛奶200ml","upload/photo/2015-12-04/1dfe891c006e932d7f6a8f7def25dc11.jpg"
"47239d4a","2015-12-04","午餐","674","小碗宜宾燃粉+红豆双皮奶","upload/photo/2015-12-04/423dee79615a847b5cb96fa0d8c6de84.jpg"
"47239d4a","2015-12-04","晚餐","230","木瓜一只","upload/photo/2015-12-04/48abdcadd811041f2c1cce96999b759b.jpg"
"47239d4a","2015-12-04","课间餐","75","车厘子半斤","upload/photo/2015-12-04/8c917aa23a3833aa17142c3692b1fdc5.jpg"
"47239d4a","2015-12-04","其他","0","没有啦","upload/photo/2015-12-04/75489055c7248f8a8be34750561073df.jpg"
"47239d4a","2015-12-05","早餐","0","无","upload/photo/2015-12-05/48759d616246a766a868e17d809aecd7.png"
"47239d4a","2015-12-05","午餐","636","烤鸭饭半只","upload/photo/2015-12-05/211a83a6cd3a173a365a5679fb0c7be0.jpg"
"47239d4a","2015-12-05","晚餐","150","南丰贡桔一盒","upload/photo/2015-12-05/ade9578b61b34b5217fd62acaea3ad40.jpg"
"47239d4a","2015-12-05","课间餐","0","无","upload/photo/2015-12-05/0616646184baa1dcbec895ad45f53117.jpg"
"47239d4a","2015-12-05","其他","0","无","upload/photo/2015-12-05/44c46c0b1d070c9f906a01687a81e7f4.jpg"
"47239d4a","2015-12-06","早餐","358","桃李手撕面包一个，牛奶200ml","upload/photo/2015-12-06/406c7f18f64500123a9365485ded969a.jpg"
"47239d4a","2015-12-06","午餐","692","肥牛拌饭+炸中翅一只","upload/photo/2015-12-06/a79301842fb3e9b3ee4d36cb6e126fd5.jpg"
"47239d4a","2015-12-06","晚餐","0","无","upload/photo/2015-12-06/e8279cf9640ee1f093383ee13c289e24.png"
"47239d4a","2015-12-06","课间餐","30","葡萄干少量","upload/photo/2015-12-06/fe5cfd4a6b7cdd4fb683c120e04bc9ac.jpg"
"47239d4a","2015-12-06","其他","0","无","upload/photo/2015-12-06/c2ddc4b4640867d5666dc0b526cef125.png"
"47239d4a","2015-12-07","早餐","0","无","upload/photo/2015-12-07/a26ca0e635c99feebd89d84eeac285a5.jpg"
"47239d4a","2015-12-07","午餐","560","小笼6只，生煎4只","upload/photo/2015-12-07/83f560fd87a0de3f01a3977b830b4e69.jpg"
"47239d4a","2015-12-07","晚餐","0","无","upload/photo/2015-12-07/cccfa04e23301def1d1415249f44f72c.jpg"
"47239d4a","2015-12-07","课间餐","241","85°椰奶冻一盒","upload/photo/2015-12-07/f6ec9c0210da55cd124613e2ae2e3899.jpg"
"47239d4a","2015-12-07","其他","0","无","upload/photo/2015-12-07/b679347a440577372b661931c938c0c9.jpg"
"47239d4a","2015-12-08","早餐","340","蛋糕200g","upload/photo/2015-12-08/72955cb32f3cf2245e29b627b5ce0e64.jpg"
"47239d4a","2015-12-08","午餐","598","豆芽，粉丝，瓜炒蛋，米饭2两","upload/photo/2015-12-08/38e22b8235f3a164a492e98dec798e09.jpg"
"47239d4a","2015-12-08","晚餐","350","85°C凯撒大帝一个","upload/photo/2015-12-08/e0b4e9caed95f21c54e604b2a255b062.jpg"
"47239d4a","2015-12-08","课间餐","0","木有啦","upload/photo/2015-12-08/a47ba33c2d8a3a189d168da6a5a8da4e.jpg"
"47239d4a","2015-12-08","其他","0","木有啦","upload/photo/2015-12-08/b562be043fd7100814ac6984b32f8d67.jpg"
