"编号","日期","类型","热量/kcal","餐品描述","照片"
"4a66bb4a","2015-12-01","早餐","463","饼干和水果","upload/photo/2015-12-01/e793ab16108c70220beca7e5995836dd.jpg"
"4a66bb4a","2015-12-01","午餐","432","一荤一素","upload/photo/2015-12-01/651a58559d1015cbb7bb92ac2d482cd8.jpg"
"4a66bb4a","2015-12-01","晚餐","340","两素一荤","upload/photo/2015-12-01/671760199d83760097ea1be48e719a6f.jpg"
"4a66bb4a","2015-12-02","早餐","387","粥+鸡蛋饼","upload/photo/2015-12-02/1ae5bd729bc2a1b6c511d5a2248d9603.jpg"
"4a66bb4a","2015-12-02","午餐","367","两素一荤","upload/photo/2015-12-02/57c9c230390dcd1620b4d6a64f834131.jpg"
"4a66bb4a","2015-12-02","晚餐","367","两素一荤","upload/photo/2015-12-02/a0b159c38d9b9ed7ef3c0a6baa427b55.jpg"
"4a66bb4a","2015-12-03","早餐","255","包子加豆浆","upload/photo/2015-12-03/1214e28683baa630be3a089a566965bf.jpg"
"4a66bb4a","2015-12-03","午餐","360","两素一荤一汤","upload/photo/2015-12-03/f4ba6c2e89d615444c8eaa884655fb4b.jpg"
"4a66bb4a","2015-12-03","晚餐","340","两荤一素","upload/photo/2015-12-03/a2cc1f0808172f8eb423bfc8f34fde8e.jpg"
"4a66bb4a","2015-12-04","午餐","455","酸菜肉丝面","upload/photo/2015-12-04/e20bc05ac9bd37654f019e90cd23af2a.jpg"
"4a66bb4a","2015-12-04","晚餐","509","外卖，烤肉饭+鸡米花(忘了拍照了，抱歉)","upload/photo/2015-12-04/67755805d4625cc2beaec7a82235f878.jpg"
"4a66bb4a","2015-12-05","早餐","422","粥+鸡蛋饼+鸡蛋","upload/photo/2015-12-05/4d77c88fe86be900d28139ee55b3ca8d.jpg"
"4a66bb4a","2015-12-05","午餐","350","两素一荤","upload/photo/2015-12-05/a21798680b36ea7eae11ba0cc3ad0929.jpg"
"4a66bb4a","2015-12-05","晚餐","350","两荤一素","upload/photo/2015-12-05/f05774331dba18b28ee3b3f0600a1293.jpg"
"4a66bb4a","2015-12-06","早餐","418","粥+鸡蛋饼+鸡蛋","upload/photo/2015-12-06/be3becaca15a9cbdfa71e39045bb22b7.jpg"
"4a66bb4a","2015-12-06","午餐","279","外卖，无骨猪脊","upload/photo/2015-12-06/7192405937d3d6f5ee6ecb5daae08e2f.jpg"
"4a66bb4a","2015-12-06","晚餐","785","外卖，红烧肉鸡腿饭","upload/photo/2015-12-06/68bb78592c69a4cb2a3e3df48b5ce47d.jpg"
"4a66bb4a","2015-12-07","早餐","241","包子+豆浆","upload/photo/2015-12-07/82ac89598504ec70add721de01207800.jpg"
"4a66bb4a","2015-12-07","午餐","578","两荤一素","upload/photo/2015-12-07/585fa50c8b5888e490c619596015532f.jpg"
"4a66bb4a","2015-12-07","晚餐","350","一荤一素","upload/photo/2015-12-07/cec93ebd9be0580c594fc9ac90de40c1.jpg"
