"编号","日期","类型","热量/kcal","餐品描述","照片"
"4f80b39f","2015-12-01","早餐","335","鸡蛋两个。燕麦片约30g（忘记拍照）。","upload/photo/2015-12-01/4d2c406c7c4b5afab15d910a5749f8d9.jpg"
"4f80b39f","2015-12-01","午餐","610","一餐荠菜肉水饺8个，玉米一个，香蕉一根，贡橘两个（忘记拍照了）","upload/photo/2015-12-01/97cbc9c0851bf7565cd9aa7d5ed13756.jpg"
"4f80b39f","2015-12-01","晚餐","485","橘子一个，香蕉两根，加酸奶自行DIY的沙拉（七点半食用）","upload/photo/2015-12-01/78d32801adec15d53c6f2a58090ae719.jpg"
"4f80b39f","2015-12-01","下午茶","120","玉米一根（下午四点半食用）（忘记拍照）","upload/photo/2015-12-01/17577b0a6c04aeebada667568fe1d739.jpg"
"4f80b39f","2015-12-02","早餐","415","30g燕麦片 橘子两个 鸡蛋两个 香蕉一根","upload/photo/2015-12-02/55dedde7289a058227d377dd8dd52d3c.jpg"
"4f80b39f","2015-12-02","午餐","395","橘子两个 鸡蛋两个 玉米一个","upload/photo/2015-12-02/6b7b5992ce03365c617cdbb8ee8d4a26.jpg"
"4f80b39f","2015-12-02","晚餐","505","鸡蛋两个 脱脂牛奶200ml 玉米一根（忘拍了 ）","upload/photo/2015-12-02/7ba513ea4afd3adac6a22b31ae78710e.jpg"
"4f80b39f","2015-12-03","早餐","560","生煎两个 流沙包一个 脱脂牛奶一杯","upload/photo/2015-12-03/e4cfb295e62e02144a4f15b108c27e61.jpg"
"4f80b39f","2015-12-03","午餐","545","香蕉 莲藕 麻辣粉丝","upload/photo/2015-12-03/d9ef8cce7beaca9b46dca24f93f10233.jpg"
"4f80b39f","2015-12-03","晚餐","170","南瓜粥 玉米","upload/photo/2015-12-03/b568f6cff48a6efd6deb8f66b7ac3539.jpg"
"4f80b39f","2015-12-03","课间餐","135","香蕉","upload/photo/2015-12-03/cacafcb9bdb2af9aebe95ea26808e437.jpg"
"4f80b39f","2015-12-03","课间餐","245","酸奶350g","upload/photo/2015-12-03/010b933476613aec5e322f53114b8f8c.jpg"
"4f80b39f","2015-12-04","早餐","366","豆沙包 脱脂奶","upload/photo/2015-12-04/127633559e7d3f5e8ef02f330675de9e.jpg"
"4f80b39f","2015-12-04","午餐","191","冬瓜 千叶豆腐 燕麦30g(没有入镜","upload/photo/2015-12-04/3aa918669af5137455f36cbe430b8fc7.jpg"
"4f80b39f","2015-12-04","晚餐","370","苹果一个 玉米一根 燕麦30g (后两者忘拍了","upload/photo/2015-12-04/13454da2b17b439e118b5068a5c9ae01.jpg"
"4f80b39f","2015-12-05","早餐","510","鸡蛋两个 燕麦30片g左右","upload/photo/2015-12-05/243a2a756e38c22e6369ba2045fcc844.jpg"
"4f80b39f","2015-12-05","午餐","290","丸子 紫甘蓝吃完了 米饭没有吃","upload/photo/2015-12-05/438dd25033be6288f9a4a1c47ccd3ab8.jpg"
"4f80b39f","2015-12-05","晚餐","380","忘记拍了 用张昨天的图 一碗粥和图上一样 一个红薯 一个杂粮馒头","upload/photo/2015-12-05/a1789e7886bb99c2c9fc24855fd83db4.jpg"
"4f80b39f","2015-12-05","下午茶","240","两杯豆浆","upload/photo/2015-12-05/ee00639e48e0c003212a383f7619b298.jpg"
"4f80b39f","2015-12-05","夜宵","120","一个玉米 忘记拍了 盗图","upload/photo/2015-12-05/dafe172fc9886d55c0c02b6d82f052c2.jpg"
"4f80b39f","2015-12-06","早餐","400","鸡蛋两个 20g燕麦","upload/photo/2015-12-06/4ac1378d0e7602b52408bc8bdfcb08c1.jpg"
"4f80b39f","2015-12-06","午餐","230","莲藕 千叶豆腐 没吃米饭","upload/photo/2015-12-06/295a631a80c78b8ac2980eda0612a453.jpg"
"4f80b39f","2015-12-06","晚餐","340","玉米一个 蜜豆粽子一个 一包小包的卫龙(忘拍了","upload/photo/2015-12-06/c0b537a6a4b809c0ee6247ecb114ebe1.jpg"
"4f80b39f","2015-12-06","课间餐","465","350g莫斯利安","upload/photo/2015-12-06/676d79c1112222d9d756adcada9ff5ae.jpg"
"4f80b39f","2015-12-07","早餐","300","生煎两个 豆浆两包(忘记拍了","upload/photo/2015-12-07/3ea85f0fa6eff49c4ea6d8182638b819.jpg"
"4f80b39f","2015-12-07","午餐","410","鱼丸和南瓜两个菜 没有米饭 还有一杯黑芝麻糊","upload/photo/2015-12-07/658e5d68c38c75bb3d237ab9e8fd3fc1.jpg"
"4f80b39f","2015-12-07","晚餐","360","一个鸡蛋灌饼 一个肉夹馍(忘记拍了 一杯酸奶如图","upload/photo/2015-12-07/6206e3741c6d5fe76bcb37149524b619.jpg"
