"编号","日期","类型","热量/kcal","餐品描述","照片"
"51dd4363","2015-12-01","早餐","375","早餐，时间来不及所以带到教室","upload/photo/2015-12-01/d48843784b28b38eb5f5d9f8d1472549.jpg"
"51dd4363","2015-12-01","午餐","630","忘记拍照了，实际上是二餐二楼的虾和蔬菜","upload/photo/2015-12-01/d0644f04b20902a4b64afcb2c6a98794.jpg"
"51dd4363","2015-12-01","晚餐","530","外卖","upload/photo/2015-12-01/1bfc4f2d630537c0beded04483680b69.jpg"
"51dd4363","2015-12-02","早餐","400","带到教室里吃~","upload/photo/2015-12-02/2a1c7acca0e7e156021536ff8b9d4bb5.jpg"
"51dd4363","2015-12-02","午餐","380","外卖","upload/photo/2015-12-02/3db180bd03b3813c22af0146243d53db.jpg"
"51dd4363","2015-12-02","晚餐","530","二餐二楼，食堂","upload/photo/2015-12-02/260eeae6fc9c99c02005dbb8e7d143c8.jpg"
"51dd4363","2015-12-03","早餐","320","肉包与豆浆","upload/photo/2015-12-03/e4c5f3dcd9446536f02b14cf2216348a.jpg"
"51dd4363","2015-12-03","午餐","470","二餐二楼","upload/photo/2015-12-03/2326d6dfd67b74432c9745c509e89c35.jpg"
"51dd4363","2015-12-03","晚餐","552","上课前点外卖，香菇卤肉饭和海带","upload/photo/2015-12-03/5800dd90cc2dd4e89fe94dc986f900fa.jpg"
"51dd4363","2015-12-04","早餐","265","鸡蛋火腿肠夹馍","upload/photo/2015-12-04/9198f06b1b9b0630178f6d736a40733d.jpg"
"51dd4363","2015-12-04","午餐","530","二餐二楼鹌鹑蛋烧肉和豆腐，照片忘拍了","upload/photo/2015-12-04/f4d258246ba3195fe51363c4ef358f00.jpg"
"51dd4363","2015-12-04","晚餐","530","二餐二楼鸭腿蛋糊","upload/photo/2015-12-04/3f85253998406eb2e079a2d248908cd6.jpg"
"51dd4363","2015-12-04","其他","480","水果","upload/photo/2015-12-04/df65c62158c3b4e51bebd840b403e47c.jpg"
"51dd4363","2015-12-05","早餐","180","两个香蕉","upload/photo/2015-12-05/e11a10cb76d9b8393bfae565d31ed112.jpg"
"51dd4363","2015-12-05","午餐","540","五餐一楼","upload/photo/2015-12-05/ffa585365469aab47491aa201523ab4d.jpg"
"51dd4363","2015-12-05","晚餐","540","五餐一楼","upload/photo/2015-12-05/d5d6a3a5b3b7677b5dcf3ed73a160331.jpg"
"51dd4363","2015-12-06","早餐","300","市场门口的辣饼","upload/photo/2015-12-06/0a7ee31e5ae8f29ca00fb86bb499168f.jpg"
"51dd4363","2015-12-06","午餐","560","卢湾日月光的蒸菜餐厅","upload/photo/2015-12-06/63913c073637c1772b0941db2032aff2.jpg"
"51dd4363","2015-12-06","晚餐","420","四餐烤鸭饭","upload/photo/2015-12-06/498de0a8b03ebfe231e9c2291fd0014c.jpg"
"51dd4363","2015-12-07","早餐","80","茶叶蛋","upload/photo/2015-12-07/bd5cd46194b4f350011dee0e4137bba6.jpg"
"51dd4363","2015-12-07","午餐","300","外卖，鸭腿翅根","upload/photo/2015-12-07/34ac132a115ad9b50aad3d8c789766c6.jpg"
"51dd4363","2015-12-07","晚餐","500","一餐清真餐厅鸡柳韭芯忘记拍照","upload/photo/2015-12-07/bf513682d4f132f397ec2637db388161.jpg"
