"编号","日期","类型","热量/kcal","餐品描述","照片"
"52faf411","2015-12-01","早餐","0","一块吐司面包 一盒牛奶 一个橘子","upload/photo/2015-12-01/d62263f0d5b0ddf842ee057093ddaec6.jpg"
"52faf411","2015-12-01","午餐","0","一碗粥","upload/photo/2015-12-01/bd322017cc2b06d3d3351f2bbf32f837.jpg"
"52faf411","2015-12-01","晚餐","0","一碗牛奶泡麦片","upload/photo/2015-12-01/29fe56c2cfa11d5a5cd5e0d0cce36891.jpg"
"52faf411","2015-12-02","早餐","0","一片吐司面包 一盒牛奶","upload/photo/2015-12-02/2430c28d84a793f910087476ad334ef2.jpg"
"52faf411","2015-12-02","午餐","0","和好友一起吃的麻辣香锅 菜有香菜 土豆 金针菇 午餐肉 腐竹 肥牛 花生等 半碗米饭","upload/photo/2015-12-02/df3ba1ed187aeef7c388172b7cabdf57.jpg"
"52faf411","2015-12-02","晚餐","0","一个煎饼 加金针菇和里脊肉","upload/photo/2015-12-02/b3399f71c59a95353ed070b99dfba8e9.jpg"
"52faf411","2015-12-03","早餐","339","一片吐司面包 一盒牛奶","upload/photo/2015-12-03/9da03103260efd15f5d96e6bfaf93d28.jpg"
"52faf411","2015-12-03","午餐","447","一盒方便面","upload/photo/2015-12-03/885335413b041471a82c721c81695a33.jpg"
"52faf411","2015-12-03","晚餐","428","牛奶泡麦片","upload/photo/2015-12-03/7a5916da86070e14e97bca1d276818dd.jpg"
"52faf411","2015-12-04","早餐","0","一片吐司 一杯牛奶","upload/photo/2015-12-04/2a7034e8c70ba05cfd24fb3627d0928b.jpg"
"52faf411","2015-12-04","午餐","0","外卖 一份土豆脆皮鸡饭","upload/photo/2015-12-04/7d3c591d4b9d88a0623ce39ce7462a7a.jpg"
"52faf411","2015-12-04","晚餐","812","一份意大利面 和一个巧克力熔岩蛋糕","upload/photo/2015-12-04/47e65f57699c033737e266c99da6d744.jpg"
"52faf411","2015-12-05","早餐","1100","五个小米粑粑","upload/photo/2015-12-05/5945cddb39efc9d38830e413f6f03abb.jpg"
"52faf411","2015-12-05","晚餐","860","和好友一起吃的火锅 菜有土豆 金针菇 肥牛 牛丸 虾丸 娃娃菜等 外加一瓶饮料","upload/photo/2015-12-05/aec0e6ae60f48e99010ffd12c2bf96ec.jpg"
"52faf411","2015-12-06","午餐","517","一个煎饼加金针菇和里脊","upload/photo/2015-12-06/8acdaaa0bb8a9b6870b34c47c6d169c5.jpg"
"52faf411","2015-12-06","晚餐","456","外卖 脆皮鸡饭","upload/photo/2015-12-06/9178ebf92f0c6972e5541d9453b25d17.jpg"
"52faf411","2015-12-07","早餐","0","一盒牛奶 一片吐司","upload/photo/2015-12-07/d4f521c6eea5420d9d0b7fb8ac2dd967.jpg"
"52faf411","2015-12-07","午餐","0","牛奶泡麦片一个橘子","upload/photo/2015-12-07/04997064d7c2b1cb3577e3c27083d77f.jpg"
"52faf411","2015-12-07","晚餐","0","一碗汤 一份饭 黄瓜吵鸡蛋和鸡米花","upload/photo/2015-12-07/737f839d26fa0de5f475eafd65dcfab1.jpg"
