"编号","日期","类型","热量/kcal","餐品描述","照片"
"5421a2c2","2015-12-01","早餐","587","十个白菜猪肉馅的饺子，一杯豆浆。","upload/photo/2015-12-01/544ad078965c00e74dbb31d756fbb792.jpg"
"5421a2c2","2015-12-01","午餐","789","一两米饭，两个菜。","upload/photo/2015-12-01/936182ba95e32a7511d33b841e3f1c1a.jpg"
"5421a2c2","2015-12-01","晚餐","910","一盆麻辣烫和一碗粥。","upload/photo/2015-12-01/83f6879d302787995d54364f35cbf5bb.jpg"
"5421a2c2","2015-12-02","早餐","598","一盘香菇猪肉馅的饺子，一杯豆浆。","upload/photo/2015-12-02/cdd24f97778938feba923db493074d30.jpg"
"5421a2c2","2015-12-02","午餐","546","香蕉片。","upload/photo/2015-12-02/1f752f6b29fdd3dda427acdcc3850977.jpg"
"5421a2c2","2015-12-02","晚餐","1715","鸡排，南瓜饼。","upload/photo/2015-12-02/d5baea68961f33d9d48490ce89106f3a.jpg"
"5421a2c2","2015-12-03","早餐","521","抄手。","upload/photo/2015-12-03/6c59f0245e192d4c13e0ae2b90dad712.jpg"
"5421a2c2","2015-12-03","午餐","715","卤肉饭。","upload/photo/2015-12-03/ef3a5248e2ca61f62d744a1720a2fba3.jpg"
"5421a2c2","2015-12-03","晚餐","681","麻辣烫(图为还剩半个丸子的状态)。","upload/photo/2015-12-03/2c07150d30564a70e51846d15e02a6f8.jpg"
"5421a2c2","2015-12-04","早餐","457","饺子，豆浆。","upload/photo/2015-12-04/1e6b8cac1841d10da90cd7dd3503bc78.jpg"
"5421a2c2","2015-12-04","午餐","756","麻辣香锅。","upload/photo/2015-12-04/1ce9166203333925bee22e92e0353379.jpg"
"5421a2c2","2015-12-04","晚餐","895","南瓜饼，鸡肉卷，烧仙草。","upload/photo/2015-12-04/6e5786f7d60fe02e38505a218c200667.jpg"
"5421a2c2","2015-12-05","早餐","0","没吃(´･ᆺ･`)","upload/photo/2015-12-05/b4d6ab62974b8084a8d61e306eb1d842.jpg"
"5421a2c2","2015-12-05","午餐","222","饺子","upload/photo/2015-12-05/58c1788efaabf0649ec5bdf1f1985290.jpg"
"5421a2c2","2015-12-05","晚餐","510","麻辣烫","upload/photo/2015-12-05/97f9a0cfc6768f381d84f0186b386f45.jpg"
"5421a2c2","2015-12-06","早餐","521","牛肉笋尖面","upload/photo/2015-12-06/e1c8155c8742d65b79b30094d920df9f.jpg"
"5421a2c2","2015-12-06","午餐","752","鸡排，奶茶","upload/photo/2015-12-06/1b80665a28ff0ab06b3e9a437a7debe9.jpg"
"5421a2c2","2015-12-06","晚餐","965","土豆烧肉，鸡腿，米饭","upload/photo/2015-12-06/7cbfb1dc75771d6e79a7b85438115142.jpg"
"5421a2c2","2015-12-07","早餐","328","绿豆粥","upload/photo/2015-12-07/80c7643e9a99b4658303b365b4f6e4c5.jpg"
"5421a2c2","2015-12-07","午餐","1003","鸡肉，花菜，培根，米饭。","upload/photo/2015-12-07/131f6e6fac541019775b5324ff850f14.jpg"
"5421a2c2","2015-12-07","晚餐","1040","燃面，狼牙土豆。","upload/photo/2015-12-07/6144d068221fd1526467c6022c2f2717.jpg"
