"编号","日期","类型","热量/kcal","餐品描述","照片"
"55ab7616","2015-12-01","早餐","212.5","八宝粥","upload/photo/2015-12-01/be6480c37f3efb436821d8cf95664eda.jpg"
"55ab7616","2015-12-01","午餐","402","水煮肉片 里面有肉片、白菜、豆皮、香菜、木耳和粉条。一碗大麦茶。一辆米饭（图中的没吃完）","upload/photo/2015-12-01/3cf5077853cfdbe94b3a60a8a17a49eb.jpg"
"55ab7616","2015-12-01","晚餐","631.5","芝麻汤圆 芝士飞饼","upload/photo/2015-12-01/4cb1ac1ac11ded00e3e0d821de8e1c28.jpg"
"55ab7616","2015-12-02","早餐","0","没吃","upload/photo/2015-12-02/19ab663a6694b35765b8ab2c7746c89b.jpg"
"55ab7616","2015-12-02","午餐","610","芝士肥牛饭 有牛肉洋葱和芝士 都吃了 米饭只吃了一半","upload/photo/2015-12-02/2fb882962808a49e42484816dc9e05fb.jpg"
"55ab7616","2015-12-02","晚餐","374","","upload/photo/2015-12-02/c2569e29badf5ccf444e8c4699508f87.jpg"
"55ab7616","2015-12-02","夜宵","40","","upload/photo/2015-12-02/31d108f3fba687fb02c97537b3380e51.jpg"
"55ab7616","2015-12-02","夜宵","342","","upload/photo/2015-12-02/f4fe2a75cbf7c79e484e27331b9b78ed.jpg"
"55ab7616","2015-12-03","早餐","0","没吃","upload/photo/2015-12-03/35c61a6d0b32a893af10a5e70fcad429.jpg"
"55ab7616","2015-12-03","午餐","320","蛋糕","upload/photo/2015-12-03/dee364a5b77ea740a44d9290166e5b7f.jpg"
"55ab7616","2015-12-03","晚餐","592","5个蛋黄棒","upload/photo/2015-12-03/6149905230bf2fa588ab78e86ebf2d9d.jpg"
"55ab7616","2015-12-04","早餐","397","摩卡味巧克力夹心蛋糕","upload/photo/2015-12-04/5930e68e6f8c5b634160629cca1b9358.jpg"
"55ab7616","2015-12-04","午餐","262","一两饭 没吃完 水煮娃娃菜木耳和肉 白菜汤","upload/photo/2015-12-04/c030f9f782a08aef579fe20a3bac013c.jpg"
"55ab7616","2015-12-04","晚餐","336.8","白菜汤 辣炒包菜 鸡蛋炒肉 都吃完了 一两饭 剩两口","upload/photo/2015-12-04/dd1144643929b9072eeb229d06071d33.jpg"
"55ab7616","2015-12-04","下午茶","79","双皮奶","upload/photo/2015-12-04/0aeee327de74adf6eda7683b911b8486.jpg"
"55ab7616","2015-12-05","早餐","0","没吃","upload/photo/2015-12-05/2ad3edf99b552f40ca8dd23d4791a334.jpg"
"55ab7616","2015-12-05","午餐","861","牛油火锅 点了五花肉 鸭胗 午餐肉 娃娃菜 面 豆腐 厚百叶 冬笋片 羊肉卷 喝了豆浆","upload/photo/2015-12-05/1aac3216ee0c8f455677bc5af180a6b0.jpg"
"55ab7616","2015-12-05","晚餐","347","炒面 里面有鸡肉","upload/photo/2015-12-05/928312f1edb16fbf3df2f615374ff70a.jpg"
"55ab7616","2015-12-06","早餐","0","没吃","upload/photo/2015-12-06/598cd1c090be0f01199ada2013fe658d.jpg"
"55ab7616","2015-12-06","午餐","629","大盘鸡拌面 炒菠菜 粉条炒排骨 羊肉炒洋葱 没吃米饭","upload/photo/2015-12-06/dc31b89a9c0048eccf9611fe5d1eabe1.jpg"
"55ab7616","2015-12-06","晚餐","596","麻辣烫 里面有一个鸡蛋 还有鸭血 菠菜 茼蒿 粉丝 魔芋丝 平菇 木耳 半杯珍珠奶茶 两小口鸡排","upload/photo/2015-12-06/ddb89061cbeb7c16deb339421ad3203f.jpg"
"55ab7616","2015-12-07","早餐","0","没吃","upload/photo/2015-12-07/a15e7871b78e34e74c176883c77e9a93.jpg"
"55ab7616","2015-12-07","午餐","127.5","八宝粥","upload/photo/2015-12-07/4ab5a36031f24e100593a2b00a8519a7.jpg"
"55ab7616","2015-12-07","晚餐","239","黄焖鸡米饭 有鸡块青椒和几小根油菜 吃了一两米","upload/photo/2015-12-07/5b97dc908ef2b5a32fad98c9136e42b3.jpg"
