"编号","日期","类型","热量/kcal","餐品描述","照片"
"56dbac60","2015-12-01","早餐","429.6","巧克力棒","upload/photo/2015-12-01/9df9c429d8fc87fd22860a673ef075ff.jpeg"
"56dbac60","2015-12-01","午餐","330","豆角，黄瓜炒蛋","upload/photo/2015-12-01/4de22fecd6e4fe480797004ad084e6e1.jpeg"
"56dbac60","2015-12-01","晚餐","545","蛋炒饭，排骨冬瓜汤","upload/photo/2015-12-01/b0a25d4ed7653cc9492ef2e306069f68.jpeg"
"56dbac60","2015-12-02","早餐","325","","upload/photo/2015-12-02/14c167a68204eec379bfdfbb40b5936c.jpeg"
"56dbac60","2015-12-02","午餐","350","","upload/photo/2015-12-02/882a9d9cc07ee5ba70f8fc7dfde1ba4c.jpeg"
"56dbac60","2015-12-02","晚餐","394","","upload/photo/2015-12-02/9b47a513f30e2ce0f8d98c2938568ca2.jpeg"
"56dbac60","2015-12-03","早餐","325","稀饭，包子","upload/photo/2015-12-03/0eb8983f6356511cd4dca7680b71a780.jpeg"
"56dbac60","2015-12-03","午餐","475","海带，土豆烧肉","upload/photo/2015-12-03/c1a6a50ebe0849998e4f04af2e6a2d4a.jpeg"
"56dbac60","2015-12-03","晚餐","447","年糕烧鸡肉，青菜","upload/photo/2015-12-03/863f89536dc8664a92b32dfb578a3e07.jpeg"
"56dbac60","2015-12-04","早餐","325","稀饭，肉包","upload/photo/2015-12-04/1ec4e175db722cb397d7e162b00660da.jpeg"
"56dbac60","2015-12-04","午餐","398","西红柿炒鸡蛋，西葫芦炒肉","upload/photo/2015-12-04/aab03331359ef7447e2523bef2a9292b.jpeg"
"56dbac60","2015-12-04","晚餐","375","年糕烧肉，莴笋","upload/photo/2015-12-04/3dcf671f877e7e8fe9c10550ef0fbd5a.jpeg"
"56dbac60","2015-12-05","早餐","301","稀饭，鸡蛋，烧麦","upload/photo/2015-12-05/d17a434c0f4c88281bca95c8c663c596.jpeg"
"56dbac60","2015-12-05","午餐","511","猪脚黄豆，青菜","upload/photo/2015-12-05/0013ed8e899ec11ddaae9ddafe88d420.jpeg"
"56dbac60","2015-12-05","晚餐","407","土豆烧鸡，包菜","upload/photo/2015-12-05/375d7f02acea1eaa33a47801f7dd189f.jpeg"
"56dbac60","2015-12-06","早餐","301","稀饭，鸡蛋，烧麦","upload/photo/2015-12-06/f6ffb156f66bfdbf313418cbb854b09a.jpeg"
"56dbac60","2015-12-06","午餐","409","土豆烧鸡，花菜","upload/photo/2015-12-06/4b2e6362ff95bcc7ddbda803d16886ee.jpeg"
"56dbac60","2015-12-06","晚餐","403","青菜，包菜，莴笋炒肉","upload/photo/2015-12-06/9a0b4349cda67f61b145f2a6b0def437.jpeg"
"56dbac60","2015-12-07","早餐","325","稀饭，肉包","upload/photo/2015-12-07/7200fb6b2422f42c0f2a5b46de6b3be5.jpeg"
"56dbac60","2015-12-07","午餐","424","豆芽，酱干鸡肉","upload/photo/2015-12-07/9af46a893e75edbe19366bc16cc65bf0.jpeg"
"56dbac60","2015-12-07","晚餐","447","年糕烧肉，青菜","upload/photo/2015-12-07/3d18cee60899815fff2af9f43ae69fa5.jpeg"
