"编号","日期","类型","热量/kcal","餐品描述","照片"
"57d746d9","2015-12-01","早餐","340.5","包子","upload/photo/2015-12-01/90c0f3283cea4d73d773327320760db0.jpeg"
"57d746d9","2015-12-01","午餐","100","宜宾燃面","upload/photo/2015-12-01/5fcae315fd12a53a494fb6f0b816aaeb.jpg"
"57d746d9","2015-12-01","晚餐","344","脆皮鸡饭","upload/photo/2015-12-01/bd79725c7ac4073a3b3c02adbb3161e8.jpg"
"57d746d9","2015-12-02","早餐","0","未吃","upload/photo/2015-12-02/bf6ca4a40fb8ff7c1ece990c04d85734.jpg"
"57d746d9","2015-12-02","午餐","419","","upload/photo/2015-12-02/3af253f5e4addd1a80731466de99ef4a.jpg"
"57d746d9","2015-12-02","晚餐","876","汉堡","upload/photo/2015-12-02/114caf136b2dcf67aec86adb798e21d1.jpg"
"57d746d9","2015-12-03","早餐","0","未吃","upload/photo/2015-12-03/a7c5a49c13761334fd098f4f401ee6fc.jpg"
"57d746d9","2015-12-03","午餐","925","盒饭","upload/photo/2015-12-03/3e5db08ccc4da1ee4865f5fa32c25ce1.png"
"57d746d9","2015-12-03","晚餐","468","照烧鸡饭","upload/photo/2015-12-03/644fca17e2130c5e8fdbcff9764786dd.jpg"
"57d746d9","2015-12-04","早餐","361","包子豆浆","upload/photo/2015-12-04/8d05e6218899b885bc9371a1c568913b.jpg"
"57d746d9","2015-12-04","午餐","903","","upload/photo/2015-12-04/35340271dbbb49c8f3976f8d594983c5.jpg"
"57d746d9","2015-12-04","晚餐","843","外卖","upload/photo/2015-12-04/4a2739d830c2d6ecd7f16cbb301ec98b.jpg"
"57d746d9","2015-12-05","早餐","0","未吃","upload/photo/2015-12-05/d70004671211966c5e173c93932eeb10.jpg"
"57d746d9","2015-12-05","午餐","476.25","肥牛猪排双拼饭","upload/photo/2015-12-05/16b7a05f6f63f1fc7be6dcd5487094a9.jpg"
"57d746d9","2015-12-05","晚餐","81","皮蛋瘦肉粥","upload/photo/2015-12-05/ca9893f4c36b6379a836562ee8f0e59f.jpg"
"57d746d9","2015-12-06","早餐","0","未吃","upload/photo/2015-12-06/aa9eb256e0568ac1ebcc74055e7a160c.jpg"
"57d746d9","2015-12-06","午餐","159","麻辣烫","upload/photo/2015-12-06/c494243373ba0cd95de8ff9519ca4f79.jpg"
"57d746d9","2015-12-06","晚餐","81","皮蛋瘦肉粥","upload/photo/2015-12-06/75ecde8bee1d9c4da5a1ec78c6e94aab.jpg"
"57d746d9","2015-12-07","早餐","0","未吃","upload/photo/2015-12-07/1f62a0fc36b50104bcc79df029b7de0d.jpg"
"57d746d9","2015-12-07","午餐","81","皮蛋瘦肉粥","upload/photo/2015-12-07/59d7421904646ba5465c4cc9d6f10a04.jpg"
"57d746d9","2015-12-07","晚餐","843","盒饭","upload/photo/2015-12-07/1e71eec93e7cfda36dc7d757d79712b1.jpg"
