"编号","日期","类型","热量/kcal","餐品描述","照片"
"5c28efe9","2015-12-01","早餐","0","无","upload/photo/2015-12-01/62c29c63dda10c0a9ab591f6a8f6dd32.jpg"
"5c28efe9","2015-12-01","午餐","608","盖饭","upload/photo/2015-12-01/2f5cd224b6071a8f314d4f2e9f75e5a5.jpg"
"5c28efe9","2015-12-01","晚餐","484","粥，面，蒸饺","upload/photo/2015-12-01/f8c50c4f16663dc4407e7fe6fad9850d.jpg"
"5c28efe9","2015-12-01","夜宵","0","无","upload/photo/2015-12-01/e6757c77ff9ccbf487a156bd8c4076bc.jpg"
"5c28efe9","2015-12-02","早餐","0","无","upload/photo/2015-12-02/af36aa4a540cd64ae3403345f75b2601.jpg"
"5c28efe9","2015-12-02","午餐","312","需要做实验所以时间较紧买的面包","upload/photo/2015-12-02/2b6420443cf7933494c01f5964a05427.jpg"
"5c28efe9","2015-12-02","晚餐","312","晚上有机考所以还是面包","upload/photo/2015-12-02/f11f2c44973f183825b0950e2ff15b7d.jpg"
"5c28efe9","2015-12-03","早餐","0","无","upload/photo/2015-12-03/9a212722592eb14225c478177754ebd9.jpg"
"5c28efe9","2015-12-03","午餐","1032","盘餐","upload/photo/2015-12-03/5de334dc40d25c23e046d0c782354da7.jpg"
"5c28efe9","2015-12-03","晚餐","366","面","upload/photo/2015-12-03/d6578c1b4b09456cf87e249c45d7c19f.jpg"
"5c28efe9","2015-12-04","早餐","0","无","upload/photo/2015-12-04/9491bd1c1532d8507e087a481db5f70d.jpg"
"5c28efe9","2015-12-04","午餐","1032","盘餐","upload/photo/2015-12-04/807b6838de7cdf22007c7ed56e7232d2.jpg"
"5c28efe9","2015-12-04","晚餐","751.5","盘餐","upload/photo/2015-12-04/3f919b88e55d26db571e12340923b5f3.jpg"
"5c28efe9","2015-12-05","早餐","0","无","upload/photo/2015-12-05/bd1c0887f2f2f7ab63e0d835a8e05c13.jpg"
"5c28efe9","2015-12-05","晚餐","1032","盘餐","upload/photo/2015-12-05/e86d304bb66adf0087800a0c9d902976.jpg"
"5c28efe9","2015-12-06","早餐","0","无","upload/photo/2015-12-06/8489bcd1f2754c52e21c5a66fad0d2f0.jpg"
"5c28efe9","2015-12-06","午餐","1032","盘餐","upload/photo/2015-12-06/9a94149b802c33355b887050a7d2af62.jpg"
"5c28efe9","2015-12-06","晚餐","751.5","盘餐","upload/photo/2015-12-06/db26bf49d7f1f1a078e54450cb121ee9.jpg"
"5c28efe9","2015-12-07","早餐","0","无","upload/photo/2015-12-07/90e00cdfae85d364d7211ce9e9b11799.jpg"
"5c28efe9","2015-12-07","午餐","1032","盘餐","upload/photo/2015-12-07/f328bc9ab66d654a59141ff3b56a9afe.jpg"
"5c28efe9","2015-12-07","晚餐","318","面","upload/photo/2015-12-07/0c6913f80f610d900ea9a62fb3f539a8.jpg"
