"编号","日期","类型","热量/kcal","餐品描述","照片"
"5c6c5ff2","2015-12-01","早餐","30","紫米粥","upload/photo/2015-12-01/3cb8aeb7f307761e9b9569935220debe.jpg"
"5c6c5ff2","2015-12-01","早餐","177","蔥油拌面","upload/photo/2015-12-01/938c2bc3683f2bfe8d1b54988c3d9d2c.jpeg"
"5c6c5ff2","2015-12-01","午餐","340","雞排肥牛雙拼飯","upload/photo/2015-12-01/6ebdc4a9677250cc82f439ff48a9adff.jpeg"
"5c6c5ff2","2015-12-01","晚餐","225","西式爆魚飯","upload/photo/2015-12-01/a805c4fc8756277056f5e5ac9634a19f.jpeg"
"5c6c5ff2","2015-12-01","夜宵","447","康師傅鮮蝦魚板麵","upload/photo/2015-12-01/7f5d641526d2a7758f065883ef0fb805.jpeg"
"5c6c5ff2","2015-12-02","早餐","253.5","三明治夾冰淇淋","upload/photo/2015-12-02/53bbc4312eb121b5fc49fb3bfb328ffb.jpeg"
"5c6c5ff2","2015-12-02","午餐","351","一樣是三明治","upload/photo/2015-12-02/75f2b44f07dbe80500ebe157446c28d8.jpeg"
"5c6c5ff2","2015-12-02","晚餐","416","雞塊飯","upload/photo/2015-12-02/0d61629ad57bb4dc9f9df524a55a151a.jpeg"
"5c6c5ff2","2015-12-03","早餐","140","冰淇淋三明治","upload/photo/2015-12-03/f12bc5e446a0202236864457c8636254.jpg"
"5c6c5ff2","2015-12-03","午餐","360","雞塊餐","upload/photo/2015-12-03/07fe32b72f96c3998fded99934d3c003.jpg"
"5c6c5ff2","2015-12-03","晚餐","209","水果餐","upload/photo/2015-12-03/dc130746372ad5153bd8bff0003d645d.jpg"
"5c6c5ff2","2015-12-03","其他","220","拿鐵","upload/photo/2015-12-03/203fe03dbd951df72dc7763b509540bb.jpg"
"5c6c5ff2","2015-12-04","早餐","152","生菜三明治","upload/photo/2015-12-04/b434d1bfa5c5f3c706571ff5809497cc.jpg"
"5c6c5ff2","2015-12-04","晚餐","278","吐司","upload/photo/2015-12-04/f72aea5303bb540f5f0ad0f9587829db.jpeg"
"5c6c5ff2","2015-12-05","早餐","192.5","紅茶拿鐵","upload/photo/2015-12-05/bdcbf0ca22111b08a14173c6a8b4072a.jpg"
"5c6c5ff2","2015-12-05","晚餐","526.9","香菇雞麵","upload/photo/2015-12-05/fed75dfa059ac88c3c865b106f219a70.jpeg"
"5c6c5ff2","2015-12-06","早餐","546","吐司*5片","upload/photo/2015-12-06/458265f9da1d0aebfc555c26b0ada889.jpeg"
"5c6c5ff2","2015-12-06","午餐","453","麻辣脆皮雞飯","upload/photo/2015-12-06/48301bf546361060d96a2f15d3ac2c7f.jpeg"
"5c6c5ff2","2015-12-07","午餐","206","燒肉飯","upload/photo/2015-12-07/7f34cc8424abbe04d98caa993c2ccf95.jpg"
"5c6c5ff2","2015-12-07","其他","189","蛋糕","upload/photo/2015-12-07/9aaa4f7cca51be04f381c00a07381527.jpg"
"5c6c5ff2","2015-12-08","早餐","359","紫米粥，豆漿，五個生煎，饅頭","upload/photo/2015-12-08/53af5a8e1bd32bab93f25044f5545d29.jpg"
