"编号","日期","类型","热量/kcal","餐品描述","照片"
"5d6521b0","2015-12-01","早餐","410","蛋糕","upload/photo/2015-12-01/34322d4b4a454eb05edddc7635428dc7.jpg"
"5d6521b0","2015-12-02","早餐","120","奶茶","upload/photo/2015-12-02/94c0a8df30974fbbccc41b5d44d66544.jpg"
"5d6521b0","2015-12-02","午餐","1206","盖浇饭","upload/photo/2015-12-02/9bba68e38831b99ecbf48dc7c622fbbb.jpg"
"5d6521b0","2015-12-02","晚餐","421","面","upload/photo/2015-12-02/bf6fe008841d47b6e927ffd27145f220.jpg"
"5d6521b0","2015-12-03","午餐","712","牛柳乌冬面","upload/photo/2015-12-03/68bc5b6808b27d64248943d2c16eae9c.jpg"
"5d6521b0","2015-12-03","晚餐","719.5","牛肉跑蛋饭","upload/photo/2015-12-03/861082b93cb246b685108895de3df91f.jpg"
"5d6521b0","2015-12-04","晚餐","901","跑蛋饭 没吃早饭午饭...","upload/photo/2015-12-04/3221bd9765f8d8e6804399ab164adbae.jpg"
"5d6521b0","2015-12-05","午餐","647","类似早餐...","upload/photo/2015-12-05/017449712ce1fb18c68bd9b7274ebf97.jpg"
"5d6521b0","2015-12-06","午餐","889","土司","upload/photo/2015-12-06/b32952f05266bf5b739ba5f9ef2e6dad.jpg"
"5d6521b0","2015-12-06","晚餐","924","燃面","upload/photo/2015-12-06/0cd630b5c854d477c271d1ec0482e656.jpg"
"5d6521b0","2015-12-07","晚餐","1162","烤鸭饭","upload/photo/2015-12-07/cc1b6e8556fbf430cf6c9eb1d48a1e43.jpg"
