"编号","日期","类型","热量/kcal","餐品描述","照片"
"5f6d6748","2015-12-01","早餐","0","没吃","upload/photo/2015-12-01/91cea04b05260ba02d21223df1d421a0.jpeg"
"5f6d6748","2015-12-01","午餐","0","沙拉鸡排套餐","upload/photo/2015-12-01/a200b2e87edeefab493461367016fe77.jpeg"
"5f6d6748","2015-12-01","晚餐","0","没吃晚饭 喝了瓶咖啡 250ml","upload/photo/2015-12-01/1688752fe87ee96d216c5e4982662dbe.jpeg"
"5f6d6748","2015-12-02","早餐","0","依旧没吃","upload/photo/2015-12-02/6197227b107868b86ddff2a8201ab7c8.jpeg"
"5f6d6748","2015-12-02","午餐","0","外卖 卤肉饭 炸鸡柳","upload/photo/2015-12-02/8485286d6e98379af20265b363245d39.jpeg"
"5f6d6748","2015-12-02","晚餐","0","食堂","upload/photo/2015-12-02/6ce9fd70dc218dcc0a11ccede0d919e1.jpeg"
"5f6d6748","2015-12-03","早餐","0","面包和饮料","upload/photo/2015-12-03/69085bab54d75376ce7a56b65a14a383.jpeg"
"5f6d6748","2015-12-03","午餐","0","泡面 奶茶","upload/photo/2015-12-03/2f8466a83a5a318066d3b9e890905031.jpeg"
"5f6d6748","2015-12-03","晚餐","0","今天没吃晚饭","upload/photo/2015-12-03/2aaaab409fc6048c256a8e5d8b419b23.jpeg"
"5f6d6748","2015-12-04","早餐","0","没吃- -","upload/photo/2015-12-04/8ccfb16ab3baa6889607cdb5c6f7d159.jpg"
"5f6d6748","2015-12-04","午餐","374","一碗炒饭","upload/photo/2015-12-04/20b84a1ee61dee9f4a2341a6d82b966d.jpg"
"5f6d6748","2015-12-04","晚餐","0","一份盐酥鸡，一份甘梅地瓜","upload/photo/2015-12-04/68e58e2a06c1e0c9b895d7c95041dd20.jpg"
"5f6d6748","2015-12-05","早餐","0","没吃- -","upload/photo/2015-12-05/699717029d0b17773190af07ed844df9.jpg"
"5f6d6748","2015-12-05","午餐","0","一根火腿肠 一瓶牛奶","upload/photo/2015-12-05/849544049d5fa3b945b8ec1f5fbbd15a.jpg"
"5f6d6748","2015-12-05","晚餐","0","香锅（大概吃了70元）","upload/photo/2015-12-05/99e5330f1dd10a6ab135491db7ffd508.jpg"
"5f6d6748","2015-12-06","午餐","0","","upload/photo/2015-12-06/7491b813937fb2d4efcf2f513d3896c0.jpeg"
"5f6d6748","2015-12-06","晚餐","0","韩料，几块香甜鸡翅，一份鱿鱼五花肉盖饭","upload/photo/2015-12-06/a8d72dbd2001903ae94921034eb68807.jpeg"
"5f6d6748","2015-12-07","晚餐","0","毛湘土菜馆","upload/photo/2015-12-07/1d3006b9f55e829d219c09c5eacd8297.jpeg"
