"编号","日期","类型","热量/kcal","餐品描述","照片"
"61ed55d0","2015-12-01","早餐","390","山东煎饼+银耳莲子羹","upload/photo/2015-12-01/19a53d84eaa7dfff456d47fa3bdb3ae1.jpg"
"61ed55d0","2015-12-01","午餐","380","米饭+青菜+土豆","upload/photo/2015-12-01/1dbc565dad10a5572c8a83857ea3e569.jpg"
"61ed55d0","2015-12-01","晚餐","500","鸡排简餐","upload/photo/2015-12-01/c14e1081edfca4e258426c06c55823af.jpg"
"61ed55d0","2015-12-02","早餐","250","三角饼+豆浆","upload/photo/2015-12-02/226c700711377b7b820631c643e32fab.jpg"
"61ed55d0","2015-12-02","午餐","540","米饭+土豆丝+包菜+紫菜蛋汤","upload/photo/2015-12-02/424ed3ef9a207be09ab999f2c2068322.jpg"
"61ed55d0","2015-12-02","晚餐","450","牛肉小火锅","upload/photo/2015-12-02/3a4bba664a45291229dcec1eeb9cc9d6.jpg"
"61ed55d0","2015-12-03","早餐","250","","upload/photo/2015-12-03/0cf7e13a1556904a07311b35ffa41353.jpg"
"61ed55d0","2015-12-03","午餐","360","","upload/photo/2015-12-03/839b6d11cb5e19e5de795d6052b3a758.jpg"
"61ed55d0","2015-12-03","晚餐","520","米饭+年糕+包菜+西红柿鸡蛋汤(忘了拍照了→_→）","upload/photo/2015-12-03/69c0161edcbebec5d656a386aa794648.jpg"
"61ed55d0","2015-12-04","早餐","520","豆奶+菜包+两个生煎","upload/photo/2015-12-04/ee94142350b9cf09459e84288e4db8e7.jpg"
"61ed55d0","2015-12-04","午餐","500","干锅鸡","upload/photo/2015-12-04/011f507bc79acb2d34271183aa1fdcf1.jpg"
"61ed55d0","2015-12-04","晚餐","550","土豆牛肉盖浇饭（p.s吃完了才想起来拍照……）","upload/photo/2015-12-04/38443ffef2a0226d0e46a6c3d95e043a.jpg"
"61ed55d0","2015-12-05","早餐","220","芝士蛋糕+拿铁","upload/photo/2015-12-05/a1c55ea8815d12b4e9f3c821c0431552.jpg"
"61ed55d0","2015-12-05","午餐","250","粉丝汤","upload/photo/2015-12-05/44b1d214075afb61d7b7d21c45835b7c.jpg"
"61ed55d0","2015-12-05","晚餐","300","鸡蛋灌饼","upload/photo/2015-12-05/055353bbebdd3d093127a3dfaeb5fbfe.jpg"
"61ed55d0","2015-12-05","下午茶","160","火龙果","upload/photo/2015-12-05/20adf2a2fe04312ac8dc5f31c5c97909.jpg"
"61ed55d0","2015-12-06","早餐","370","牛奶+Q蒂","upload/photo/2015-12-06/4287f6d67a331ffa01563be9a28addd6.jpg"
"61ed55d0","2015-12-06","午餐","480","炒饭","upload/photo/2015-12-06/e403492c36e52a002db9c024994b74db.jpg"
"61ed55d0","2015-12-06","晚餐","500","西红柿牛肉面","upload/photo/2015-12-06/67fca29d70a048854db4fa1c067f6c5f.jpg"
"61ed55d0","2015-12-07","早餐","200","豆浆+南瓜饼","upload/photo/2015-12-07/8389885d367b0b663eaeecc63b269be8.jpg"
"61ed55d0","2015-12-07","午餐","360","土豆丝+丸子+紫菜汤+米饭","upload/photo/2015-12-07/ee4a8b1e26de24980b57af299817607b.jpg"
"61ed55d0","2015-12-07","晚餐","390","年糕+青菜+紫菜汤+米饭","upload/photo/2015-12-07/b58cb46218535748c6a8d142d38a1904.jpg"
