"编号","日期","类型","热量/kcal","餐品描述","照片"
"62aae2a6","2015-12-01","早餐","300","豆腐花 生煎","upload/photo/2015-12-01/84a1951830ff4aae30e09f2e4787ca78.jpeg"
"62aae2a6","2015-12-01","午餐","750","千叶豆腐饭","upload/photo/2015-12-01/47d91786c863603a2246a386ea932430.jpeg"
"62aae2a6","2015-12-01","晚餐","500","芝士披萨","upload/photo/2015-12-01/67dc7798d62360d84fc5c7206c0dfeca.jpeg"
"62aae2a6","2015-12-02","早餐","630","豆浆 芝麻饼","upload/photo/2015-12-02/0dcd7584745a3df27d3df36c8a2ca91e.jpeg"
"62aae2a6","2015-12-02","午餐","380","兰州炒饭 土豆丝","upload/photo/2015-12-02/581ae1bab403d73b8bac5afc8269f2e6.jpeg"
"62aae2a6","2015-12-02","晚餐","330","火龙果 酸奶","upload/photo/2015-12-02/e0d75689f6372c3cc1e270a7e522b6bb.jpeg"
"62aae2a6","2015-12-03","早餐","480","豆浆 手抓饼","upload/photo/2015-12-03/4543ebcdf537740e265bf87abf77621d.jpeg"
"62aae2a6","2015-12-03","午餐","300","燃面","upload/photo/2015-12-03/fcd5003ab007a4793d7e6b90d2e8f2e8.jpeg"
"62aae2a6","2015-12-03","晚餐","550","炸鸡","upload/photo/2015-12-03/09f235355fe81e0b761762f7a66b916f.jpeg"
"62aae2a6","2015-12-04","早餐","230","紫菜卷 豆浆","upload/photo/2015-12-04/3d62a8bdf7a2607734ff43b50a68b403.jpg"
"62aae2a6","2015-12-04","午餐","150","煎馄饨","upload/photo/2015-12-04/af959a1f8e360edfa9b6799302782617.jpg"
"62aae2a6","2015-12-04","晚餐","550","炸鸡","upload/photo/2015-12-04/496b2258348fb36729bf12dd64fa745a.jpg"
"62aae2a6","2015-12-05","早餐","460","花卷 鸡蛋","upload/photo/2015-12-05/70985fcf2f2c5919b7eab9b34c36a713.jpeg"
"62aae2a6","2015-12-05","午餐","850","米饭 烤鸭 黄豆猪蹄汤","upload/photo/2015-12-05/d561d83addf67d93c94492c5cbbd02bb.jpeg"
"62aae2a6","2015-12-05","晚餐","1100","大排面 烤鸭","upload/photo/2015-12-05/749a7fcefc883fd985d08bac25d6928c.jpg"
"62aae2a6","2015-12-06","早餐","380","菜包 鸡蛋","upload/photo/2015-12-06/bbce74be4f12a4fa76595236e29b67d0.jpeg"
"62aae2a6","2015-12-06","晚餐","700","石锅饭","upload/photo/2015-12-06/34cda86b5f869e171ac57c0a400a9306.jpg"
"62aae2a6","2015-12-07","早餐","0","没吃","upload/photo/2015-12-07/9aecdd25b25f023b6e18e952fd8532c7.jpeg"
"62aae2a6","2015-12-07","午餐","750","千页豆腐","upload/photo/2015-12-07/1eb1e7ef89d44c50f96b5aff779411ad.jpeg"
"62aae2a6","2015-12-07","晚餐","150","皮蛋瘦肉粥","upload/photo/2015-12-07/df04e7fa170fe6cfc1f83b55cf3f11b1.jpg"
