"编号","日期","类型","热量/kcal","餐品描述","照片"
"6b9de924","2015-12-01","早餐","348","香蕉，馒头","upload/photo/2015-12-01/1855cdd1ebc1fd98374a89a5225bde11.jpg"
"6b9de924","2015-12-01","午餐","238","牛肉拉面","upload/photo/2015-12-01/8dbced83d5bb7cdcb78d0859a432576c.jpg"
"6b9de924","2015-12-01","晚餐","466","米饭，鸡腿，南瓜","upload/photo/2015-12-01/cfd37f479941aa666e3c8eedc9324494.jpg"
"6b9de924","2015-12-02","早餐","81","香蕉","upload/photo/2015-12-02/4356c3c22e670afc75a52dec61259754.jpg"
"6b9de924","2015-12-02","午餐","2617.86","肯德基外卖（鸡肉卷，鸡腿堡，鸡块，鸡翅，圣代，九珍果汁）","upload/photo/2015-12-02/d7fc76dcc595ae0c6ca3a877b440eab5.jpg"
"6b9de924","2015-12-02","晚餐","799","鸡排饭","upload/photo/2015-12-02/77bc6cf1031382c364a35c30bb4493e8.jpg"
"6b9de924","2015-12-03","早餐","81","香蕉","upload/photo/2015-12-03/4e21edc13c80dfbf495aaf4e3bf02efd.jpg"
"6b9de924","2015-12-03","午餐","822","披萨","upload/photo/2015-12-03/8ba305913e0b853bf96b3f8f5a01d083.jpg"
"6b9de924","2015-12-03","晚餐","1063","银耳汤，印度飞饼","upload/photo/2015-12-03/a9e0179a075864889f353fe1be5b29c1.jpg"
"6b9de924","2015-12-04","早餐","122","橘子","upload/photo/2015-12-04/f513ff90831f2f0fb5adec48390ad66b.jpg"
"6b9de924","2015-12-04","午餐","778","猪扒饭","upload/photo/2015-12-04/0f197f0d42029ea495e51bde43d13a1a.jpg"
"6b9de924","2015-12-04","晚餐","670","鸡肉饭","upload/photo/2015-12-04/6d2215b92d98ebbfe23b382337c16ab7.jpg"
"6b9de924","2015-12-05","早餐","339","柚子","upload/photo/2015-12-05/c23d57420391ee6418db6d56460cf3e1.jpg"
"6b9de924","2015-12-05","午餐","1923","肯德基（汉堡，鸡翅，土豆泥，圣代）","upload/photo/2015-12-05/08a7059768e3f8870dd4aa54a5fd373c.jpg"
"6b9de924","2015-12-05","晚餐","472","番茄鸡蛋面","upload/photo/2015-12-05/19993bed286809f8f5e6e2af5d325339.jpg"
"6b9de924","2015-12-06","午餐","625","小馄炖","upload/photo/2015-12-06/6374e95b2425a98a0a4fa05e9638bf78.jpg"
"6b9de924","2015-12-06","晚餐","1265","印度飞饼巧克力味","upload/photo/2015-12-06/7521e0951481178ff9d0fe79dd0d2c23.jpg"
"6b9de924","2015-12-07","早餐","70","橙子","upload/photo/2015-12-07/eb3ca56016a31f5afdf62d747fe7e187.jpg"
"6b9de924","2015-12-07","午餐","1248","面包","upload/photo/2015-12-07/d5bf00059e9f7fd20647bb347bac6ee4.jpg"
"6b9de924","2015-12-07","晚餐","525","干锅土豆","upload/photo/2015-12-07/0fb85df3a2fd5c1952592ae3bf507485.jpg"
