"编号","日期","类型","热量/kcal","餐品描述","照片"
"6bd45109","2015-12-01","早餐","0","豆奶","upload/photo/2015-12-01/c0545f528db70db8ef7fb3e2635450fe.jpg"
"6bd45109","2015-12-01","午餐","0","鱼排 手撕包菜","upload/photo/2015-12-01/6f95a92c9c0a817ca86a28e4c3ea2709.jpg"
"6bd45109","2015-12-01","晚餐","0","鸡米花 青菜 汤","upload/photo/2015-12-01/e9010ef327816b7956fe40d24b8af04e.jpg"
"6bd45109","2015-12-02","早餐","0","豆浆 鸡蛋 煎饺","upload/photo/2015-12-02/a487fe8a3c5e022617bef13744aea28c.jpg"
"6bd45109","2015-12-02","午餐","0","红烧牛肉面 花枝丸","upload/photo/2015-12-02/3b4ca9652c855625ad2bd31a7dcea745.jpg"
"6bd45109","2015-12-02","晚餐","0","手撕包菜 鱼排","upload/photo/2015-12-02/02e95c710307b3002a2f67e9b47732b9.jpg"
"6bd45109","2015-12-03","早餐","0","","upload/photo/2015-12-03/993e00ca57bd08fa45f5d65c16af2f25.jpg"
"6bd45109","2015-12-03","午餐","0","","upload/photo/2015-12-03/8ea84aca3a756ee1124adaa6fbcd6a46.jpg"
"6bd45109","2015-12-03","晚餐","0","","upload/photo/2015-12-03/363af9f2c9eff5708880f5c05cdfd64d.jpg"
"6bd45109","2015-12-04","早餐","339","","upload/photo/2015-12-04/934f1681bd2ba3cd40a54b305092d059.jpg"
"6bd45109","2015-12-04","午餐","696","","upload/photo/2015-12-04/3a5de58ecd944559b214455d2d14d0be.jpg"
"6bd45109","2015-12-04","晚餐","0","","upload/photo/2015-12-04/36249ee8853cf0d617f8bc10046e240f.jpg"
"6bd45109","2015-12-05","早餐","545","","upload/photo/2015-12-05/beb4b399ec35fe44a5b30abd6be3fc98.jpg"
"6bd45109","2015-12-05","午餐","435","","upload/photo/2015-12-05/ab5b047e51fbf742b9b3efe958c5b8c5.jpg"
"6bd45109","2015-12-05","晚餐","378","","upload/photo/2015-12-05/70513f55fe1bf7ac0ed2b8463b3c1646.jpg"
"6bd45109","2015-12-06","早餐","442","","upload/photo/2015-12-06/9da22f5491234cbfd7f0127ccf43f9aa.jpg"
"6bd45109","2015-12-06","午餐","442","","upload/photo/2015-12-06/7fdb2e014844ecc685b04a7a578e6f30.jpg"
"6bd45109","2015-12-06","晚餐","173","","upload/photo/2015-12-06/18ee40c56e1a72b4dd4fdcf5583a466e.jpg"
"6bd45109","2015-12-07","早餐","0","","upload/photo/2015-12-07/d6c70dd117c62f87ad2a6153f2592c2b.jpg"
"6bd45109","2015-12-07","午餐","0","","upload/photo/2015-12-07/37786d2f5acd23ea133af7ba1d83a901.jpg"
"6bd45109","2015-12-07","晚餐","0","","upload/photo/2015-12-07/ba356516a55cab2f82138479ef3e2681.jpg"
