"编号","日期","类型","热量/kcal","餐品描述","照片"
"6c49240c","2015-12-01","早餐","856.7","面包 巧克力豆奶","upload/photo/2015-12-01/6556c575224f3b061748e573fa252840.jpg"
"6c49240c","2015-12-01","午餐","580.5","烤鸭饭","upload/photo/2015-12-01/c64f613c3fdb2306ff2af803f27ebe42.jpg"
"6c49240c","2015-12-01","晚餐","507","年糕排条 丸子 藕片牛肉","upload/photo/2015-12-01/81a17968ece5db050e36f6c284323b56.jpg"
"6c49240c","2015-12-02","早餐","1010","蛋糕 牛奶","upload/photo/2015-12-02/c38ae27b1d395534bb2278d6eaa538d2.jpg"
"6c49240c","2015-12-02","午餐","717","红烧牛肉面","upload/photo/2015-12-02/3dd6de572b965e5fcbfc3016b29ad51c.jpg"
"6c49240c","2015-12-02","晚餐","428.75","年糕排条 鸡块","upload/photo/2015-12-02/55a8cb536f13efe8cd56544923fbc8a5.jpg"
"6c49240c","2015-12-03","早餐","599.61","豆奶 面包","upload/photo/2015-12-03/1da365cf5be2ea940f22065f12393520.jpg"
"6c49240c","2015-12-03","午餐","580.5","烧鸭饭","upload/photo/2015-12-03/8995371e449dd4330b32c2edfc75b899.jpg"
"6c49240c","2015-12-03","晚餐","670.5","石锅拌饭","upload/photo/2015-12-03/4709e4478c4620fed16cad50d629a85d.jpg"
"6c49240c","2015-12-04","早餐","624","牛奶 2个肉包","upload/photo/2015-12-04/7adf1e25305b06d12717ad708aa25926.jpg"
"6c49240c","2015-12-04","午餐","468","豆芽炒肉 蛋羹 肉","upload/photo/2015-12-04/07815e9717756258441cc7b1159c40ed.jpg"
"6c49240c","2015-12-04","晚餐","624","麻辣香锅","upload/photo/2015-12-04/694e24af303076900152f1a9cd6c76d5.jpg"
"6c49240c","2015-12-05","早餐","525","奥尔良鸡腿包 奶黄包","upload/photo/2015-12-05/5ab50d876c3de506c16b342c1d30d4da.jpg"
"6c49240c","2015-12-05","午餐","0","木有吃","upload/photo/2015-12-05/6491ddc407428613e8d37df8fbb607a3.jpg"
"6c49240c","2015-12-05","晚餐","717","红烧牛肉面 【忘拍了，之前的照片】","upload/photo/2015-12-05/20b6615f227b709fe0c110402f1a5e5e.jpg"
"6c49240c","2015-12-05","夜宵","52","一个苹果","upload/photo/2015-12-05/f5dda8c51129eeabc25b973cac49c090.jpg"
"6c49240c","2015-12-06","早餐","582","两个奶黄包","upload/photo/2015-12-06/161b9674fd5fb89ea9da3291c66b0b70.jpg"
"6c49240c","2015-12-06","晚餐","812","麻辣香锅","upload/photo/2015-12-06/d9f1efd076007581233aee0010a52904.jpg"
"6c49240c","2015-12-07","早餐","599.61","豆奶 面包","upload/photo/2015-12-07/c44530b08a48950bc3407869bf7c9a85.jpg"
"6c49240c","2015-12-07","午餐","812","杂粮煎饼","upload/photo/2015-12-07/5ea9bc00e620afae2437e6d546634da9.jpg"
"6c49240c","2015-12-07","晚餐","500","丸子 哈密瓜炒肉","upload/photo/2015-12-07/0324552d454308bfa2097faecaf7a9c1.jpg"
