"编号","日期","类型","热量/kcal","餐品描述","照片"
"746e340a","2015-12-01","早餐","164","","upload/photo/2015-12-01/8caeaadc455c82199d39c74467270614.jpg"
"746e340a","2015-12-01","午餐","302","","upload/photo/2015-12-01/fc765d7b06aba870a2b7a08a3393d55e.jpg"
"746e340a","2015-12-01","晚餐","302","","upload/photo/2015-12-01/aff8ba6e22ba37ac61e4d5eaba9217fc.jpg"
"746e340a","2015-12-02","午餐","350","","upload/photo/2015-12-02/843e320a02f00928d448011a7a7b5c90.jpg"
"746e340a","2015-12-02","晚餐","230","","upload/photo/2015-12-02/6e81da749a04840e217fb79ee241d946.jpg"
"746e340a","2015-12-03","午餐","212","","upload/photo/2015-12-03/602d4ce3e99d1aaaa0470e03c522be1a.jpg"
"746e340a","2015-12-04","午餐","70","","upload/photo/2015-12-04/636eadf3d0ac611ce00c72a32387a5b4.jpg"
"746e340a","2015-12-06","午餐","238","","upload/photo/2015-12-06/a78abefe95232ea9715e24c4b32cb803.jpg"
"746e340a","2015-12-06","晚餐","318","","upload/photo/2015-12-06/7b3fdfd4666889a4b1bdb605fd74c859.jpg"
"746e340a","2015-12-08","早餐","244","","upload/photo/2015-12-08/df8647e1afe301e025dc99a590d65715.jpg"
"746e340a","2015-12-08","晚餐","282","","upload/photo/2015-12-08/3247a1e70bb24ad2a45dbadc5191bdc9.jpg"
