"编号","日期","类型","热量/kcal","餐品描述","照片"
"75e9dd8a","2015-12-01","早餐","321","包子两个豆浆一袋","upload/photo/2015-12-01/8539ab81ffbb195a5399bc8e0846295c.jpeg"
"75e9dd8a","2015-12-01","午餐","560","土豆烧排骨，豆腐，米饭咸菜蛋花汤","upload/photo/2015-12-01/afe95b83cf9b54f8e26565e4d2e3d807.jpeg"
"75e9dd8a","2015-12-01","晚餐","520","笋子炒肉牙签肉一两饭","upload/photo/2015-12-01/6deea32274f1397275ef93715cc4916e.jpeg"
"75e9dd8a","2015-12-02","早餐","570","面包3个牛奶一盒","upload/photo/2015-12-02/1955ede62dd52067dfce98c33005fb13.jpg"
"75e9dd8a","2015-12-02","午餐","513","我吃了27块的一餐的麻辣香锅","upload/photo/2015-12-02/6761b30720e3ca597e75cb8510085be1.jpeg"
"75e9dd8a","2015-12-02","晚餐","580","豆腐炒肉和哈密瓜炒肉和紫菜汤以及米饭","upload/photo/2015-12-02/74f286d32b4deb890b789abe859ba944.jpeg"
"75e9dd8a","2015-12-03","早餐","390","和昨天一样面包牛奶","upload/photo/2015-12-03/9f930c36106a2db25f7898ff1cce991a.png"
"75e9dd8a","2015-12-03","午餐","550","石锅拌饭牛肉和菌菇","upload/photo/2015-12-03/159a81997ccd3eb0b41f710f4959c3a8.jpeg"
"75e9dd8a","2015-12-03","晚餐","402","花菜和难吃的豆腐米饭二两并没有吃完","upload/photo/2015-12-03/ac97597d0e0e60781f61baf3395a7fe1.jpeg"
"75e9dd8a","2015-12-04","早餐","390","面包牛奶","upload/photo/2015-12-04/7ca866543f228c20cab37da8a8122d6a.jpeg"
"75e9dd8a","2015-12-04","午餐","580","点菜","upload/photo/2015-12-04/d9fa86c4e4754d0fb5fb107e658b201f.jpeg"
"75e9dd8a","2015-12-04","晚餐","480","青菜肉和米饭","upload/photo/2015-12-04/f28d10805b02422acf67da1e2601eafb.jpeg"
"75e9dd8a","2015-12-05","早餐","290","蛋黄酥牛奶酥","upload/photo/2015-12-05/8212b10bc9404bb5a7fbb8dde42f6d2c.jpeg"
"75e9dd8a","2015-12-05","午餐","0","貌似没吃...","upload/photo/2015-12-05/58eb025f050eba4f3f054922444e6b97.png"
"75e9dd8a","2015-12-05","晚餐","480","油豆腐炒肉饭","upload/photo/2015-12-05/626999941a6386e6cba85f40cf887318.jpeg"
"75e9dd8a","2015-12-06","早餐","200","没吃，只吃了几块巧克力","upload/photo/2015-12-06/9eed03e62cfe2acc50e1573c95d1ca78.jpeg"
"75e9dd8a","2015-12-06","午餐","600","世博中心不好吃的盒饭","upload/photo/2015-12-06/3d039c3f46de44d1592667b50cb68a6b.jpeg"
"75e9dd8a","2015-12-06","晚餐","590","还是世博中心的盒饭，更难吃了","upload/photo/2015-12-06/d837659d5d69d53cb0775a1d86417b93.jpeg"
"75e9dd8a","2015-12-07","早餐","250","巧克力蛋糕牛奶","upload/photo/2015-12-07/1fee3b7cda946bd4cb92cce1ed3a5656.jpeg"
"75e9dd8a","2015-12-07","午餐","410","红烧土豆卷心菜","upload/photo/2015-12-07/e77202ec6a3a5dbc048f78c3033c7f6b.jpeg"
"75e9dd8a","2015-12-07","晚餐","500","各种菜....","upload/photo/2015-12-07/43f95371594c3d8160691df331053705.jpeg"
