"编号","日期","类型","热量/kcal","餐品描述","照片"
"78024227","2015-12-01","早餐","568","玉米糊加锅贴","upload/photo/2015-12-01/7168e9abe55439de5b58b2fd625328be.jpg"
"78024227","2015-12-01","午餐","500","千里香馄饨","upload/photo/2015-12-01/28ee038e796eb78c2a8e82c1101d742e.jpg"
"78024227","2015-12-01","晚餐","0","三餐","upload/photo/2015-12-01/7f9526542dadd5cf8a2594950cb9234a.jpg"
"78024227","2015-12-01","下午茶","106","华联玉米","upload/photo/2015-12-01/08d2fa3b0e211837fb71485fc330facb.jpg"
"78024227","2015-12-02","早餐","253","","upload/photo/2015-12-02/73a9caad3892bfc23231c9ef313a3036.jpg"
"78024227","2015-12-02","午餐","513","","upload/photo/2015-12-02/fa748daafe5d62d6b12800b9470befd9.jpg"
"78024227","2015-12-02","晚餐","775","","upload/photo/2015-12-02/143595a21dc212099c4ea67ece263491.jpg"
"78024227","2015-12-03","早餐","523.5","","upload/photo/2015-12-03/5c9258350ee11f4890ff9f6822927064.jpg"
"78024227","2015-12-03","午餐","718","","upload/photo/2015-12-03/6e8059ecb20e6d04b686535b1a2bb0cd.jpg"
"78024227","2015-12-03","晚餐","570","","upload/photo/2015-12-03/a285723cae9c009602ae661f2555ebde.jpg"
"78024227","2015-12-04","早餐","608","","upload/photo/2015-12-04/8473993ea8aedc6023564802a11fe1e3.jpg"
"78024227","2015-12-04","午餐","398","","upload/photo/2015-12-04/a61618d511baf7b72f3389df03494cca.jpg"
"78024227","2015-12-04","晚餐","387","","upload/photo/2015-12-04/80f41db9953d8b12fd7bef338f1cba2c.jpg"
"78024227","2015-12-04","夜宵","572","","upload/photo/2015-12-04/1b9e9f5f83f98853b124921bf2bc86ef.jpg"
"78024227","2015-12-05","早餐","0","没有吃","upload/photo/2015-12-05/09a21e1451d7d1bf5b87e96f48acf836.jpg"
"78024227","2015-12-05","午餐","777","","upload/photo/2015-12-05/d67878844de507b8bc732f97f604817b.jpg"
"78024227","2015-12-05","晚餐","678","","upload/photo/2015-12-05/fdefc73760f69bfef6ffb51e8e28cd94.jpg"
"78024227","2015-12-05","下午茶","90","","upload/photo/2015-12-05/bc270cfd93c7c2e69578acc7a06af7bd.jpg"
"78024227","2015-12-06","早餐","290","","upload/photo/2015-12-06/d9504be4859e04d5598c5e1cb4220855.jpeg"
"78024227","2015-12-06","午餐","371","","upload/photo/2015-12-06/f0bf9863a3f67700f451629eeebe005c.jpg"
"78024227","2015-12-06","晚餐","779","","upload/photo/2015-12-06/8d1dcf961f2c140ec74edcb6c5af91d4.jpg"
"78024227","2015-12-07","早餐","625","","upload/photo/2015-12-07/cddab1c1b6923099d7c4f54f4804fb4b.jpg"
"78024227","2015-12-07","午餐","805","","upload/photo/2015-12-07/544e39aa7f444e25a79e4d8c1211b90f.jpg"
"78024227","2015-12-07","晚餐","405","","upload/photo/2015-12-07/1921ca986f39f3c729703bac563a3d9b.jpg"
