"编号","日期","类型","热量/kcal","餐品描述","照片"
"7ac7fa4e","2015-12-01","早餐","384","二餐蛋饼 + 豆浆","upload/photo/2015-12-01/bb454bf247c832a268111d0d4482a79e.jpg"
"7ac7fa4e","2015-12-01","午餐","612","外卖 鸡排套餐内有土豆丝 豆腐 豆干 鸡排","upload/photo/2015-12-01/8d26cc4811942f5a8c48d71e55f76642.jpg"
"7ac7fa4e","2015-12-02","早餐","419","西式早餐 培根 香肠 烤面包 黄豆","upload/photo/2015-12-02/c1686518c39e88a92a427a9bdd7f9fd6.jpg"
"7ac7fa4e","2015-12-02","午餐","361","一个馕","upload/photo/2015-12-02/ce3cf2a3e445029173daa526a562e1f7.jpg"
"7ac7fa4e","2015-12-03","早餐","612","牛奶250ml 两个面包","upload/photo/2015-12-03/47932d4b40692ecceb6458acff6cd48a.jpg"
"7ac7fa4e","2015-12-03","午餐","683","锅包肉套餐","upload/photo/2015-12-03/94f46f8fefbb9d98162733c554f6cea3.jpg"
"7ac7fa4e","2015-12-04","早餐","384","蛋饼 豆浆","upload/photo/2015-12-04/dd289b10134c07524847e3745d42e766.jpg"
"7ac7fa4e","2015-12-04","午餐","496","三文鱼套餐","upload/photo/2015-12-04/59fc9c95b5eedaff53cba6a265ba7924.jpg"
"7ac7fa4e","2015-12-05","早餐","295","黑米粥 酱香饼","upload/photo/2015-12-05/c474e442aade77487d9280ba21205d41.jpg"
"7ac7fa4e","2015-12-05","午餐","529","锅包肉套餐","upload/photo/2015-12-05/19699efe9b94219e2c54ac6702ab9fba.jpg"
"7ac7fa4e","2015-12-06","午餐","490","羊肉泡馍","upload/photo/2015-12-06/718991e724ebf6df4bac502efa774aa5.jpg"
"7ac7fa4e","2015-12-06","晚餐","563","三明治","upload/photo/2015-12-06/ebefaf0b2ae908e09297050c30e1fd42.jpg"
"7ac7fa4e","2015-12-07","早餐","127","麦片粥+一个苹果","upload/photo/2015-12-07/a3f92b87498fa4a48922c100518a17da.jpg"
"7ac7fa4e","2015-12-07","午餐","637","鸡排套餐","upload/photo/2015-12-07/b601c11da0a14f5ed366933f2c75ca3e.jpg"
