"编号","日期","类型","热量/kcal","餐品描述","照片"
"7b311f6f","2015-12-01","午餐","402","烤鸭饭","upload/photo/2015-12-01/52a9fc08f57281a28599e8ca7ce8fed1.jpg"
"7b311f6f","2015-12-01","晚餐","298","红烧牛肉面","upload/photo/2015-12-01/a8634c4aca1261f0ae617eb7bd9d210b.jpg"
"7b311f6f","2015-12-02","早餐","0","无","upload/photo/2015-12-02/fc62cbd17e0ae56a678a49d5dd0e5815.jpg"
"7b311f6f","2015-12-02","早餐","223","凉皮","upload/photo/2015-12-02/e390dab47b8ed2c05102c1be1949ca36.jpg"
"7b311f6f","2015-12-02","午餐","603","肉沫饭","upload/photo/2015-12-02/0d3868b1a10d19ee00e8f6a84627d09c.jpg"
"7b311f6f","2015-12-03","午餐","342","芝士烤鸡焗饭","upload/photo/2015-12-03/739584f0228f3086f9e3f42ff7dfa0c0.jpg"
"7b311f6f","2015-12-03","晚餐","489","鸡块 青菜","upload/photo/2015-12-03/309675f07f5ba740bd4ffc959084c989.jpg"
"7b311f6f","2015-12-04","午餐","500","烤肉","upload/photo/2015-12-04/e452d82f45f087fe41f35049d81cf9c8.jpg"
"7b311f6f","2015-12-04","晚餐","402","食堂鸡米花 青菜","upload/photo/2015-12-04/a200819a3d987dca952dc44f870d2d1e.jpg"
"7b311f6f","2015-12-05","午餐","589","猪排蛋包饭","upload/photo/2015-12-05/be3f8c10099d1d853b3a7a5ce2f43fa5.jpg"
"7b311f6f","2015-12-05","晚餐","635","溜肉段套餐","upload/photo/2015-12-05/7e7ad0f6e07ae640557308810040278c.jpg"
"7b311f6f","2015-12-06","午餐","589","猪排蛋包饭","upload/photo/2015-12-06/d75058e4fc127f4657a7f2753ee26685.jpg"
"7b311f6f","2015-12-06","晚餐","383","肌肉比萨","upload/photo/2015-12-06/e77fe42838195a205fb4954c47257429.jpg"
"7b311f6f","2015-12-07","午餐","589","猪排蛋包饭","upload/photo/2015-12-07/035fe2fe3eae5141ef8e73b3b1ef03f9.jpg"
"7b311f6f","2015-12-07","晚餐","512","鸡煲宝","upload/photo/2015-12-07/b8629a6d1bb2862ac5984a5d18094199.jpg"
