"编号","日期","类型","热量/kcal","餐品描述","照片"
"7c83e52e","2015-12-01","早餐","0","全家 浓情巧克力面包","upload/photo/2015-12-01/e9cb1e62661eb6bc8da0358c15448f1e.jpg"
"7c83e52e","2015-12-01","午餐","0","二餐二楼肥牛砂锅","upload/photo/2015-12-01/ed2509ececca0194be4fe827efdcdb31.jpg"
"7c83e52e","2015-12-01","晚餐","0","全家的酸奶和寿司","upload/photo/2015-12-01/b3fd6cf706c8a88f5ec4133756e449a3.jpg"
"7c83e52e","2015-12-02","早餐","0","全家松之雪面包","upload/photo/2015-12-02/fb1bedd0e4d5d5cb728403164cc2d593.jpg"
"7c83e52e","2015-12-02","午餐","0","烤鱼外卖","upload/photo/2015-12-02/b2ee2cc3b61b9f79a3ac8d2249f3630e.jpg"
"7c83e52e","2015-12-02","晚餐","0","红豆薏米粥和奶黄包","upload/photo/2015-12-02/1e5cd8433d3c480faf18cba8a6a84d4d.jpg"
"7c83e52e","2015-12-03","早餐","366","萝卜丝饼","upload/photo/2015-12-03/22233fc4e76768a877681e3982748487.jpg"
"7c83e52e","2015-12-03","晚餐","353","8个饺子和绿豆汤","upload/photo/2015-12-03/0277f544c2a8ae2b724aa6705085fbab.jpg"
"7c83e52e","2015-12-04","早餐","512","好吧，其实我吃的是两个一餐肉包，但忘记拍照了(๑´ㅂ`๑)","upload/photo/2015-12-04/c9035c354d68ad0749d473e7eb48b345.jpg"
"7c83e52e","2015-12-04","午餐","176","二餐一楼","upload/photo/2015-12-04/b101088ec7e66405bfdeedf2d6ac6f77.jpg"
"7c83e52e","2015-12-04","晚餐","106","一餐麻辣烫13元，很好吃哟","upload/photo/2015-12-04/1c0346dca9314e889850b240aed20dc4.jpg"
"7c83e52e","2015-12-05","早餐","514","牛奶蛋奶星星","upload/photo/2015-12-05/696c2294031f2804a680e9ddc857aac7.jpg"
"7c83e52e","2015-12-05","午餐","233","一个奶黄包","upload/photo/2015-12-05/a174fd7adfff402939a1e148239362c4.jpg"
"7c83e52e","2015-12-05","晚餐","1363","麦当劳(๑•̀ㅂ•́)و✧","upload/photo/2015-12-05/b1cc2c43e5e455327f88f99a7c0b5ab0.jpg"
"7c83e52e","2015-12-06","早餐","387","二餐蛋夹馍和豆浆","upload/photo/2015-12-06/75b4fb5c82e8c18c86fcbd2f88048585.jpg"
"7c83e52e","2015-12-06","午餐","96","两片切片面包(又忘记拍照了)","upload/photo/2015-12-06/d3d7bb63b4ee24b970a061277eddaf21.jpg"
"7c83e52e","2015-12-06","晚餐","486","二餐二楼肥牛砂锅","upload/photo/2015-12-06/f3cc79900f8441628609937965eb5a3e.jpg"
"7c83e52e","2015-12-07","早餐","244","三片切片面包","upload/photo/2015-12-07/f222b4211b525f460acbd8d73e1a8ef4.jpg"
"7c83e52e","2015-12-07","午餐","106","10元钱的一餐麻辣烫","upload/photo/2015-12-07/1c49db02803459bc178933e2e82660b0.jpg"
"7c83e52e","2015-12-07","晚餐","462","一餐石锅拌饭(热狗鸡蛋)(好好吃⊙▽⊙)","upload/photo/2015-12-07/cd888b13ddf6859e82137d1a122291b3.jpg"
