"编号","日期","类型","热量/kcal","餐品描述","照片"
"80f18d3a","2015-12-01","早餐","389","豆浆和手抓饼（加沙拉酱鸡蛋肠）","upload/photo/2015-12-01/4ca446cf663a25f32000993a65257eb7.jpeg"
"80f18d3a","2015-12-01","午餐","495","宜宾燃面和珍珠奶茶","upload/photo/2015-12-01/6aa1d9d28f365a729bf3f26204785ec7.jpeg"
"80f18d3a","2015-12-01","晚餐","523","酸菜鱼，米饭，果粒橙","upload/photo/2015-12-01/cb8a5a8c98432aa5f8c7349985083031.jpeg"
"80f18d3a","2015-12-02","早餐","373","豆浆和手抓饼加鸡蛋和肠","upload/photo/2015-12-02/a8752a778e0e3222341adf1b1517eb24.jpeg"
"80f18d3a","2015-12-02","午餐","632","培根金针菇饭","upload/photo/2015-12-02/3ed55ed74dd02132fbb9c1cd9d3a2bb5.jpeg"
"80f18d3a","2015-12-02","晚餐","385","红烧牛肉面","upload/photo/2015-12-02/79b65af0ae9839a760825a88f31c7b45.jpeg"
"80f18d3a","2015-12-03","早餐","264","南瓜粥和年糕","upload/photo/2015-12-03/d4df60cfad4d21a8a9d3c43c21f31a25.jpeg"
"80f18d3a","2015-12-03","午餐","681","培根金针菇饭","upload/photo/2015-12-03/89876c303618e4e918b724711594f36f.jpeg"
"80f18d3a","2015-12-03","晚餐","410","意大利肉酱面","upload/photo/2015-12-03/ecb3913570c2e1ff7999e603d90f3030.jpeg"
"80f18d3a","2015-12-04","早餐","311","豆浆和酱香饼","upload/photo/2015-12-04/551c0a1959b03fd26f4c46c29e7e2fe0.jpeg"
"80f18d3a","2015-12-04","午餐","424","鲜肉月饼两个","upload/photo/2015-12-04/cd43a60c6d99ad9b2a266fc7810f42f5.jpeg"
"80f18d3a","2015-12-04","晚餐","515","麻辣香锅加米饭","upload/photo/2015-12-04/11b64423ca9bcdd62be442fb7f15da13.jpeg"
"80f18d3a","2015-12-04","夜宵","621","大鸡排","upload/photo/2015-12-04/6e19385f8849b621abdc44e8e17d098c.jpeg"
"80f18d3a","2015-12-05","早餐","274","红枣豆奶，蛋糕","upload/photo/2015-12-05/445cc34f303381f2afd4e49c5424cef6.jpeg"
"80f18d3a","2015-12-05","午餐","494","鸡公煲和米饭","upload/photo/2015-12-05/0389409e7893d4c679e2f72126b48392.jpeg"
"80f18d3a","2015-12-05","晚餐","496","华夫饼和提拉米苏","upload/photo/2015-12-05/d7ecba80f546d9309f3ebdd02e83b54f.jpeg"
"80f18d3a","2015-12-05","下午茶","702","鸡排甘梅地瓜沙拉","upload/photo/2015-12-05/a51bf068c2e0ff24eadebddc5495555f.jpeg"
"80f18d3a","2015-12-06","早餐","395","豆奶和蛋糕","upload/photo/2015-12-06/9ccbbb073a6e03786b0a8f2f0574a69e.jpeg"
"80f18d3a","2015-12-06","午餐","512","蛋糕川菜（不是我一个人吃的","upload/photo/2015-12-06/b5fbf5e9652a2641d0cf373be5bf706c.jpeg"
"80f18d3a","2015-12-06","晚餐","585","辣子鸡米饭","upload/photo/2015-12-06/87981590781da5bf31129d4f7c271460.jpeg"
"80f18d3a","2015-12-06","夜宵","421","烤鱼聚餐","upload/photo/2015-12-06/3dd6bd02b98e9a9a67115e93df79caeb.jpeg"
"80f18d3a","2015-12-07","早餐","400","西米露和一个难吃的烤肉卷（不好意思忘记拍照了。。）","upload/photo/2015-12-07/9e15e3fc6606fc546650af8beec320b1.jpeg"
"80f18d3a","2015-12-07","午餐","528","鱼香肉丝盖浇饭","upload/photo/2015-12-07/cac54dbf5af0b3afce9d727240e1ef06.jpeg"
"80f18d3a","2015-12-07","晚餐","437","鸡公煲和米饭","upload/photo/2015-12-07/19106beebaf404114eabbf6e6cdec28f.jpeg"
