"编号","日期","类型","热量/kcal","餐品描述","照片"
"84050e5b","2015-12-01","早餐","482","牛奶，饼干，蛋黄派","upload/photo/2015-12-01/4bce4c0e4efcd362ac1cf06b7144b9ba.jpg"
"84050e5b","2015-12-01","午餐","548","青菜，鸭肉，3两饭，一碗汤","upload/photo/2015-12-01/ba825e27d5ba562ab590b2979c8ad564.jpg"
"84050e5b","2015-12-01","晚餐","445","鸡腿，粉条，蘑菇","upload/photo/2015-12-01/6ff8089e0659c71364e7d527e93e8aad.jpg"
"84050e5b","2015-12-02","早餐","98","燕麦粥，牛奶","upload/photo/2015-12-02/023bda55dc1c1f2b5c27f76f19dd81da.jpg"
"84050e5b","2015-12-02","午餐","416","西红柿炒鸡蛋，鸭肉，3两饭和汤","upload/photo/2015-12-02/9be7d20bebd6f9f97c001d2a3cada1a9.jpg"
"84050e5b","2015-12-02","晚餐","496","萝卜排骨汤，蘑菇，白菜肉末","upload/photo/2015-12-02/22a87bbc3ff07240ce25b1f9fd057411.jpg"
"84050e5b","2015-12-03","早餐","324","包子，豆浆，蝴蝶酥","upload/photo/2015-12-03/165b956128525540169fecaad95b8232.jpg"
"84050e5b","2015-12-03","午餐","518","鸡腿，豆芽，鸭肉","upload/photo/2015-12-03/4c4a8eba8fdecb7a0039a2a28b6463a9.jpg"
"84050e5b","2015-12-03","晚餐","468","西洋花菜，猪蹄","upload/photo/2015-12-03/01a75d5d4fbe47d701bbd645e11bc970.jpg"
"84050e5b","2015-12-04","早餐","98","燕麦粥，牛奶","upload/photo/2015-12-04/8edcb1c87274d97494e30bc3e3ea2630.jpg"
"84050e5b","2015-12-04","午餐","472","岐山臊子面","upload/photo/2015-12-04/a69db346dce5efddcb4fea0c142afa1c.jpg"
"84050e5b","2015-12-04","晚餐","443","韭菜鸡蛋，鸡排","upload/photo/2015-12-04/6e8473bacdd684e13ade7438d7ac7e43.jpg"
"84050e5b","2015-12-05","早餐","330","饼干和牛奶","upload/photo/2015-12-05/ce37030baeccf42c85b88f0a97a792e3.jpg"
"84050e5b","2015-12-05","午餐","495","拉面","upload/photo/2015-12-05/7f232a7e5d453f9447e119749fc195a5.jpg"
"84050e5b","2015-12-05","晚餐","558","鸡蛋煲，热狗，土豆红烧肉","upload/photo/2015-12-05/476fa07b208eac32d7d8932fa834633a.jpg"
"84050e5b","2015-12-06","早餐","160","牛奶，燕麦粥，饼干","upload/photo/2015-12-06/36891f97afaa971bb25558859f8ccbef.jpg"
"84050e5b","2015-12-06","午餐","610","鸡蛋肉饼，莴笋炒肉，豆腐","upload/photo/2015-12-06/4fbbbce8de2c5636040e9310a336fa6a.jpg"
"84050e5b","2015-12-06","晚餐","650","麻辣香锅","upload/photo/2015-12-06/c03f9095c2a3067e42787eebad8a6310.jpg"
"84050e5b","2015-12-07","早餐","215","肉夹馍，豆浆","upload/photo/2015-12-07/b63dccbfcbb8f557495d3c23a936aca0.jpg"
"84050e5b","2015-12-07","午餐","517","鸡块，汤，猪蹄","upload/photo/2015-12-07/3c3b648afecc40dd79001c6aa207d5b4.jpg"
"84050e5b","2015-12-07","晚餐","432","酸菜鱼，四季豆","upload/photo/2015-12-07/e7eeca0d220d2820fb7bc80a140af9cb.jpg"
