"编号","日期","类型","热量/kcal","餐品描述","照片"
"896d5a7b","2015-12-01","早餐","0","小面包","upload/photo/2015-12-01/f6ae53cedb2c24d05b5dc73de91d1608.jpg"
"896d5a7b","2015-12-01","午餐","0","酸菜鱼","upload/photo/2015-12-01/44fef36bcfd05baec446ed050adc9ee8.jpg"
"896d5a7b","2015-12-01","晚餐","0","黄焖鸡","upload/photo/2015-12-01/a9cc611a4c23676b279b759398840ef9.jpg"
"896d5a7b","2015-12-02","早餐","317","5个小面包","upload/photo/2015-12-02/93b0d84f4f690a763306758f095823d0.jpg"
"896d5a7b","2015-12-02","午餐","0","pizza","upload/photo/2015-12-02/91da19e460a5694dc84580bf888146e8.jpg"
"896d5a7b","2015-12-02","晚餐","0","芝士牛肉饭","upload/photo/2015-12-02/1b3f885860bf3eb1151b73d77814307c.jpg"
"896d5a7b","2015-12-03","早餐","0","5个面包","upload/photo/2015-12-03/24198f16be506c248a7b8346d511a44b.jpg"
"896d5a7b","2015-12-03","午餐","0","芝士肥牛饭","upload/photo/2015-12-03/5f1599e5c9be2005e1d724e481aecf0f.jpg"
"896d5a7b","2015-12-03","晚餐","0","炒饭","upload/photo/2015-12-03/ca98a8c8d8014e88a90453431cb1c7b5.jpg"
"896d5a7b","2015-12-04","早餐","312","面包","upload/photo/2015-12-04/a3151604b3a247f53963e9b037444502.jpg"
"896d5a7b","2015-12-04","午餐","374","炒饭","upload/photo/2015-12-04/8338285b9e5750abcb88d66b80b458ee.jpg"
"896d5a7b","2015-12-04","晚餐","294","黄焖鸡","upload/photo/2015-12-04/a78d23935f03dcdf34aaabe5bb86e897.jpg"
"896d5a7b","2015-12-05","早餐","317","面包","upload/photo/2015-12-05/e32d3e76941ad60fe3539d54ad4ad191.jpg"
"896d5a7b","2015-12-05","午餐","294","黄焖鸡","upload/photo/2015-12-05/be74ce5d95ed1f333e642dcb58edb9a8.jpg"
"896d5a7b","2015-12-05","晚餐","179","炒面","upload/photo/2015-12-05/5dc68060c3a29be318d8750c76d0d2a3.jpg"
"896d5a7b","2015-12-06","早餐","317","面包","upload/photo/2015-12-06/4a4b18d0e565cc2f7700f24044d074c6.jpg"
"896d5a7b","2015-12-06","午餐","217","酸汤肥牛","upload/photo/2015-12-06/2a54bbd6171827234ce31b4609cad663.jpg"
"896d5a7b","2015-12-06","晚餐","179","炒面","upload/photo/2015-12-06/10e00eb4a182a793d38e8218caec1a20.jpg"
"896d5a7b","2015-12-07","早餐","0","面包","upload/photo/2015-12-07/8617aed8e01224df30a383d4ef68f5b1.jpg"
"896d5a7b","2015-12-07","午餐","0","水饺","upload/photo/2015-12-07/d5b2f58cbd587a988c5e6ecc3350c943.jpg"
"896d5a7b","2015-12-07","晚餐","0","炒粉","upload/photo/2015-12-07/afddfa7515ac50fc646c08b17e50e66a.jpg"
