"编号","日期","类型","热量/kcal","餐品描述","照片"
"8d0f5c97","2015-12-01","早餐","361","一袋面包 一瓶牛奶","upload/photo/2015-12-01/99201262444e5dc4475ad08bd8ccadea.jpg"
"8d0f5c97","2015-12-01","午餐","334","快餐","upload/photo/2015-12-01/1b8ff8bfc822c5f263f132b02df66143.jpg"
"8d0f5c97","2015-12-01","晚餐","341","一碗汤圆 一把葡萄干","upload/photo/2015-12-01/80c9b79125b40bb88f3ef52f88ef5598.jpg"
"8d0f5c97","2015-12-02","早餐","554","半袋面包 一瓶牛奶","upload/photo/2015-12-02/4b1ff8222920c3c23f3bb04e4a4741e5.jpg"
"8d0f5c97","2015-12-02","午餐","310","麻辣香锅加一碗米饭","upload/photo/2015-12-02/43ab419d2fac39c1dae57fdf871ee669.jpg"
"8d0f5c97","2015-12-02","晚餐","351","粥 粽子 玉米","upload/photo/2015-12-02/25fa4445614c4a394a1498707fa06f12.jpg"
"8d0f5c97","2015-12-03","早餐","456","半袋面包 一瓶牛奶","upload/photo/2015-12-03/fad801356c5ee40f4f7948c371dcf90e.jpg"
"8d0f5c97","2015-12-03","午餐","616","石锅饭 菌菇和蛋","upload/photo/2015-12-03/b2f1ed6f48aebd419533c3c49b93f7da.jpg"
"8d0f5c97","2015-12-03","晚餐","166","玉米和粥","upload/photo/2015-12-03/2525d2453a914a7b20deb339fc438b63.jpg"
"8d0f5c97","2015-12-04","早餐","230","点心 粥","upload/photo/2015-12-04/b18b5de820a7c3233e915da47cdb25d5.jpg"
"8d0f5c97","2015-12-04","早餐","456","三个面包 一瓶牛奶","upload/photo/2015-12-04/0730a6098b580ff2e6d910cf1455ac1f.jpg"
"8d0f5c97","2015-12-04","午餐","536","麻辣香锅","upload/photo/2015-12-04/cc660f628759bc86c0270fa76686923e.jpg"
"8d0f5c97","2015-12-04","晚餐","154","草莓干 酸奶","upload/photo/2015-12-04/5e4dd86f635715b677aee106f23feebf.jpg"
"8d0f5c97","2015-12-05","早餐","0","粥 点心","upload/photo/2015-12-05/4b0e0045cef90a0cb1fcd5ee68c93df6.jpg"
"8d0f5c97","2015-12-05","午餐","258","玉米 麦片 点心","upload/photo/2015-12-05/7cba6cbc98d60bca8258925ba4e885dd.jpg"
"8d0f5c97","2015-12-05","晚餐","493","油豆腐炒肉 米饭","upload/photo/2015-12-05/d26a35adc86db0cb1a1126c9ad4ad0e3.jpg"
"8d0f5c97","2015-12-06","早餐","122","麦片粥","upload/photo/2015-12-06/622e73a4a39c96f30f67bd04835d1a25.jpg"
"8d0f5c97","2015-12-06","午餐","479","鱼香肉丝 米饭","upload/photo/2015-12-06/ea86c8101a7e8ef324d1150c9532caf1.jpg"
"8d0f5c97","2015-12-06","晚餐","362","虾肉卷 牛奶","upload/photo/2015-12-06/4beca1be5894d46ede514b1aecb840e6.jpg"
"8d0f5c97","2015-12-07","早餐","473","面包 牛奶","upload/photo/2015-12-07/fc3abde9fd5d5bb1754ced4c90194751.jpg"
"8d0f5c97","2015-12-07","午餐","680","上海快餐","upload/photo/2015-12-07/ff19dee49680a038aa1f15ea112fe479.jpg"
"8d0f5c97","2015-12-07","晚餐","60","水果","upload/photo/2015-12-07/dc51591dce5419267e23c4ed8c23613b.jpg"
