"编号","日期","类型","热量/kcal","餐品描述","照片"
"8d7b65a5","2015-12-01","早餐","437","华联的包子 一个菜 一个肉","upload/photo/2015-12-01/710e741e6cdf6d1f68e8c57d74c0722a.jpg"
"8d7b65a5","2015-12-01","午餐","1903","辣条一包 330ml椰奶 小林煎饼 三餐一两饭+玉米+一种炸的肉排。。","upload/photo/2015-12-01/3c472aeeea6d90a17311be015ad90fca.jpg"
"8d7b65a5","2015-12-01","晚餐","70","二餐的汤。。。","upload/photo/2015-12-01/9e6947a6f51603e2c0081e690c9181ef.jpg"
"8d7b65a5","2015-12-02","早餐","372","下院的肉粽和茶叶蛋","upload/photo/2015-12-02/2af48c84073badd6fa2a06ba5f11b93f.jpg"
"8d7b65a5","2015-12-02","午餐","592","三餐一两饭+肉+土豆丝","upload/photo/2015-12-02/f2d0b3e2149b4909004768cb197d020f.jpg"
"8d7b65a5","2015-12-02","晚餐","70","二餐的汤。。","upload/photo/2015-12-02/c07e281f90da76ee137ca8f4974bd522.jpg"
"8d7b65a5","2015-12-03","早餐","350","肉粽+旺仔牛奶","upload/photo/2015-12-03/af31b117cd323e234eaa90ce757ec73f.jpg"
"8d7b65a5","2015-12-03","午餐","1031","马可波罗餐厅。。 图为双人份","upload/photo/2015-12-03/48ad35a7a37d6ae060b5cd277e80c085.jpg"
"8d7b65a5","2015-12-03","晚餐","359","狮子头做成的神奇的汤。。","upload/photo/2015-12-03/de2310fc15e13dc4027708e320f93e4a.jpg"
"8d7b65a5","2015-12-04","早餐","0","没吃","upload/photo/2015-12-04/6e891545f9c63ba8d712eca5d33908d2.jpg"
"8d7b65a5","2015-12-04","午餐","400","烤肉饭","upload/photo/2015-12-04/ff7866832bd167adc1d4a79e24b881b8.jpg"
"8d7b65a5","2015-12-04","晚餐","0","没吃","upload/photo/2015-12-04/9209e939a4163e97b3b548a63924dc74.jpg"
"8d7b65a5","2015-12-05","早餐","0","没吃","upload/photo/2015-12-05/a24f1ef4096de560091fac50f2a29f30.jpg"
"8d7b65a5","2015-12-05","午餐","513","米饭地瓜芋头","upload/photo/2015-12-05/50bbe85543952fdef245567fcfaf0a49.png"
"8d7b65a5","2015-12-05","晚餐","0","没吃","upload/photo/2015-12-05/07b8c494e3f25bb4eac4c8d6de5ab6ad.jpg"
"8d7b65a5","2015-12-06","早餐","214","寿司","upload/photo/2015-12-06/0d82d5495c0123b162592d72db7a35cc.jpg"
"8d7b65a5","2015-12-06","午餐","950","一碗叉烧米线","upload/photo/2015-12-06/194fafa2c2ad23b8af611af3277d002e.png"
"8d7b65a5","2015-12-06","晚餐","837","鸡排扒饭","upload/photo/2015-12-06/78af4d4394c6f8837b1659c218843f58.jpg"
"8d7b65a5","2015-12-07","早餐","450","两个包子（肉包and菜包）","upload/photo/2015-12-07/302695e3bd52690bb9e525cf67bbde16.jpg"
"8d7b65a5","2015-12-07","午餐","655","米饭and肉and菜","upload/photo/2015-12-07/6d01c477b9a4d78c1dd72a968f0a21ff.jpg"
"8d7b65a5","2015-12-07","晚餐","0","没吃","upload/photo/2015-12-07/d8fb5704812f10f19485953c4fd136d7.jpg"
