"编号","日期","类型","热量/kcal","餐品描述","照片"
"9300ea3b","2015-12-01","早餐","190","黑芝麻饼，土豆饼，南瓜玉米糊","upload/photo/2015-12-01/0271b9430bc327021351e18bd618b633.jpg"
"9300ea3b","2015-12-01","午餐","382","燃面","upload/photo/2015-12-01/8caf07335b6377668af162e3ddc5983e.jpg"
"9300ea3b","2015-12-01","晚餐","207","笋片炒肉，青菜，红薯","upload/photo/2015-12-01/2e8c41728a77673cc2105b8881327bea.jpg"
"9300ea3b","2015-12-01","下午茶","572","摩卡咖啡250ML,黑芝麻糕","upload/photo/2015-12-01/a6f92ff28d624f80646a6e7c63e99ad0.jpg"
"9300ea3b","2015-12-02","早餐","703.5","牛奶，黑芝麻糕三个，油炸的青豆，瓜子仁，腰果","upload/photo/2015-12-02/2ac3c24a6f40343718236d018ac7d84a.jpg"
"9300ea3b","2015-12-02","午餐","249.6","青菜，干豆腐，牛肉","upload/photo/2015-12-02/1e2c48bfc8a44d49f5e193dee89b64c9.jpg"
"9300ea3b","2015-12-02","晚餐","720.6","30g油炸腰果，梨两个，黑芝麻糕两个，其实我是下午吃的，晚上就没好好吃","upload/photo/2015-12-02/624d59cce25c941eec788ec5a3bc76ec.jpg"
"9300ea3b","2015-12-03","早餐","612","油炸土豆丝鸡蛋饼，小米粥","upload/photo/2015-12-03/1972f3e2ce2706dedf3e4c670eb37a93.jpg"
"9300ea3b","2015-12-03","午餐","284","外卖蛋包饭，里面有香菇肉酱","upload/photo/2015-12-03/cd2d0c6f7edd3a6fe877de2653aa5c4c.png"
"9300ea3b","2015-12-03","晚餐","356","芹菜豆干，瓜片木耳，芋头炖鸡","upload/photo/2015-12-03/faba02088bd7cf95d28bcb70718cc6c6.jpg"
"9300ea3b","2015-12-03","夜宵","209.6","油炸腰果30g和梨","upload/photo/2015-12-03/729ddaabdeee2f354a0fbe7df075b0ab.jpg"
"9300ea3b","2015-12-04","早餐","229","两个素馅包子，一个蛋黄酥，一碗南瓜粥","upload/photo/2015-12-04/52f5db9c61c64d1efc5bb2019418c785.jpg"
"9300ea3b","2015-12-04","午餐","383","鸭肉，红薯，干豆腐炒蛋，烤麸","upload/photo/2015-12-04/6165667eaaab6e954d48976ebf4f7440.jpg"
"9300ea3b","2015-12-04","晚餐","420","包菜，南瓜小米粥，香蕉印度抛饼，炒杏鲍菇","upload/photo/2015-12-04/ceaa75070c06191501e30dd27145bbc4.jpg"
"9300ea3b","2015-12-04","下午茶","360","酸奶490g","upload/photo/2015-12-04/0cc3b3139b79f175b35fe1f35603d02b.jpg"
"9300ea3b","2015-12-05","早餐","269","八宝粥，饺子，鸡蛋饼","upload/photo/2015-12-05/7ae620d56f6cce163b575f7d827e4179.jpg"
"9300ea3b","2015-12-05","午餐","651","牛奶，蜂蜜，切片面包,巧克力","upload/photo/2015-12-05/5d27a96716356991c269da9256a97ca3.jpg"
"9300ea3b","2015-12-05","晚餐","700","炸鸡，奶茶，青豆","upload/photo/2015-12-05/d71bae8a6b255b786b1a9d002225b7f5.jpg"
"9300ea3b","2015-12-06","早餐","260","紫薯粥，煎饼，锅贴","upload/photo/2015-12-06/873ff6a2daf0a9aa2a016dce5b9fc3ee.jpg"
"9300ea3b","2015-12-06","午餐","273","咖喱鸡肉，青菜，西兰花，豆腐汤","upload/photo/2015-12-06/43e25e6a1807ee47fbeaac057c669ebe.jpg"
"9300ea3b","2015-12-06","晚餐","782","牛奶，面包，蜂蜜，腰果，牛肉干","upload/photo/2015-12-06/d15ea6a86f817b333c1e3d887da4bd43.jpg"
"9300ea3b","2015-12-06","下午茶","144","200g酸奶","upload/photo/2015-12-06/95a2db854109506fd70e87db4d509eda.jpg"
"9300ea3b","2015-12-07","早餐","159.4","面包牛奶","upload/photo/2015-12-07/c7df774b1ac9b2daa467c468852ed87e.jpg"
"9300ea3b","2015-12-07","午餐","246","黄豆猪蹄，西芹腐竹，青椒鸡架","upload/photo/2015-12-07/dc4576a76c7224fcf59f69bc847a9907.jpg"
"9300ea3b","2015-12-07","晚餐","270","黑椒牛柳饭，南瓜粥，酱饼（没拿手机拍，其实也拍不下）","upload/photo/2015-12-07/196da2481e6d1575bebca7f74eb9b2d9.jpg"
"9300ea3b","2015-12-07","课间餐","318","热可可，甜筒","upload/photo/2015-12-07/8b700baaa07e982d24df6bc205fed014.jpg"
"9300ea3b","2015-12-07","下午茶","186.5","香蕉，青豆，蚕豆","upload/photo/2015-12-07/bf0dc58fbd5073f6e1ad7d7572ce8f06.jpg"
