"编号","日期","类型","热量/kcal","餐品描述","照片"
"940198c4","2015-12-01","早餐","47","杂粮羹","upload/photo/2015-12-01/2b53f6cb4e68d76cbf673076dbf703fe.jpeg"
"940198c4","2015-12-01","午餐","226.5","芝士焗土豆泥","upload/photo/2015-12-01/b162fa66cd716f318d5068e823d6d02a.jpeg"
"940198c4","2015-12-01","晚餐","480","蛋糕","upload/photo/2015-12-01/6c4c33a20fddb26bc7549ac1c1b1a23a.jpeg"
"940198c4","2015-12-02","早餐","282","鸡肉卷，豆浆","upload/photo/2015-12-02/230fc97c7c25ecbf3cf990d5c8374ca8.jpeg"
"940198c4","2015-12-02","午餐","184.5","核桃酥","upload/photo/2015-12-02/d47958776c439b42a337fcd399c5b591.jpeg"
"940198c4","2015-12-02","晚餐","173","全家便当","upload/photo/2015-12-02/2f496dbc0691985699e6506615c91367.jpeg"
"940198c4","2015-12-03","早餐","333","红枣糕＋豆浆","upload/photo/2015-12-03/7dbe18862a281ccd00da29bbe68ec5dc.jpeg"
"940198c4","2015-12-03","午餐","116","燃面","upload/photo/2015-12-03/8eb9c743d253524497817e3482a2e03c.jpeg"
"940198c4","2015-12-03","晚餐","0","减肥，并没有吃。","upload/photo/2015-12-03/9b7fb98092db332d6217becb2926010b.jpeg"
"940198c4","2015-12-04","早餐","261","肉松饼","upload/photo/2015-12-04/8c37932fc5684d26d34476ce772d0b3f.jpeg"
"940198c4","2015-12-04","午餐","173","石锅拌饭。","upload/photo/2015-12-04/28af2a537f84990af863f892dab7286d.jpeg"
"940198c4","2015-12-04","晚餐","282","寿司。","upload/photo/2015-12-04/e2ed631d16c94948175c30018a0aa258.jpeg"
"940198c4","2015-12-05","早餐","288","煎饺＋豆浆","upload/photo/2015-12-05/868746768d1ee238530a85854e00d11c.jpeg"
"940198c4","2015-12-05","午餐","520.5","玉米浓汤","upload/photo/2015-12-05/70b5ff8c60a89f73310982a48c649703.jpeg"
"940198c4","2015-12-05","晚餐","568","肉，不知道全名。","upload/photo/2015-12-05/a2e9dd9202a965376eaa4862a4f9fa2e.jpeg"
"940198c4","2015-12-06","早餐","47","连续几天都在喝杂粮羹。","upload/photo/2015-12-06/dadd968f3bcadd931fab09c430c3eef1.jpeg"
"940198c4","2015-12-06","午餐","684","肉…","upload/photo/2015-12-06/fa21b918d6fed66c9c870930bb0975da.jpeg"
"940198c4","2015-12-06","晚餐","138.5","选餐，奇怪的蔬菜。","upload/photo/2015-12-06/e36290bb27c6b215a6fb0b9a21f0776c.jpeg"
"940198c4","2015-12-07","早餐","227","小笼包","upload/photo/2015-12-07/31b2dbfe17249b3e13a53ba2d8c72b95.jpeg"
"940198c4","2015-12-07","午餐","315.5","干锅鸡？","upload/photo/2015-12-07/d2079263f566420bad65e7a68a6c5e6f.jpeg"
"940198c4","2015-12-07","晚餐","37","胡萝卜！","upload/photo/2015-12-07/6686685e4d5666fec5567c39dee8d647.jpeg"
"940198c4","2015-12-08","早餐","117","杂粮羹…都不用再拍。","upload/photo/2015-12-08/7bdf5df366ad96e5c0d4c689daf6fafe.jpeg"
"940198c4","2015-12-08","午餐","247","鱿鱼圈","upload/photo/2015-12-08/2f811d1d0fac9e583b9768c01a2f0f88.jpeg"
"940198c4","2015-12-08","晚餐","163.5","乌冬面","upload/photo/2015-12-08/3eb2c5fdf605c76fa0feb827dd25d16d.jpeg"
