"编号","日期","类型","热量/kcal","餐品描述","照片"
"944528a4","2015-12-01","早餐","228","三明治+豆浆","upload/photo/2015-12-01/d93e032c77878dedc1d5c2fd46b4e628.jpg"
"944528a4","2015-12-01","午餐","282","荤素搭配 ～ 黄瓜+小黄鱼*3+土豆泥","upload/photo/2015-12-01/dd65bbeab65642dae341fdeac9ea12ba.jpg"
"944528a4","2015-12-01","晚餐","366","肉肉肉！五餐的闽南烧肉饭棒棒的！","upload/photo/2015-12-01/df2907cb2274d1e4a44fc80c72fda3a6.jpg"
"944528a4","2015-12-02","早餐","228","二餐 西米露+糍饭糕","upload/photo/2015-12-02/436bfde84b7e56f9cb2d43356681d32a.jpg"
"944528a4","2015-12-02","午餐","322","全家 寿司 14:00才吃的午饭","upload/photo/2015-12-02/b84e696c2853ff3a502387269489e0cc.jpg"
"944528a4","2015-12-02","晚餐","243","全家 咖喱猪排饭","upload/photo/2015-12-02/55a7ccb79f8eb5dae00e44229b5f4414.jpg"
"944528a4","2015-12-03","早餐","264","面包+牛奶","upload/photo/2015-12-03/aa0d5cd80aec71c09dd376f7a087548d.jpg"
"944528a4","2015-12-03","午餐","284","牛肉番茄盖浇饭","upload/photo/2015-12-03/4b32e20438fa97ab18417209f63a2d63.jpg"
"944528a4","2015-12-03","晚餐","366","咖喱鸡块+花菜","upload/photo/2015-12-03/ab0c41757992556db3cd35c7dc3267d2.jpg"
"944528a4","2015-12-04","早餐","234","豆浆+2*烧卖","upload/photo/2015-12-04/b2898ee8970d31898667c17b326147f2.jpg"
"944528a4","2015-12-04","午餐","294","土豆泥+南瓜+鸡肉 没拍照","upload/photo/2015-12-04/a1c9670ce0f10c09e7c926491513aa05.jpg"
"944528a4","2015-12-04","晚餐","391","鱼香肉丝燃面+甜酒酿","upload/photo/2015-12-04/a22588c424e4cf32929d776c7463354c.jpg"
"944528a4","2015-12-05","早餐","190","三角饼+豆浆","upload/photo/2015-12-05/be83bcc7dbee1c51e14a657eca39b0d9.jpg"
"944528a4","2015-12-05","午餐","272","蒙古烤肉饭","upload/photo/2015-12-05/cdcd9c2e65a17c5f12c159a6aa1b4837.jpg"
"944528a4","2015-12-05","晚餐","98","酸菜鱼","upload/photo/2015-12-05/8f812f04f337c08db437ad18dbe4abe3.jpg"
"944528a4","2015-12-06","早餐","0","没吃","upload/photo/2015-12-06/10c8af9916cac8e5fb41eaa88275f634.jpg"
"944528a4","2015-12-06","午餐","220","绿园餐厅龙利鱼铁板饭","upload/photo/2015-12-06/b5c47663594bfd37edbe938468a268cb.jpg"
"944528a4","2015-12-06","晚餐","200","蟹肉棒+肉丸+莴笋","upload/photo/2015-12-06/acc3a9ba8fc2f2241a05d6165cd46bce.jpg"
"944528a4","2015-12-07","早餐","355","三明治+牛奶","upload/photo/2015-12-07/bc353d81fb5e5b7694f1b51dd559c6ee.jpg"
"944528a4","2015-12-07","午餐","382","咖喱饭+猪排 没拍照","upload/photo/2015-12-07/cf1c2a54aa652b308bc6ce5509f1b8bd.jpg"
"944528a4","2015-12-07","晚餐","323","金针菇牛肉铁板烧 没拍照","upload/photo/2015-12-07/45d36c59f0204e3af7449ddcb7d30c04.jpg"
