"编号","日期","类型","热量/kcal","餐品描述","照片"
"9446b533","2015-12-01","早餐","89.2","趣多多，芝麻糊","upload/photo/2015-12-01/aec3bade279b433b1863badeec911383.jpg"
"9446b533","2015-12-01","早餐","89.2","刚才没传上去的芝麻糊。。。","upload/photo/2015-12-01/acdf66188e76581ba29611d80bb88ac9.jpg"
"9446b533","2015-12-01","午餐","644.5","土豆鸡块，红烧狮子头，包菜，米饭一两","upload/photo/2015-12-01/bbe36ab885a3b01e54123f598615f2b9.jpg"
"9446b533","2015-12-01","晚餐","163.5","重庆小面","upload/photo/2015-12-01/5b4104f3393883746ab4b05e27297106.jpg"
"9446b533","2015-12-01","夜宵","83","苹果一只中等大小","upload/photo/2015-12-01/4c8fcc90b91353f1ecaecb88d212c88b.jpg"
"9446b533","2015-12-01","夜宵","41","柚子一瓣","upload/photo/2015-12-01/69d0e3bee9798a6fb2529ded49c11907.jpg"
"9446b533","2015-12-02","早餐","94","豆浆，一个肉包，一个鸡蛋","upload/photo/2015-12-02/012f56f809ad14666fd81dd46f425252.jpg"
"9446b533","2015-12-02","午餐","160","一个橙子，一个香蕉","upload/photo/2015-12-02/b1a3a3c2b6d07ef5300aa810a4e1a258.jpg"
"9446b533","2015-12-02","午餐","828","一餐烤鸭饭","upload/photo/2015-12-02/b0d5ae267d585fa8b7d631c52ff56fd8.jpg"
"9446b533","2015-12-02","晚餐","267","六只荠菜肉馅的饺子（当时手机没电了，所以没拍照，，，随便上传一张，还请原谅）","upload/photo/2015-12-02/37f9bc83a269d07b11dc61c9cb74234c.jpg"
"9446b533","2015-12-02","夜宵","55","一个苹果","upload/photo/2015-12-02/d545605256d7282b1650eb6220301f42.jpg"
"9446b533","2015-12-02","夜宵","16.5","50g珍珠梅","upload/photo/2015-12-02/7e2db40e03bdc330e95a1de8b41555ac.jpg"
"9446b533","2015-12-03","早餐","387.4","两袋蚕豆，一根香蕉，一袋芝麻糊","upload/photo/2015-12-03/2c545ec22b00a728504971248f5316da.jpg"
"9446b533","2015-12-03","午餐","432.5","青椒炒肉，玉米粒，青菜，二两米饭","upload/photo/2015-12-03/08209f15c8635099f904fe4199456ec8.jpg"
"9446b533","2015-12-03","晚餐","116","宜宾燃面","upload/photo/2015-12-03/6ac0077bda74231520d536ed53b6cdf3.jpg"
"9446b533","2015-12-03","下午茶","9.9","珍珠梅30g","upload/photo/2015-12-03/6cceedee567adbb1728372c4ffd66067.jpg"
"9446b533","2015-12-03","夜宵","212","开心果20粒，蚕豆一袋（有的已经吃掉了，所以数量可能不够==）","upload/photo/2015-12-03/647ba6af69753a0f50338cf40ac84f81.jpg"
"9446b533","2015-12-04","早餐","296","白糖饼，白粥","upload/photo/2015-12-04/b451801d48484f7e2fd95b20393a6ee0.jpg"
"9446b533","2015-12-04","午餐","828","烤鸭饭","upload/photo/2015-12-04/da9c11206008c88850ba0ffb10b018fa.jpg"
"9446b533","2015-12-04","晚餐","116","燃面","upload/photo/2015-12-04/5627e2e1f65448b654569ae9dd7266fe.jpg"
"9446b533","2015-12-04","下午茶","55","苹果一只","upload/photo/2015-12-04/174473dd30eddc50af426caf2abc889a.jpg"
"9446b533","2015-12-04","夜宵","225.4","蚕豆两袋，橙子一只","upload/photo/2015-12-04/ddf0edc057cb189f7c6a57e345fed664.jpg"
"9446b533","2015-12-05","早餐","267","馄饨20个","upload/photo/2015-12-05/e5e0c7cb542e35387ac07633f3275671.jpg"
"9446b533","2015-12-05","午餐","1344","汉堡一个，章鱼丸5个，奶茶一杯","upload/photo/2015-12-05/6cf7bd3a59615cbc13e7381d1ee6a43d.jpg"
"9446b533","2015-12-05","晚餐","202.2","芝麻糊，香蕉，蚕豆","upload/photo/2015-12-05/6c21e6fb3fc606428cf68986f823c8c8.jpg"
"9446b533","2015-12-05","下午茶","212","开心果20只，蚕豆一袋","upload/photo/2015-12-05/46fae82b185fb359cbd8c0eaa356fb48.jpg"
"9446b533","2015-12-05","夜宵","55","苹果一只","upload/photo/2015-12-05/2510edc434e8c7237347bc61b6cae60c.jpg"
"9446b533","2015-12-06","早餐","0","白糖饼，白粥","upload/photo/2015-12-06/4f60f70e95f3b313dab46ddf6a709ac6.jpg"
"9446b533","2015-12-06","午餐","529","一两饭，蝴蝶蟹肉，西红柿炒蛋（图文无关）","upload/photo/2015-12-06/b6f22023a84128e5b991aeaec98b9565.jpg"
"9446b533","2015-12-06","晚餐","522","方便面（小桶），火腿肠一根，笋片两袋","upload/photo/2015-12-06/b86a789f03a9be8fd1b62fa82dd3f9ce.jpg"
"9446b533","2015-12-06","下午茶","122.8","开心果20粒","upload/photo/2015-12-06/b9b18d2f4d0f60112c0eda861ceb12d3.jpg"
"9446b533","2015-12-06","夜宵","55","苹果","upload/photo/2015-12-06/9933d90b87f279949e4ba18d689337a8.jpg"
"9446b533","2015-12-07","早餐","271","白糖饼，豆浆","upload/photo/2015-12-07/46838e21068022a469978a65b4d6d3d7.jpg"
"9446b533","2015-12-07","午餐","445.2","鸡蛋灌饼，香蕉，竹笋","upload/photo/2015-12-07/e076b2a9c77dbcc527359fa6f5f3fe0b.jpg"
"9446b533","2015-12-07","晚餐","340","好丽友","upload/photo/2015-12-07/00c6b1f2156ad995ac662d8a5047792f.jpg"
"9446b533","2015-12-07","下午茶","286.2","牛板筋，开心果，猕猴桃","upload/photo/2015-12-07/c33b628a53a11e44636ddf7b1d372f0e.jpg"
"9446b533","2015-12-07","夜宵","184.2","开心果30g","upload/photo/2015-12-07/b3b361fd874dadf7de8eb084ff5f0a22.jpg"
