"编号","日期","类型","热量/kcal","餐品描述","照片"
"98fd7c7b","2015-12-01","早餐","194.6","吐司，开水","upload/photo/2015-12-01/4d53bc47e289a7d4a1f4ad45ce13c99f.jpg"
"98fd7c7b","2015-12-01","午餐","1273","正常快餐","upload/photo/2015-12-01/b5605f38995e95e61f416100b11c9aff.jpg"
"98fd7c7b","2015-12-01","晚餐","682.5","泡面+豆干","upload/photo/2015-12-01/22812cfc41cd4426f07045bf4b22a0b9.jpg"
"98fd7c7b","2015-12-02","早餐","748.5","豆浆，肉包","upload/photo/2015-12-02/5389927eefb67d793cf12fac921c6442.jpg"
"98fd7c7b","2015-12-02","午餐","537","外卖","upload/photo/2015-12-02/48aadf5983976a9c25ce6266cf49822f.jpg"
"98fd7c7b","2015-12-02","晚餐","548.5","外卖","upload/photo/2015-12-02/f18eb67fa759ef4b5edfecfdcf8e58f7.jpg"
"98fd7c7b","2015-12-03","早餐","520","豆浆，包子","upload/photo/2015-12-03/cedb2ce64ffcdfa953f9ff1c3af25713.jpg"
"98fd7c7b","2015-12-03","午餐","537","外卖","upload/photo/2015-12-03/c52c08367e3ee92d9799bb3acea66619.jpg"
"98fd7c7b","2015-12-03","晚餐","448","鸡排","upload/photo/2015-12-03/42a35aadd241798953d533506d18d4d4.jpg"
"98fd7c7b","2015-12-04","早餐","724","爆炒肉，大盘鸡","upload/photo/2015-12-04/0ad9d8ceb47a149db7cf8acebbc6c502.jpg"
"98fd7c7b","2015-12-04","早餐","520","豆浆","upload/photo/2015-12-04/8a50e30134fa20c5378a182d445c2622.jpg"
"98fd7c7b","2015-12-04","午餐","732","麻辣香锅","upload/photo/2015-12-04/e8967714a2fb8ac6748d9b8ac512eab7.jpg"
"98fd7c7b","2015-12-05","早餐","747","没吃","upload/photo/2015-12-05/044bc89953d90b905e1a829018a96d00.jpg"
"98fd7c7b","2015-12-05","午餐","375","面包","upload/photo/2015-12-05/afeb4ea643b179f337ab515aaedd294c.jpg"
"98fd7c7b","2015-12-05","晚餐","375","面包","upload/photo/2015-12-05/c729a814937be3f53201a89106100a9c.jpg"
"98fd7c7b","2015-12-06","早餐","375","没吃","upload/photo/2015-12-06/44847f0a26460e1384f75af43d06bb0e.jpg"
"98fd7c7b","2015-12-06","午餐","537","外卖","upload/photo/2015-12-06/e66af6f86dc6d9ce9d24b1354e482d7e.jpg"
"98fd7c7b","2015-12-06","晚餐","901","正常快餐","upload/photo/2015-12-06/d3d36691f6cf68c14ae671cd03a21802.jpg"
"98fd7c7b","2015-12-07","早餐","520","包子，豆浆","upload/photo/2015-12-07/7fc9037f33c8bb11ba176f0d8383669a.jpg"
"98fd7c7b","2015-12-07","午餐","481","快餐","upload/photo/2015-12-07/2cd5496bc41ee366bc5af0e49a475df8.jpg"
"98fd7c7b","2015-12-07","晚餐","450","饺子","upload/photo/2015-12-07/17902e7cb9a97225f036f3929ff53272.jpg"
