"编号","日期","类型","热量/kcal","餐品描述","照片"
"9a8f1e9e","2015-12-01","早餐","200","夹馍（饼里面夹火腿和鸡蛋饼）","upload/photo/2015-12-01/17d92c73482bdb97d9f977bbf96bfc8f.jpg"
"9a8f1e9e","2015-12-01","午餐","600","照烧鸡柳盖浇饭","upload/photo/2015-12-01/93c1fc7f0c469e23a5bfb2405de9acc5.jpg"
"9a8f1e9e","2015-12-01","晚餐","416","辣子鸡","upload/photo/2015-12-01/af73df64e4adeb4e5819106ee1d77482.jpg"
"9a8f1e9e","2015-12-02","早餐","100","豆浆","upload/photo/2015-12-02/2497bac83291c5bc7ef230f23565f191.jpg"
"9a8f1e9e","2015-12-02","午餐","293","吉姆利德的蛋包饭 、土豆泥 、鸡柳 和 花菜","upload/photo/2015-12-02/01dd8b4a6a880070e635a0bd1da354ca.jpg"
"9a8f1e9e","2015-12-02","晚餐","420","晚上点的外卖，一诺咖啡家的","upload/photo/2015-12-02/df475839743401c515f768ea378f53e5.jpg"
"9a8f1e9e","2015-12-03","早餐","290","面包","upload/photo/2015-12-03/2a4a31164a6292c5421965c832a45bfb.jpg"
"9a8f1e9e","2015-12-03","午餐","500","烤鱼","upload/photo/2015-12-03/b78d1223db0d489a8ea7287ae74f2e1f.jpg"
"9a8f1e9e","2015-12-03","晚餐","375","口水鸡加米饭加汤","upload/photo/2015-12-03/429d8e3c5decc9939c0f490c851cb85f.jpg"
"9a8f1e9e","2015-12-04","早餐","270","自己冲的豆浆+夹馍","upload/photo/2015-12-04/160ba363b62718b3694b0fe9e71d22ea.jpg"
"9a8f1e9e","2015-12-04","午餐","220","西餐厅的套餐（照烧虾+南瓜+芹菜+豆干+汤）","upload/photo/2015-12-04/f45d1c2404b33e2c8e3bba259eb4c734.jpg"
"9a8f1e9e","2015-12-04","晚餐","109","香蕉+补丁","upload/photo/2015-12-04/fd2ea1f95291cebc9ac22f40f76db98e.png"
"9a8f1e9e","2015-12-04","下午茶","309","红豆奶茶","upload/photo/2015-12-04/c678d4ed24b5e75b3c6eecd719a15df6.jpg"
"9a8f1e9e","2015-12-05","早餐","270","夹馍加豆浆","upload/photo/2015-12-05/e2deefc00ba29bf1c447dead5091eabc.jpg"
"9a8f1e9e","2015-12-05","午餐","330","青菜炒火腿加米饭","upload/photo/2015-12-05/fe8b2fd02d69cc6cbefe4d7708ed543e.jpg"
"9a8f1e9e","2015-12-05","晚餐","420","自助餐","upload/photo/2015-12-05/13e6e4da50fa4d72788efaaffd685daf.jpg"
"9a8f1e9e","2015-12-06","早餐","260","鸡蛋包","upload/photo/2015-12-06/b737f6c9e813e18d037f068116559d97.jpg"
"9a8f1e9e","2015-12-06","午餐","410","排骨加汤加米饭","upload/photo/2015-12-06/cd27eb43898abd02068a4e1dd3850eeb.jpg"
"9a8f1e9e","2015-12-06","晚餐","600","西餐厅金盘松子盖饭","upload/photo/2015-12-06/52c8e37a7d0cbfa7dc43fc10b975fcb9.jpg"
"9a8f1e9e","2015-12-07","早餐","240","夹馍加自榨豆浆","upload/photo/2015-12-07/26ccc2eb2739a6bcefad0cc14a432ada.jpg"
"9a8f1e9e","2015-12-07","午餐","560","白菜猪肉馅的水饺","upload/photo/2015-12-07/dfccc615f406b67191a261faa3a8332d.jpg"
"9a8f1e9e","2015-12-07","晚餐","550","牛肉刀削面","upload/photo/2015-12-07/9b9c6d6b278682b91b4a70f15369bc1b.jpg"
