"编号","日期","类型","热量/kcal","餐品描述","照片"
"9a98eff0","2015-12-01","早餐","227","酱饼","upload/photo/2015-12-01/cf448a8a9ebd1078c2487f033023dd22.jpg"
"9a98eff0","2015-12-01","午餐","282","一两米饭 100g鱼 100g黄瓜炒腐竹 （忘记拍照）","upload/photo/2015-12-01/27e1e5309243c2a3ea989e29da7b7dc8.jpg"
"9a98eff0","2015-12-01","晚餐","672","二两米饭 鸡肉 西红柿 豆腐 瓦罐汤","upload/photo/2015-12-01/96c270248f2ba968a1e9bb19abe834db.jpg"
"9a98eff0","2015-12-02","早餐","285","两只小笼包，一杯小米粥","upload/photo/2015-12-02/9f7ad5168c389d0e999cda5e1692d080.jpg"
"9a98eff0","2015-12-02","午餐","488","蛋炒饭（约200g饭，一只鸡蛋）","upload/photo/2015-12-02/53b8ad322d83af04aae960cc7a677643.jpg"
"9a98eff0","2015-12-02","晚餐","750","一小碗八宝粥，四只煎饺","upload/photo/2015-12-02/b45260277cadf38f2376894e2871edf6.jpg"
"9a98eff0","2015-12-03","早餐","214","一只饼（直径十五厘米，厚度1.5厘米）一只鸡蛋","upload/photo/2015-12-03/9dd996db2d39af8b8f8f9165cb76dff7.jpg"
"9a98eff0","2015-12-03","午餐","283","100g鸡肉 100g青菜 一两饭","upload/photo/2015-12-03/616327ec3a03b62ff504be547ed06095.jpg"
"9a98eff0","2015-12-03","晚餐","610","100g鸭肉 100g冬瓜 30g猪肉 一两饭","upload/photo/2015-12-03/f0b519747f25fc1203aad9eda5deac0f.jpg"
"9a98eff0","2015-12-03","下午茶","54","一杯牛奶","upload/photo/2015-12-03/88657a69aa05bcbc75aa8a804d43c48e.jpg"
"9a98eff0","2015-12-04","早餐","432","一只香菇菜包，一只鱼香肉丝包，一杯玉米汁","upload/photo/2015-12-04/030add105f1c8237f5e799598e099386.jpg"
"9a98eff0","2015-12-04","午餐","344","老鸭粉丝烩饭（一两饭，100g鸭肉，粉丝豆腐白菜少量）","upload/photo/2015-12-04/3371db4e5655c0f2e8b06bf7dfb08f55.jpg"
"9a98eff0","2015-12-04","晚餐","390","鱼肉，一两饭，青菜，炖蛋","upload/photo/2015-12-04/9b8196a32db92d94a332739f4debbe9c.jpg"
"9a98eff0","2015-12-04","夜宵","51","一根香蕉","upload/photo/2015-12-04/7fa25b1f65a98da830dd51b041e69a06.jpg"
"9a98eff0","2015-12-05","早餐","140","两个小包子，一碗小米粥","upload/photo/2015-12-05/8ab418811e04b1cb9b06c12290672560.jpg"
"9a98eff0","2015-12-05","午餐","250","一只鸭腿，一两饭","upload/photo/2015-12-05/f43befa62b66c7c46a6c5b0590751127.jpg"
"9a98eff0","2015-12-05","晚餐","324","土豆烧鸡块，一两饭","upload/photo/2015-12-05/954d9afbe2e12f0a9b24fe9e5dff02bc.jpg"
"9a98eff0","2015-12-05","夜宵","54","一杯牛奶","upload/photo/2015-12-05/637282c2d061cc944aa2946711457f6b.jpg"
"9a98eff0","2015-12-06","早餐","194","饼，鸡蛋","upload/photo/2015-12-06/bc85cf18a5488c8b210dd35b32a331bf.jpg"
"9a98eff0","2015-12-06","午餐","134","一碗菜饭，一碗蛋花汤。（别人家吃饭，不方便拍照）","upload/photo/2015-12-06/465353a3fbcf8159c09e27a1bd5cce2f.jpg"
"9a98eff0","2015-12-06","晚餐","330","一两饭，三块鹅肉，几块鱿鱼，少量生菜（别人家吃饭，不方便拍照）","upload/photo/2015-12-06/1dd55a3e7e0277852747599753492faa.jpg"
"9a98eff0","2015-12-07","早餐","120","一碗小米粥，两只小包子","upload/photo/2015-12-07/06ede0fb9151b3e6428416cbeb22fc63.jpg"
"9a98eff0","2015-12-07","午餐","312","一两饭。土豆片烧肉片。番茄炒蛋","upload/photo/2015-12-07/afe65bef473c051cf3dfdd47ad764803.jpg"
"9a98eff0","2015-12-07","晚餐","0","无","upload/photo/2015-12-07/fd97e20036f237ff6e659d7c2aba2f29.jpg"
"9a98eff0","2015-12-07","夜宵","53","玉米","upload/photo/2015-12-07/0749cc705c2cee87402a5ff6b7f001fc.jpg"
