"编号","日期","类型","热量/kcal","餐品描述","照片"
"9bf543bc","2015-12-01","早餐","783","鸡蛋灌饼","upload/photo/2015-12-01/9e329b925fd766531ae20a0e5fecc9b9.jpg"
"9bf543bc","2015-12-01","午餐","663.5","烤肉饭","upload/photo/2015-12-01/93ade40d56cf4053884f91ad495293ac.jpg"
"9bf543bc","2015-12-01","晚餐","663.5","烤肉饭","upload/photo/2015-12-01/2ba60433d795ca7924e5db23111074d4.jpg"
"9bf543bc","2015-12-02","早餐","522","鸡蛋灌饼","upload/photo/2015-12-02/8d3ad2a7d3badd7b967a672a6e573d34.jpg"
"9bf543bc","2015-12-02","午餐","643","牛肉，莴笋","upload/photo/2015-12-02/994b839b757aef4721a8d0b7b1385e2c.png"
"9bf543bc","2015-12-02","晚餐","670.5","晚上有实验，没什么时间吃饭","upload/photo/2015-12-02/624772d5e49447d5256ea733adeedaf5.jpg"
"9bf543bc","2015-12-03","早餐","68","","upload/photo/2015-12-03/ef76a9ca8524e5f8e315ac42a254d3f6.jpg"
"9bf543bc","2015-12-03","午餐","748","","upload/photo/2015-12-03/83d422ff729e19dfdce3a26835494913.jpg"
"9bf543bc","2015-12-03","晚餐","750","","upload/photo/2015-12-03/40e7d32f77e6e86fe906f48484e4eb46.jpg"
"9bf543bc","2015-12-04","早餐","440","烧麦","upload/photo/2015-12-04/b7995baadaa3b9e6960f9434acc2ed87.png"
"9bf543bc","2015-12-04","午餐","574","石锅拌饭","upload/photo/2015-12-04/3da3355367b1c59f17aa40c68e67fb62.png"
"9bf543bc","2015-12-04","晚餐","670.5","牛肉面","upload/photo/2015-12-04/53cd70b492bd4e21ed8b5585a91dfccb.png"
"9bf543bc","2015-12-05","早餐","0","起来时有事，没吃","upload/photo/2015-12-05/3a92d57d3358d886a07b3af83803d02d.png"
"9bf543bc","2015-12-05","午餐","748","","upload/photo/2015-12-05/8ab7b8665acf3f5fb24b659a2767e414.jpg"
"9bf543bc","2015-12-05","晚餐","574","","upload/photo/2015-12-05/43f0b97ec62be61c71a0dc77017ae4d8.png"
"9bf543bc","2015-12-06","早餐","0","起来太晚，没吃","upload/photo/2015-12-06/01a806af3d2813c710aafec8b0fc85c7.png"
"9bf543bc","2015-12-06","午餐","682","香锅","upload/photo/2015-12-06/9d9c8fe175e4b87e698e575fcd043c89.jpg"
"9bf543bc","2015-12-06","晚餐","588","黄焖鸡米饭","upload/photo/2015-12-06/a294bacf1b65ea3412932ca9a3c6e555.jpg"
