"编号","日期","类型","热量/kcal","餐品描述","照片"
"9cfc91df","2015-12-01","早餐","125","麦片粥","upload/photo/2015-12-01/7358a66374177845b84ee01ad9ffe111.jpg"
"9cfc91df","2015-12-01","午餐","432","土豆烧牛肉和土豆丝","upload/photo/2015-12-01/08855f4c3949f06cdebb99ae6e72c690.jpg"
"9cfc91df","2015-12-01","晚餐","512","千页豆腐鸡丁饭","upload/photo/2015-12-01/d848ea880b88b6c32eb751dd59bd4a2f.jpg"
"9cfc91df","2015-12-02","早餐","243","韭菜盒子和小米粥","upload/photo/2015-12-02/e5e460478cdb6d692b722e8e9b4ec125.jpg"
"9cfc91df","2015-12-02","午餐","325","菜饼和","upload/photo/2015-12-02/db27b672537194941fceccf8af6241bc.jpg"
"9cfc91df","2015-12-02","晚餐","298","韭菜水饺","upload/photo/2015-12-02/239bc6afb4b825d3b06167f9753d6bea.jpg"
"9cfc91df","2015-12-03","早餐","252","酸奶","upload/photo/2015-12-03/878dd62a4ddf015b6390ad7e6b113267.jpg"
"9cfc91df","2015-12-03","午餐","485","豆浆、蒸蛋、土豆丝、南瓜","upload/photo/2015-12-03/934c2d9228ed1911ae47c7490093aaf5.jpg"
"9cfc91df","2015-12-03","晚餐","379","拌面","upload/photo/2015-12-03/666c4ff06ab78eba7048ddc79715c9d9.jpg"
"9cfc91df","2015-12-04","早餐","311","菜饼","upload/photo/2015-12-04/b7799b4af0489e288a95d28c2ffe4f69.jpg"
"9cfc91df","2015-12-04","午餐","421","蒸蛋，南瓜，白菜以及米饭","upload/photo/2015-12-04/b5663993186374ea180bab7469e9a9c2.jpg"
"9cfc91df","2015-12-04","晚餐","397","粥i，肉包，南瓜饼","upload/photo/2015-12-04/fa346afb550de5f307ffeb5ab15879f1.jpg"
"9cfc91df","2015-12-05","早餐","235","南瓜饼","upload/photo/2015-12-05/3e70714ef90f7dd89dc9ee366ed37297.jpg"
"9cfc91df","2015-12-05","午餐","341","寿司，南瓜饼以及汤圆","upload/photo/2015-12-05/8675f88ef6a1692e4218bd0cef1c0b16.jpg"
"9cfc91df","2015-12-05","晚餐","302","冬瓜、蒸蛋、米饭","upload/photo/2015-12-05/e8adab9c5522486909c568d595a29013.jpg"
"9cfc91df","2015-12-06","早餐","296","小馄饨","upload/photo/2015-12-06/6316108cb15fa7aa744a98e92cd7305f.jpg"
"9cfc91df","2015-12-06","午餐","296","吉祥馄饨","upload/photo/2015-12-06/fa9ac2a19547b0818be7406cf2a77290.jpg"
"9cfc91df","2015-12-06","晚餐","711","水果和面包","upload/photo/2015-12-06/ae84d58ba3332b074d23018bd9f39e60.jpg"
"9cfc91df","2015-12-07","早餐","296","小馄饨","upload/photo/2015-12-07/e4e45668628b04d2129785a20d7370d4.jpg"
"9cfc91df","2015-12-07","午餐","379","玉米、八宝粥、生煎及南瓜饼","upload/photo/2015-12-07/d65975ecdf628e3e7dac0a41b35da70f.jpg"
"9cfc91df","2015-12-07","晚餐","628","蔬菜、土豆丝、鸡腿及米饭","upload/photo/2015-12-07/fa947a6fac8d09328f4c5e741841be88.jpg"
